Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Ownership,EPC,Heating,Floor space,Fully furnished,Floor,Building type,Age,Designe,New-build,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Condition,Balcony,Parking,Garage,Cellar,Lift,Terrace,Terasa 14 m²,Lodžie 5 m²,Balkón 3 m²,Sklep 3 m²,Administrative fee,Lodžie 2 m²,Terasa 18 m²,Balkón 2 m²,Sklep 2 m²,Reconstruction,Balkón 14 m²,Balkón 19 m²,Sklep 4 m²,Terasa 19 m²,Lodžie 19 m²,Balkón 6 m²,Terasa 3 m²,Sklep 1 m²,Balkón 5 m²,Domácí mazlíčci vítáni,Lodžie 3 m²,Balkón 8 m²,Balkón 11 m²,Balkón 15 m²,Terasa 5 m²,Sklep 5 m²,Lodžie 6 m²,Balkón 10 m²,Balkón 16 m²,Terasa 37 m²,Lodžie 7 m²,Terasa 53 m²,Terasa 25 m²,Lodžie 4 m²,Sklep 6 m²,Balkón 4 m²,Sklep 1.5 m²,Lodžie 3.5 m²,Terasa 21 m²,Balkón 2.5 m²,Terasa 20 m²,Lodžie 8 m²,Terasa 16 m²,Balkón 7 m²,Balkón 1 m²,Sklep 25 m²,Balkón 12 m²,Balkón 1.5 m²,Terasa 30 m²,Balkón 40 m²,Terasa 50 m²,Balkón 4.21 m²,Sklep 36 m²,Sklep 7 m²,Terasa 8 m²,Sklep 6.1 m²,Terasa 40 m²,Terasa 15 m²,Enclosed balcony,Terasa 36 m²,Terasa 100 m²,Balkón 0 m²,Sklep 10 m²,Lodžie 10 m²,Terasa 60 m²,Terasa 7 m²,Balkón 72 m²,Lodžie 11 m²,Terasa 49 m²,Terasa 28 m²,Balkón 3.7 m²,Lodžie 16 m²,Lodžie 9 m²,Balkón 9 m²,Terasa 12 m²,Terasa 22 m²,Terasa 6 m²,Sklep 8 m²,Terasa 29 m²,Terasa 3.1 m²,Terasa 35 m²,Sklep 2.8 m²,Balkón 90 m²,Sklep 2.5 m²,Lodžie 8.2 m²,Terasa 11 m²,Terasa 34 m²,Balkón 50 m²,Lodžie 12 m²,Sklep 20 m²,Terasa 9 m²,Balkón 13 m²,Balkón 2.3 m²,Sklep 2.9 m²,Balkón 60 m²,Sklep 10.1 m²,Plot type,Sklep 12 m²,Balkón 20 m²,Terasa 80 m²,Sklep 9 m²,Terasa 13 m²,Lodžie 4.5 m²,Plot space,Terasa 10 m²,Balkón 3.5 m²,Terasa 9.8 m²,Terasa 78 m²,Terasa 2 m²,Lodžie 15 m²,Lodžie 7.1 m²,Lodžie 20 m²,Balkón 29 m²,Terasa 70 m²,Terasa 300 m²,Balkón 2.6 m²,Lodžie 6.1 m²,Terasa 32 m²,Balkón 6.1 m²,Sklep 4.1 m²,Terasa 10.1 m²,Terasa 200 m²,Sklep 6.4 m²
"CZK 18,000","CZK 8,000","CZK 36,000",614501,2 bedroom,12/10/2022,Personal,G,Distance,56 m²,Fully furnished,1,Brick,10 to 30 years,Luxurious,,236.47,35.18,155.1,220.21,172.0,202.76,422.99,395.27,1323.39,356.8,"Kladenská, Prague - Vokovice",50.096948,14.361531,Very good,,,,,,,,,,1.0,,,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,500","CZK 2,500","CZK 25,000",689038,2 bedroom,2/1/2023,Personal,C,,62 m²,Unfurnished,3,Brick,,,,165.44,16.71,128.8,288.9,51.45,364.57,165.56,431.48,193.69,265.5,"Saratovská, Prague - Strašnice",50.0762823,14.4923576,Very good,,,1.0,,1.0,,,,,,,,,,,Complete,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 17,000","CZK 5,075","CZK 34,000",753418,2+kk,11/27/2022,,G,,52 m²,Partly,3,Brick,,,,91.48,785.4,49.03,528.14,103.14,569.42,297.39,260.87,417.32,408.94,"28. pluku, Prague - Vršovice",50.07067,14.46183,Very good,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 21,000","CZK 3,700","CZK 21,000",752616,2+kk,12/1/2022,,G,,56 m²,Partly,2,Brick,,,1.0,72.95,1041.37,911.72,1154.81,279.17,759.89,897.33,770.31,443.66,139.19,"Fikerova, Prague - Modřany",49.99933,14.41015,New-build,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 13,000","CZK 3,000","CZK 13,000",438502,2 bedroom,12/1/2022,Personal,,,42 m²,Fully furnished,,Brick,,,,100.23,717.36,783.8,730.42,540.38,1437.09,475.57,585.37,1080.86,439.42,"Jižní II, Prague - Záběhlice",50.0426841,14.4868405,Very good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 14,000","CZK 1,500","CZK 14,000",542190,1 bedroom,1/1/2023,Personal,,Electric boiler,34 m²,Partly,1,Brick,,,,192.75,352.81,14.91,200.32,102.36,203.14,529.51,605.36,222.41,294.99,Prague - Holešovice,50.104582,14.4522515,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 35,000","CZK 5,000","CZK 35,000",750015,3+1,1/9/2023,Personal,,,89 m²,Fully furnished,2,,30 - 50 years,Luxurious,,249.04,289.34,89.05,80.89,5.48,185.61,329.79,559.59,300.06,235.08,"Kyjevská, Prague - Bubeneč",50.0994,14.39914,New-build,,,,,,,,,1.0,,,,,,,Interior,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 26,000","CZK 3,900","CZK 50,000",747321,4+1,11/21/2022,,,,90 m²,Partly,3,Brick,,,,382.69,615.08,428.7,437.84,403.89,494.22,353.15,874.3,631.07,318.96,"Nad Rokoskou, Prague - Libeň",50.1188,14.45501,Very good,,1.0,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 49,500","CZK 16,500",,751106,2 bedroom,11/30/2022,,,,160 m²,Fully furnished,6,,,,,378.41,424.44,160.64,353.94,178.02,209.44,330.47,847.09,220.58,277.38,"Sochařská, Prague - Bubeneč",50.1019195,14.4242685,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 10,000","CZK 3,000","CZK 13,000",322405,Studio,12/1/2022,Personal,,,25 m²,Fully furnished,2,Brick,10 to 30 years,,,107.39,613.48,565.13,2584.2,489.52,841.24,488.22,488.22,101.62,461.73,"Toužimská, Prague - Kbely",50.135346,14.5420411,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 14,000","CZK 6,000","CZK 20,000",752598,1 bedroom,11/22/2022,,G,,49 m²,Partly,1,Brick,,,,612.2,1870.89,1092.05,1237.53,1244.29,1522.06,1291.9,1646.66,1358.83,311.7,"Froncova, Prague - Hostavice",50.09268,14.5586,Good,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 13,500","CZK 3,000","CZK 27,000",666622,Studio,12/1/2022,Personal,G,Electric boiler,39 m²,Partly,,Brick,,,,244.9,314.1,471.64,3238.8,825.98,3183.28,359.44,379.46,713.45,253.16,"U Železnice, Prague - Kolovraty",50.01384,14.62548,New-build,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 16,500","CZK 3,000","CZK 30,000",751481,Studio,11/17/2022,,A,,30 m²,Fully furnished,5,Low-energy,,,,36.73,557.98,25.06,333.8,13.21,332.14,146.75,254.01,493.89,229.95,Prague - Vršovice,50.07098,14.45875,Very good,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,500","CZK 3,000","CZK 23,000",751195,2+kk,11/28/2022,Personal,B,Central,52 m²,Fully furnished,8,Brick,Up to 10 years,Luxurious,1.0,167.25,753.37,250.6,2418.93,623.72,1412.6,425.89,1613.55,854.18,383.76,"Kramperova, Prague - Kamýk",50.00782,14.45537,New-build,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 20,000","CZK 4,000","CZK 30,000",753413,2+kk,11/27/2022,,B,,49 m²,Fully furnished,,Brick,,,1.0,91.54,820.46,1038.67,2473.66,459.96,709.18,1822.92,652.03,467.42,170.28,"U Spojů, Prague - Ďáblice",50.14495,14.47491,New-build,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 12,800","CZK 2,200","CZK 20,000",746407,Studio,12/18/2022,Personal,G,Electric boiler,27 m²,Partly,2,Brick,Up to 10 years,Standard,,126.66,670.05,145.79,408.52,139.11,543.72,177.76,219.55,297.7,316.83,Prague - Vršovice,50.07023,14.46176,Very good,,,,,,,,,,,,,,,1.0,Complete,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 22,000","CZK 3,500","CZK 22,000",752584,2 bedroom,11/22/2022,,G,,64 m²,Partly,3,Brick,,,,297.51,586.5,286.6,217.83,108.71,367.32,0.07,314.97,202.55,538.66,"Polská, Prague - Vinohrady",50.07851,14.44006,Very good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 18,500","CZK 2,000","CZK 30,000",616233,Studio,1/15/2023,Personal,G,,45 m²,Partly,4,Brick,,Luxurious,1.0,105.51,523.94,70.92,321.12,62.33,328.58,168.28,180.66,528.86,326.76,"Lípová, Prague - Nové Město",50.074862,14.424121,New-build,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 16,000","CZK 4,500","CZK 20,000",555589,2+kk,1/1/2023,Personal,,,58 m²,Partly,2,Brick,,,,343.68,804.58,769.41,2847.89,566.34,750.46,610.16,3678.75,647.96,570.0,"Laudonova, Prague - Štěrboholy",50.0740148,14.5509731,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,000","CZK 5,500","CZK 30,000",752577,2+kk,12/1/2022,,C,,70 m²,Partly,1,Brick,,,,174.19,195.37,511.75,682.08,463.95,610.55,405.72,760.92,2003.34,330.89,"U Kříže, Prague - Jinonice",50.05482,14.36645,Very good,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 13,950","CZK 2,950","CZK 27,900",299724,Studio,1/1/2023,Personal,,,33 m²,Partly,3,Brick,,,,517.76,623.39,437.01,446.15,431.51,502.53,374.27,882.61,624.45,346.58,"Nad Rokoskou, Prague - Libeň",50.1189478,14.453226,New-build,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 46,530","CZK 15,510",,746227,2 bedroom,12/18/2022,,,,48 m²,Fully furnished,2,,,,,158.42,248.82,154.82,246.13,112.68,264.3,390.21,408.3,154.53,114.55,"Řásnovka, Prague - Staré Město",50.0918754,14.4250902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 33,750","CZK 11,250",,746225,2+kk,12/17/2022,,,,75 m²,Fully furnished,6,,,,,163.79,319.88,110.55,226.38,103.86,407.78,227.16,243.22,785.75,360.1,"Na Zbořenci, Prague - Nové Město",50.0769346,14.4169603,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 33,000","CZK 6,000","CZK 39,000",693999,3+kk,1/1/2023,Personal,G,,72 m²,Fully furnished,1,Other,,,,117.53,1000.51,407.31,913.04,245.77,954.62,1131.21,1116.69,1092.73,237.18,"Geologická, Prague - Hlubočepy",50.03491,14.38651,New-build,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 20,999","CZK 3,900","CZK 25,000",753404,2+kk,11/27/2022,,B,Distance,54 m²,Partly,4,Low-energy,Up to 10 years,,1.0,21.66,1051.57,60.99,878.04,173.55,987.57,798.87,1005.78,349.53,275.21,"Kolbenova, Prague - Vysočany",50.11035,14.51414,New-build,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 27,000","CZK 5,500","CZK 32,500",670126,3+kk,1/1/2023,Personal,G,,60 m²,Fully furnished,,Prefab concrete,,,,341.13,787.31,271.22,650.32,356.72,736.62,391.21,133.1,437.85,299.23,"Pujmanové, Prague - Podolí",50.04551,14.43351,Very good,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 13,500",CZK 800,"CZK 13,200",753403,Small studio,11/27/2022,,G,,30 m²,Fully furnished,4,Brick,,,,313.71,598.4,60.9,477.03,36.83,332.93,318.63,78.94,252.07,381.57,"Polská, Prague - Vinohrady",50.07847,14.44563,Very good,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 28,000","CZK 8,000","CZK 40,000",400077,3+1,12/1/2022,Personal,C,Central,109 m²,Partly,2,Brick,,,,217.76,598.71,265.89,684.2,336.87,315.43,399.12,752.22,653.7,484.73,"Talichova, Prague - Břevnov",50.0879235,14.3636788,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 13,500","CZK 4,000","CZK 13,500",399430,1 bedroom,9/1/2022,Personal,,Gas boiler,45 m²,Partly,1,Brick,,Standard,,224.62,651.71,146.46,149.36,148.75,349.55,679.28,484.53,469.98,373.73,"Jindřicha Plachty, Prague - Smíchov",50.0708313,14.4082987,Very good,,,,,,,,,,,,,,,,Interior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 31,500","CZK 10,500",,746228,2 bedroom,12/17/2022,,,,75 m²,Fully furnished,3,,,,,286.21,293.35,195.84,193.77,92.11,378.02,243.35,1039.65,522.33,334.73,"Čechova, Prague - Bubeneč",50.1016621,14.4210737,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 27,900","CZK 9,300",,748676,2+kk,1/1/2023,,,,55 m²,Fully furnished,5,,,,,220.44,310.2,46.98,184.65,155.87,218.79,202.06,484.54,495.63,451.38,"Ovenecká, Prague - Holešovice",50.0984636,14.4253146,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 32,400","CZK 10,800",,746224,2 bedroom,12/17/2022,,,,65 m²,Fully furnished,5,,,,,163.79,319.88,110.55,226.38,103.86,407.78,227.16,243.22,785.75,360.1,"Na Zbořenci, Prague - Nové Město",50.0769346,14.4169603,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 17,250","CZK 5,750",,751066,3+kk,1/14/2023,,,,90 m²,Fully furnished,2,,,,,82.8,397.93,96.94,404.98,135.48,353.78,131.46,217.55,654.74,661.34,"Blanická, Prague - Vinohrady",50.0746503,14.439294,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 26,550","CZK 8,850",,750624,1 bedroom,1/11/2023,,,,33 m²,Fully furnished,2,,,,,135.92,324.33,21.29,391.1,0.72,128.36,277.99,286.71,365.94,338.43,"Sokolovská, Prague - Karlín",50.0922065,14.4436651,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 23,500",CZK 0,"CZK 46,000",753402,3+kk,2/1/2023,,G,,81 m²,Unfurnished,2,Brick,,,,361.93,937.03,231.62,342.89,114.06,561.21,712.24,627.44,809.56,601.3,"Příběnická, Prague - Žižkov",50.08624,14.43974,Very good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 14,900","CZK 4,800","CZK 10,000",753400,2+kk,12/1/2022,Personal,G,,52 m²,Partly,2,Brick,10 to 30 years,Standard,,293.75,1162.56,247.49,811.79,125.85,424.46,353.82,533.66,308.24,395.56,"Závěrka, Prague - Břevnov",50.08283,14.37689,Very good,,1.0,1.0,,1.0,,,,,,,,,,1.0,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 40,500","CZK 13,500",,733049,3+kk,12/11/2022,,,,78 m²,Fully furnished,5,,,,,122.69,292.83,150.02,222.27,31.53,246.25,406.08,512.95,283.22,254.06,"Křižíkova a, Prague - Karlín",50.0928722,14.4500782,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 27,232","CZK 9,077",,753399,1 bedroom,1/26/2023,,,,48 m²,Fully furnished,3,,,,,107.08,199.76,133.64,104.94,106.11,,312.74,774.3,461.94,541.92,"Senovážné náměstí, Prague - Nové Město",50.0855469,14.4290625,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 52,500","CZK 17,500",,731817,2+kk,1/2/2023,,,,80 m²,Fully furnished,3,,,,,281.86,547.59,69.97,211.73,9.84,221.9,245.36,614.41,367.39,520.5,"Ve Smečkách, Prague - Nové Město",50.0795975,14.4273504,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 35,269","CZK 11,756",,753122,3+1,1/24/2023,,,,88 m²,Fully furnished,2,,,,,119.05,2342.79,342.47,1963.2,295.53,418.01,737.58,1682.86,894.29,390.71,"Weberova, Prague - Motol",50.073131,14.3495147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 13,500","CZK 4,600","CZK 27,000",691207,Studio,12/1/2022,Personal,C,Central,48 m²,Fully furnished,3,Brick,Up to 10 years,,1.0,270.69,1044.39,561.92,3654.27,251.55,493.49,975.94,3076.92,1008.6,197.69,"Kardausova, Prague - Dolní Měcholupy",50.06652,14.55191,Very good,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 25,000","CZK 1,100","CZK 30,000",752549,2+kk,12/6/2022,Personal,C,,51 m²,Fully furnished,3,Other,,Standard,,117.53,1000.51,407.31,913.04,245.77,954.62,1131.21,1116.69,1092.73,237.18,"Geologická, Prague - Hlubočepy",50.03491,14.38651,New-build,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 13,000","CZK 3,000","CZK 13,800",617039,Studio,12/1/2022,Personal,G,Gas boiler,32 m²,Unfurnished,2,Brick,,Standard,,481.99,843.34,470.89,722.35,358.84,851.24,598.32,1124.66,339.04,443.48,"Pod Kaštany, Prague - Bubeneč",50.102921,14.412807,Very good,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 41,625","CZK 13,875",,720848,4+kk,11/30/2022,,,,112 m²,Fully furnished,4,,,,,168.35,737.87,30.76,217.13,7.9,216.51,106.1,336.15,114.49,565.37,"Ostrovní, Prague - Nové Město",50.0806286,14.4175374,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 41,100","CZK 13,700",,750069,2+kk,12/30/2022,,,,68 m²,Fully furnished,2,,,,,170.48,421.6,257.32,426.75,52.86,339.7,54.65,63.39,473.33,754.41,"Balbínova, Prague - Vinohrady",50.0795659,14.4357789,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,500","CZK 4,500","CZK 19,500",645658,2+kk,1/2/2023,Personal,F,Central,48 m²,Fully furnished,5,Brick,,,1.0,249.16,369.67,308.68,479.05,292.86,342.59,674.41,689.74,862.2,245.35,"Oty Bubeníčka, Prague - Uhříněves",50.029235,14.597578,New-build,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
