Price,Fees,Listing ID,Layout,Avaliable from,Floor space,Fully furnished,Floor,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Refundable security deposit,Building type,Age,Reconstruction,Condition,Ownership,EPC,Heating,Designe,Cellar,Balcony,Parking,Terrace,Garage,New-build,Enclosed balcony,Administrative fee,Plot space,Plot type,"You will rent this apartment for approximately CZK 26,625 CZK"
"CZK 15,200","CZK 3,210",670902,2+kk,9/1/2022,50 m²,Partly,11,1.0,90.25,545.43,459.33,475.3,469.7,472.84,519.51,1015.48,1312.42,157.08,"Poznaňská, Prague - Bohnice",50.13047,14.4184,"CZK 23,000",Prefab concrete,30 - 50 years,Complete,Very good,Cooperative,G,Central,Standard,1.0,,1.0,,1.0,,,,,,
"CZK 15,000","CZK 3,500",723059,2+kk,6/21/2022,44 m²,Partly,11,1.0,350.05,505.94,363.77,910.5,760.35,829.25,526.91,608.99,575.92,44.36,Prague - Horní Měcholupy,50.04313,14.55293,"CZK 20,000",Prefab concrete,,Complete,Very good,Personal,,Central,Standard,,,,,,,,,,,
"CZK 20,000","CZK 6,000",59784,3+1,6/27/2022,78 m²,Partly,1,1.0,169.08,203.73,173.67,201.04,282.3,181.25,591.76,186.38,915.35,45.43,"Machatého, Prague - Hlubočepy",50.0330761,14.3762368,"CZK 30,000",Prefab concrete,,Complete,Very good,Personal,,Central,,,1.0,,,,,,,,,
"CZK 22,500","CZK 7,500",723686,2 bedroom,8/15/2022,35 m²,Fully furnished,4,1.0,97.26,259.91,105.72,291.36,79.07,194.41,340.41,525.24,106.28,298.87,"Koněvova, Prague - Žižkov",50.088447,14.458108,,,,,,,,,,,,,,,,,,,,
"CZK 60,000","CZK 20,000",717693,2+kk,8/14/2022,,Fully furnished,3,,177.2,646.63,182.16,39.81,37.58,122.34,27.5,101.85,349.84,194.18,"Ječná, Prague - Nové Město",50.0757302,14.4269087,,,,,,,,,,,,,,,,,,,,
"CZK 30,000","CZK 4,000",629967,2 bedroom,10/12/2020,63 m²,Fully furnished,,,192.33,450.79,123.1,443.76,107.15,445.8,90.9,276.88,599.54,143.39,"Lannova, Prague - Nové Město",50.092769,14.431964,"CZK 22,000",Brick,,Complete,Very good,Personal,,Central,,,,,,,,,,,,
"CZK 19,900","CZK 5,800",723676,3+1,6/26/2022,87 m²,Partly,12,1.0,66.51,124.74,126.5,412.33,182.62,218.01,319.08,467.81,508.39,69.15,Prague - Holešovice,50.1029,14.44467,"CZK 40,000",Prefab concrete,,,Very good,,G,,,1.0,1.0,,,1.0,,,,,,
"CZK 48,000","CZK 16,000",717684,3+1,8/2/2022,72 m²,Fully furnished,5,1.0,273.55,299.9,80.57,586.7,68.95,312.33,103.27,252.88,792.89,567.68,"Americká, Prague - Vinohrady",50.0718291,14.4385892,,,,,,,,,,,,,,,,,,,,
"CZK 20,250","CZK 6,750",723113,3+1,7/1/2022,80 m²,Fully furnished,2,1.0,471.25,743.59,335.23,446.49,287.19,729.74,444.14,484.03,537.2,772.67,"Řehořova, Prague - Žižkov",50.086282,14.4433901,,,,,,,,,,,,,,,,,,,,
"CZK 8,500","CZK 2,000",613946,Studio,8/1/2022,25 m²,Unfurnished,2,,121.2,599.05,136.25,191.29,224.99,117.18,469.06,934.92,753.51,282.36,"Zbynická, Prague - Radotín",49.983436,14.363569,"CZK 10,500",Brick,,,Very good,Personal,C,Central,,,,,,,,,,,,
"CZK 19,125","CZK 6,375",723674,Studio,7/23/2022,35 m²,Fully furnished,4,1.0,212.3,519.73,108.74,821.47,258.89,581.78,216.81,340.99,1089.85,490.78,"Hlaváčkova, Prague - Košíře",50.0699993,14.3820262,,,,,,,,,,,,,,,,,,,,
"CZK 57,750","CZK 19,250",723111,4+1,7/24/2022,110 m²,Fully furnished,7,1.0,137.99,750.11,161.99,51.36,36.39,308.63,639.86,669.46,545.17,200.72,"Koněvova, Prague - Žižkov",50.0896259,14.4652159,,,,,,,,,,,,,,1.0,,,,,,
"CZK 20,000","CZK 5,500",723672,3+1,9/1/2022,68 m²,Fully furnished,11,1.0,212.27,1243.66,323.18,1789.84,473.36,444.79,582.51,1306.11,322.63,75.43,Prague - Krč,50.02767,14.45456,"CZK 25,500",Prefab concrete,,,Good,,D,,,1.0,,1.0,,,,1.0,,,,
"CZK 18,000","CZK 4,000",723669,2 bedroom,6/26/2022,52 m²,Partly,5,,335.02,414.88,193.82,445.36,167.41,386.08,241.36,360.95,701.29,238.6,Prague - Krč,50.04501,14.44388,"CZK 36,000",Prefab concrete,,Complete,Very good,,B,,Standard,,,,,,,,,,,
"CZK 27,000","CZK 2,000",723102,4+1,6/21/2022,135 m²,Unfurnished,5,,154.5,93.58,125.48,165.43,52.92,155.76,238.47,399.59,190.53,419.22,Prague - Vršovice,50.06782,14.45545,"CZK 30,000",Brick,10 to 30 years,,Good,,G,,Standard,,,,1.0,,,,,,,
"CZK 47,235","CZK 15,745",717653,3+1,7/14/2022,55 m²,Fully furnished,2,,158.42,248.82,154.82,246.33,112.75,320.11,390.5,408.53,154.73,114.44,"Řásnovka, Prague - Staré Město",50.0918754,14.4250902,,,,,,,,,,,,,,,,,,,,
"CZK 20,139","CZK 6,713",723356,Studio,8/5/2022,24 m²,Fully furnished,5,1.0,204.75,529.92,107.76,271.28,117.3,198.17,381.93,473.46,640.15,688.11,"Tyršova, Prague - Nové Město",50.073014,14.4308483,,,,,,,,,,,,,,,,,,,,
"CZK 30,000","CZK 5,500",683431,3+kk,7/1/2022,89 m²,Partly,3,1.0,329.92,646.78,159.16,588.37,564.2,1588.28,456.26,884.56,1188.75,679.25,"Choceradská, Prague - Záběhlice",50.04802,14.49365,"CZK 60,000",Brick,,,Very good,Personal,B,Central,,,,1.0,,1.0,,,,,,
"CZK 20,000","CZK 3,700",590552,2+kk,10/1/2020,94 m²,Unfurnished,1,,335.45,2188.05,2068.41,3106.71,392.75,1861.67,1870.35,2187.42,2234.91,316.01,"K Pitkovicům, Prague - Benice",50.012494,14.601121,"CZK 25,000",Brick,Up to 10 years,Complete,New-build,Personal,A,Other,Luxurious,,,,,,1.0,,,,,
"CZK 11,000","CZK 4,500",719842,2+kk,7/15/2022,51 m²,Partly,7,1.0,201.37,488.47,280.43,494.11,491.68,270.87,377.74,106.19,1098.64,136.85,"Běhounkova, Prague - Stodůlky",50.053884,14.3413519,"CZK 31,000",Prefab concrete,10 to 30 years,Complete,Very good,Personal,C,Central,,1.0,,,,,,1.0,,,,
"CZK 13,000","CZK 3,500",721979,1 bedroom,6/21/2022,43 m²,Unfurnished,2,,146.47,121.3,37.09,254.28,120.69,295.82,259.79,473.05,774.3,307.82,Prague - Strašnice,50.07591,14.49147,"CZK 13,000",Brick,,,Very good,,E,Electric boiler,,,,,,,,,,,,
"CZK 41,850","CZK 13,950",717609,2+kk,7/8/2022,45 m²,Fully furnished,2,1.0,110.1,273.82,156.66,129.22,76.56,142.67,300.13,496.4,282.11,367.31,"Dlážděná, Prague - Nové Město",50.0865843,14.4323212,,,,,,,,,,,,,,,,,,,,
"CZK 9,500","CZK 4,500",529640,Studio,6/25/2022,25 m²,Fully furnished,2,,293.21,773.4,614.72,558.35,411.78,668.94,248.49,1614.19,521.51,49.92,"Na Radosti, Prague - Zličín",50.0577592,14.2889989,"CZK 19,000",Brick,Up to 10 years,Complete,Very good,Personal,,Central,Luxurious,,,,,,,,,,,
"CZK 18,411","CZK 6,137",720847,2+kk,8/1/2022,50 m²,Fully furnished,6,1.0,277.1,614.47,143.26,237.63,131.1,108.2,397.97,133.59,451.34,420.6,"Na Poříčním právu, Prague - Nové Město",50.0712667,14.4160344,,,,,,,,,,,,,,,,,,,,
"CZK 21,000","CZK 7,000",717697,Studio,7/15/2022,25 m²,Fully furnished,12,1.0,189.82,256.26,203.59,195.12,172.26,262.02,433.07,416.1,435.58,299.38,"Freyova, Prague - Vysočany",50.108944,14.501028,,,,,,,,,,,,,,,,,,,,
"CZK 41,250","CZK 13,750",719999,2+kk,7/23/2022,55 m²,Fully furnished,1,1.0,76.78,951.56,41.94,296.91,109.07,229.41,371.34,325.8,517.82,388.28,"Rečkova, Prague - Žižkov",50.0904334,14.4705869,,,,,,,,,,,,,,,,,,,,
"CZK 39,600","CZK 13,200",717648,2+kk,8/1/2022,46 m²,Fully furnished,2,,249.05,258.88,108.69,237.41,65.07,536.83,294.74,273.73,806.33,231.2,"Míšeňská, Prague - Malá Strana",50.0876118,14.4080467,,,,,,,,,,,,,,,,,,,,
"CZK 53,510","CZK 17,836",722871,4+1,8/22/2022,110 m²,Fully furnished,7,1.0,259.9,938.36,207.03,294.37,97.8,142.98,488.82,445.04,400.94,361.6,"Divadelní, Prague - Staré Město",50.0824664,14.4140344,,,,,,,,,,,1.0,,1.0,,,,,,,
"CZK 33,150","CZK 11,050",717601,2 bedroom,7/1/2022,65 m²,Fully furnished,3,1.0,167.88,319.4,98.79,226.57,101.05,409.22,227.05,243.11,631.69,429.01,"Na Zbořenci, Prague - Nové Město",50.0769346,14.4169603,,,,,,,,,,,,,,,,,,,,
"CZK 25,000","CZK 5,000",723662,2+kk,8/1/2022,52 m²,Fully furnished,5,1.0,248.13,434.64,284.68,215.85,302,423.93,194.53,888.81,323.92,157.1,Prague - Podolí,50.05603,14.42064,"CZK 60,000",Brick,,,Very good,,G,,,,,,1.0,,,,,,,
"CZK 26,925","CZK 8,975",722461,2+kk,6/30/2022,45 m²,Fully furnished,5,,120.02,534.05,85.43,336.67,47.85,343.67,182.79,195.16,543.36,341.26,"Lípová, Prague - Nové Město",50.0747395,14.424046,,,,,,,,,,,,,,,,,,,,
"CZK 37,500","CZK 12,500",718218,2+kk,6/30/2022,45 m²,Fully furnished,2,1.0,210.86,382.06,250.08,989.18,169.53,744.75,811.66,1049.67,387.48,543.22,"Strakonická, Prague - Smíchov",50.0643299,14.4102127,,,,,,,,,,,,,,,,,,,,
"CZK 18,000","CZK 4,000",328115,3+1,9/1/2022,70 m²,Unfurnished,6,1.0,240.74,342.02,153.24,337.45,272.92,341.49,355.92,189.66,776.75,148.02,"Gabinova, Prague - Hlubočepy",50.0364692,14.3747538,CZK 0,Prefab concrete,,,,Personal,,,,1.0,1.0,,,,,,,,,
"CZK 15,000","CZK 3,000",646431,2+kk,6/26/2022,49 m²,Partly,1,,276.32,498.68,44.0,389.17,53,35.99,515.08,357.91,829.9,148.25,"Jablonecká, Prague - Střížkov",50.125204,14.493142,"CZK 15,000",Prefab concrete,,,Very good,Personal,B,,,,1.0,,,,,,,,,
"CZK 15,000","CZK 4,500",459179,2+kk,7/18/2022,41 m²,Partly,8,1.0,202.98,778.32,400.67,513.14,375.45,386.78,173.19,350.23,839.96,141.01,"Litoměřická, Prague - Prosek",50.1188062,14.4937472,"CZK 20,000",Other,10 to 30 years,,Very good,Personal,C,Distance,Standard,,,,,,,,,,,
"CZK 15,500","CZK 4,000",722485,2+kk,7/15/2022,45 m²,Partly,6,1.0,462.41,1033.48,253.78,1009.41,697.88,597.49,533.04,511.88,1279.24,70.72,Prague - Střížkov,50.13041,14.49516,"CZK 30,000",Brick,,,Very good,Personal,C,Central,,1.0,,,1.0,,,,,,,
"CZK 17,500","CZK 6,000",723652,2+kk,7/1/2022,58 m²,Partly,2,1.0,262.65,484.16,230.56,802.92,722.65,428.82,704.38,573.08,1007.93,286.91,Prague - Stodůlky,50.04304,14.31343,"CZK 23,500",Brick,Up to 10 years,,New-build,,B,Central,,1.0,1.0,1.0,,1.0,1.0,,,,,
"CZK 37,500","CZK 12,500",717602,2+kk,7/17/2022,56 m²,Fully furnished,5,1.0,242.69,541.12,99.79,271.87,177.08,314.62,456.71,820.48,635.04,594.38,"Mečislavova, Prague - Nusle",50.0633339,14.4440155,,,,,,,,,,,,,,,,,,,,
"CZK 13,000","CZK 4,000",723649,2+kk,6/25/2022,45 m²,Fully furnished,1,,179.84,499.01,97.11,595.04,159.83,607.17,403.26,229.65,187.96,118.16,Prague - Michle,50.04626,14.45966,"CZK 17,000",Brick,,,Good,,G,,,,,,,,,,,,,
"CZK 13,500","CZK 3,600",36975,Studio,7/1/2022,36 m²,Fully furnished,1,,513.73,519.45,151.48,546.39,3.75,225.04,260.1,350.48,675.83,302.65,"Bořivojova, Prague - Žižkov",50.0823091,14.4457916,"CZK 30,000",Brick,Up to 10 years,Complete,Good,Personal,,Gas boiler,Standard,,,,,,,,,,,
"CZK 51,840","CZK 17,280",721636,4+1,7/26/2022,135 m²,Fully furnished,2,1.0,27.14,163.16,188.32,126.78,89.39,330.14,255.51,656.79,366.34,321.44,"Platnéřská, Prague - Staré Město",50.0872334,14.4168778,,,,,,,,,,,1.0,,1.0,,,,,,,
"CZK 21,009","CZK 7,003",722293,Studio,8/2/2022,27 m²,Fully furnished,1,,356.54,736.2,458.21,353.24,376.04,829.05,1040.15,326.58,1014.22,65.27,"Buštěhradská, Prague - Střešovice",50.0968441,14.3897247,,,,,,,,,,,1.0,,1.0,,,,,,,
"CZK 16,400","CZK 3,500",463394,2 bedroom,7/1/2022,45 m²,Fully furnished,2,,151.58,717.67,137.09,493.87,172.31,586.16,312.44,697.55,760.83,457.92,Prague - Smíchov,50.0718431,14.3947054,"CZK 20,000",Brick,,,,Personal,C,Gas boiler,Standard,,,1.0,,,,,,,,
"CZK 12,500","CZK 2,500",547854,Small studio,9/1/2022,36 m²,Partly,2,1.0,283.15,1316.89,209.18,1364.92,389.46,484.64,244.54,718.15,1091.35,142.26,"Černého, Prague - Střížkov",50.1305732,14.4858855,"CZK 15,000",Prefab concrete,10 to 30 years,Interior,Very good,Cooperative,,Distance,,1.0,,1.0,,,,1.0,,,,
"CZK 33,750","CZK 11,250",723533,2+kk,6/30/2022,56 m²,Fully furnished,6,1.0,345.14,1342.2,164.46,1280.58,177.52,640.24,86.84,430.13,282.25,213.81,"Střížkovská, Prague - Střížkov",50.1237895,14.4836132,,,,,,,,,,,,,,,,,,,,
"CZK 33,750","CZK 11,250",722553,4+1,8/2/2022,125 m²,Fully furnished,6,1.0,471.25,743.59,335.23,446.49,287.19,729.74,444.14,484.03,537.2,772.67,"Řehořova, Prague - Žižkov",50.086282,14.4433901,,,,,,,,,,,1.0,,1.0,,,,,,,
"CZK 22,493","CZK 7,497",722817,Studio,7/31/2022,30 m²,Fully furnished,3,1.0,235.87,685.78,233.92,407.82,154.16,248.27,547.3,509.71,132.73,318.9,"V Háji, Prague - Holešovice",50.1013638,14.4546402,,,,,,,,,,,,,,1.0,,,,,,
"CZK 13,500","CZK 4,500",723019,Small studio,9/1/2022,25 m²,Fully furnished,,1.0,196.41,679.0,168.5,100.72,76.61,170.21,167.95,242.3,235.36,148.39,Prague - Nové Město,50.0763,14.42761,"CZK 36,000",Brick,,,Very good,,G,,,1.0,,1.0,1.0,,,,,,,
"CZK 20,000","CZK 4,500",723584,3+kk,6/25/2022,67 m²,Partly,4,,310.96,473.68,277.79,195.5,398.77,460.22,254.33,495.59,520.32,282.61,Prague - Háje,50.02973,14.53241,"CZK 49,000",Prefab concrete,,,Very good,Personal,G,,,1.0,1.0,,,,,,,,,
"CZK 27,000","CZK 8,400",400077,3+1,7/1/2022,109 m²,Partly,2,1.0,217.79,597.56,265.89,683.05,336.87,315.43,400.63,752.22,652.55,483.58,"Talichova, Prague - Břevnov",50.0879235,14.3636788,"CZK 35,400",Brick,,,,Personal,C,Central,,,1.0,,1.0,,,,,,,
"CZK 35,100","CZK 11,700",720238,2 bedroom,6/30/2022,65 m²,Fully furnished,5,1.0,167.88,319.4,98.79,226.57,101.05,409.22,227.05,243.11,631.69,429.01,"Na Zbořenci, Prague - Nové Město",50.0769346,14.4169603,,,,,,,,,,,,,,,,,,,,
"CZK 16,482","CZK 3,200",722977,2 bedroom,6/2/2022,42 m²,,1,,281.26,662.35,291.29,585.76,345.01,350.55,436.24,430.34,851.48,128.61,"Pod Rapidem, Prague - Vinohrady",50.0742759,14.4841423,"CZK 21,082",Other,,,Good,Personal,,,,,,,,,,,"CZK 2,435",,,
"CZK 19,500","CZK 5,500",365644,3+1,7/1/2022,70 m²,Unfurnished,10,1.0,370.76,633.32,55.76,763.15,387.57,670.66,279.88,133.48,1468.17,142.66,"Chabařovická, Prague - Kobylisy",50.1306159,14.4759994,CZK 0,Prefab concrete,,,Very good,Personal,,Central,,,,,,,,1.0,,,,
"CZK 26,000","CZK 6,000",531739,3+kk,8/1/2022,77 m²,,6,1.0,91.66,985.05,39.0,194.45,100.81,319.5,207.08,678.43,483.41,788.15,"Heřmanova, Prague - Holešovice",50.1004365,14.435502,"CZK 26,000",Brick,,,,Personal,,,,1.0,,,,,,,,,,
"CZK 6,500","CZK 1,500",163340,3+1,7/1/2022,18 m²,Partly,3,1.0,55.92,920.32,235.19,843.38,41.26,870.57,718.44,500.86,214.73,108.27,"Na chobotě, Prague - Řepy",50.065819,14.2985,"CZK 2,000",Prefab concrete,10 to 30 years,Complete,Very good,Personal,C,Distance,Standard,,,,,,,,,,,
"CZK 16,030","CZK 4,000",723622,2+kk,6/25/2022,58 m²,Partly,4,,114.32,581.53,119.07,594.22,82.72,221.25,275.26,934.18,327.75,203.11,Prague - Holešovice,50.10803,14.44562,"CZK 16,000",Brick,,,Very good,,B,,,1.0,,,,,,,,,,
"CZK 47,340","CZK 15,780",717682,2+kk,6/30/2022,69 m²,Fully furnished,6,1.0,104.56,349.59,143.75,145.93,108.83,150.53,431.56,393.96,289.53,329.01,"Na Maninách, Prague - Holešovice",50.1025661,14.4522431,,,,,,,,,,,1.0,,1.0,,,,,,,
"CZK 31,500","CZK 10,500",723520,1 bedroom,6/30/2022,30 m²,Fully furnished,3,1.0,22.29,481.37,107.82,95.32,6.34,158.39,351.4,425.94,380.79,468.94,"Legerova, Prague - Vinohrady",50.0749602,14.4305105,,,,,,,,,,,,,,,,,,,,
"CZK 17,000","CZK 5,000",719890,2 bedroom,6/1/2022,51 m²,Fully furnished,3,,108.08,926.85,219.72,975.94,12.4,441.27,679.35,744.33,702.64,401.06,"Jihlavská, Prague - Michle",50.042789,14.4612313,"CZK 22,000",Brick,,,Very good,Personal,G,,,,,,,,,,,,,
"CZK 15,000","CZK 4,000",656245,2 bedroom,7/1/2022,70 m²,Partly,1,,40.83,518.68,65.91,89.86,234.36,36.81,473.98,854.55,673.14,241.37,"Zbynická, Prague - Radotín",49.98421,14.36332,"CZK 30,000",Brick,,,Very good,Personal,,,,,,,,,,,,,,
"CZK 23,760","CZK 7,920",722788,1 bedroom,7/2/2022,35 m²,Fully furnished,-1,,382.14,590.69,160.72,829.35,129.39,795.0,444.92,113.58,578.94,260.21,"Šmilovského, Prague - Vinohrady",50.0708095,14.4422894,,,,,,,,,,,,,,1.0,,,,,,
"CZK 13,400","CZK 2,000",533589,2 bedroom,6/21/2022,40 m²,Fully furnished,2,1.0,138.19,543.07,211.86,477.9,439.08,505.48,195.93,312.51,1779.7,312.2,"Svídnická, Prague - Troja",50.1283489,14.4127064,"CZK 20,000",Prefab concrete,,,Good,Personal,,,,,,,,,,,,,,
"CZK 23,000","CZK 5,000",486984,Studio,7/5/2022,48 m²,Fully furnished,1,1.0,99.26,361.63,490.78,556.87,427.65,345.52,452.0,519.02,404.9,293.38,"Olšanská, Prague - Žižkov",50.0830187,14.4654473,"CZK 46,000",Low-energy,Up to 10 years,,,Personal,,,,1.0,,,1.0,1.0,1.0,1.0,,,,
"CZK 10,365","CZK 1,700",723050,Studio,6/14/2022,19 m²,,1,,234.2,322.55,116.79,190.63,91.32,407.71,111.54,1555.62,379.26,307.8,"Čechova, Prague - Bubeneč",50.1017007,14.4205889,"CZK 12,365",Other,,,Good,Personal,,,,,,,,,,,"CZK 1,555",,,
"CZK 16,198","CZK 2,900",722326,2+kk,6/14/2022,50 m²,Partly,2,1.0,180.72,1397.11,115.54,2149.17,625.81,2822.52,1562.3,2426.66,2275.53,47.71,Prague - Hostavice,50.0864,14.56443,"CZK 40,000",Brick,,,New-build,,B,,,1.0,1.0,,,1.0,,,,,,
"CZK 16,020","CZK 4,000",721677,2+kk,7/1/2022,45 m²,Partly,4,1.0,418.72,1747.18,1059.31,1598.51,833.91,1531.62,1428.09,1672.66,1336.97,846.18,Prague - Kyje,50.11506,14.56703,"CZK 40,000",Brick,,,Very good,,B,,,1.0,1.0,,,,,,,,,
"CZK 26,250","CZK 8,750",723508,2+kk,8/4/2022,48 m²,Fully furnished,3,1.0,378.96,558.46,187.78,832.78,50.41,819.92,518.84,300.42,563.69,288.95,"Rybalkova, Prague - Vinohrady",50.0719171,14.4429188,,,,,,,,,,,,,,,,,,,,
"CZK 13,000","CZK 1,500",488172,Studio,9/16/2018,29 m²,Partly,3,1.0,192.85,589.45,246.86,569.97,219.24,605.23,523.75,149.1,739.14,295.19,"Werichova, Prague - Hlubočepy",50.0316798,14.3709481,"CZK 14,500",Prefab concrete,,Complete,Very good,Personal,,Central,,,,,,,,,,,,
"CZK 12,000","CZK 4,000",342520,2 bedroom,6/21/2022,57 m²,Unfurnished,5,,174.63,604.55,99.24,370.02,92.19,387.8,198.17,139.02,532.92,182.89,"Brunclíkova, Prague - Břevnov",50.0851748,14.3455348,"CZK 16,000",Prefab concrete,,,Good,Cooperative,,,,,,,,,,,,,,
"CZK 18,000","CZK 2,500",721706,Studio,7/13/2022,32 m²,Fully furnished,3,1.0,184.77,491.18,211.44,600.21,185.71,463.81,909.61,880.1,1116.52,293.82,Prague - Uhříněves,50.02854,14.59565,"CZK 40,000",Brick,Up to 10 years,,New-build,Personal,B,Electric boiler,Luxurious,1.0,,,,,1.0,1.0,,,,
"CZK 17,910","CZK 5,970",722730,Studio,7/20/2022,20 m²,Fully furnished,-1,,431.7,640.24,157.26,840.01,42.83,805.65,431.31,99.97,606.08,263.18,"Šmilovského, Prague - Vinohrady",50.0705646,14.4422617,,,,,,,,,,,,,,1.0,,,,,,
"CZK 31,500","CZK 10,500",717597,1 bedroom,6/30/2022,30 m²,Fully furnished,2,1.0,22.29,463.39,80.9,95.69,72.35,158.42,361.29,435.63,383.68,450.56,"Legerova, Prague - Vinohrady",50.0749602,14.4305105,,,,,,,,,,,,,,,,,,,,
"CZK 13,000","CZK 3,000",661912,Studio,7/1/2022,45 m²,Fully furnished,5,1.0,157.18,710.91,192.49,523.28,139.22,477.02,531.59,976.07,363.23,311.8,"U Uranie, Prague - Holešovice",50.10592,14.45496,"CZK 13,000",Brick,Up to 10 years,,Very good,Personal,G,Gas boiler,,,,1.0,,,,,,,,
"CZK 4,300","CZK 1,500",353788,3+1,6/27/2022,9 m²,Fully furnished,1,,55.3,1356.22,138.56,854.13,23.68,588.74,701.49,699.55,925.31,586.32,"Klapkova, Prague - Kobylisy",50.1295899,14.455381,"CZK 5,800",Brick,,,,Personal,G,,,,,,,,,,,500 m²,,
"CZK 7,000","CZK 2,500",354692,Other,6/27/2022,20 m²,Fully furnished,1,,47.34,1364.56,146.9,862.47,60.54,597.08,709.83,707.89,933.65,594.52,"Klapkova, Prague - Kobylisy",50.1295387,14.4551659,"CZK 9,000",Brick,,,,Personal,G,,,,,,,,,,,,,
"CZK 17,500","CZK 4,500",720712,3+kk,6/1/2022,57 m²,Partly,3,,217.36,722.43,413.73,1349.43,352,524.81,396.78,976.92,519.49,49.09,Prague - Lhotka,50.02405,14.44971,"CZK 22,000",Prefab concrete,,Complete,Very good,Personal,G,Distance,,1.0,,1.0,,,,1.0,,,,
"CZK 11,000","CZK 2,000",425448,Small studio,1/2/2022,18 m²,Fully furnished,1,,96.37,1112.27,342.53,720.59,185.54,791.77,490.82,465.42,674.92,179.97,"Na Jezerce, Prague - Nusle",50.0582532,14.44353,"CZK 13,000",Brick,Up to 10 years,Complete,Very good,Personal,,,Standard,,,,,,,,,,,
"CZK 12,500","CZK 3,000",447035,Small studio,7/11/2022,31 m²,Unfurnished,4,,269.87,1520.42,280.43,861.87,297.03,681.89,504.56,339.0,775.92,235.35,"Ve Struhách, Prague - Bubeneč",50.1093304,14.3994934,"CZK 15,500",Brick,30 - 50 years,Complete,,Cooperative,,Electric boiler,Standard,,,,1.0,,,,,,,
"CZK 6,000","CZK 1,000",723592,Other,6/25/2022,25 m²,Fully furnished,1,,231.24,1224.16,81.26,10.74,37.15,105.4,608.75,959.18,576.79,135.87,Prague - Libeň,50.10424,14.49114,"CZK 10,000",Other,,,Very good,,C,,,,,1.0,,,,,,,,
"CZK 15,000","CZK 3,000",723591,Studio,7/9/2022,34 m²,Fully furnished,5,1.0,256.52,443.42,142.51,340.32,120.47,267.21,416.68,386.95,691.92,739.88,Prague - Nové Město,50.07291,14.43148,"CZK 15,000",Brick,,,Very good,,C,,,,,,,,,,,,,
"CZK 30,968","CZK 10,322",722787,1 bedroom,8/4/2022,52 m²,Fully furnished,3,1.0,194.81,408.3,97.23,765.36,41.67,716.59,415.49,296.07,511.26,224.74,"Rybalkova, Prague - Vinohrady",50.0719171,14.4429188,,,,,,,,,,,,,,,,,,,,
"CZK 17,175","CZK 5,725",723112,Studio,7/16/2022,16 m²,Fully furnished,3,,151.47,346.94,58.54,123.52,76.82,121.44,203.9,179.2,421.36,192.43,"Holandská, Prague - Vršovice",50.0696405,14.4559213,,,,,,,,,,,,,,,,,,,,
"CZK 16,600","CZK 5,900",586877,3+1,7/1/2022,66 m²,Partly,3,1.0,414.91,1288.61,395.61,1537.27,715.07,717.06,779.41,1389.08,546.92,659.4,"Na Vinobraní, Prague - Záběhlice",50.057107,14.486841,"CZK 30,000",Prefab concrete,,Bathroom unit,Very good,Personal,B,Central,,1.0,,,,,,1.0,,,,
"CZK 30,000","CZK 10,000",723490,4+1,7/1/2022,120 m²,Fully furnished,6,1.0,469.22,761.02,346.03,457.3,297.99,666.11,439.37,474.87,525.98,781.4,"Řehořova, Prague - Žižkov",50.0862376,14.4435427,,,,,,,,,,,1.0,,1.0,,,,,,,
"CZK 21,019","CZK 7,006",717606,Studio,7/2/2022,28 m²,Fully furnished,1,,192.2,792.19,136.81,285.46,92.76,475.4,242.58,336.79,507.76,82.3,"U Zeměpisného ústavu, Prague - Bubeneč",50.1033901,14.4020568,,,,,,,,,,,,,,,,,,,,
"CZK 25,000","CZK 5,000",718671,2+kk,6/1/2022,55 m²,Partly,6,1.0,69.81,683.51,191.83,495.88,59.62,443.09,652.48,940.02,319.58,294.49,"Jankovcova, Prague - Holešovice",50.1054125,14.4558379,"CZK 50,000",Brick,,,New-build,Personal,B,Central,Standard,,1.0,,,1.0,1.0,,,,,
"CZK 18,000","CZK 3,500",599578,Studio,6/27/2022,30 m²,Fully furnished,6,1.0,104.46,100.75,145.87,164.05,17.34,249.73,454.56,532.32,420.33,147.37,"Sokolovská, Prague - Karlín",50.093338,14.449216,"CZK 20,000",Brick,Up to 10 years,Interior,Very good,Cooperative,C,Distance,Luxurious,1.0,,,,,,,,,,
"CZK 22,950","CZK 7,650",720321,Studio,7/29/2022,30 m²,Fully furnished,1,,132.37,501.79,36.37,411.65,20.42,261.97,31.33,216.92,578.69,177.33,"Klimentská, Prague - Nové Město",50.0922767,14.4324355,,,,,,,,,,,,,,,,,,,,
"CZK 41,625","CZK 13,875",720848,4+kk,8/1/2022,112 m²,Fully furnished,4,1.0,168.35,737.87,30.76,217.13,7.9,216.51,106.1,336.15,114.49,565.37,"Ostrovní, Prague - Nové Město",50.0806286,14.4175374,,,,,,,,,,,1.0,,1.0,,,,,,,
"CZK 34,500","CZK 11,500",721077,2+kk,8/3/2022,45 m²,Fully furnished,6,1.0,149.44,274.13,59.7,440.76,20.27,421.03,58.77,552.06,690.27,456.83,"Francouzská, Prague - Vinohrady",50.0739894,14.440101,,,,,,,,,,,,,,,,,,,,
