Price,Fees,Listing ID,Layout,Avaliable from,Floor space,Fully furnished,Floor,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Refundable security deposit,EPC,Condition,Building type,Balcony,Parking,Age,Reconstruction,Ownership,Heating,Designe,Enclosed balcony,Cellar,Terrace,New-build,Administrative fee,Domácí mazlíčci vítáni,Garage,Plot space,Plot type
"CZK 18,000","CZK 5,700",732354,2+kk,9/4/2022,52 m²,Fully furnished,2,1.0,210.94,228.98,313.11,351.71,268.57,280.65,584.56,449.23,338.64,170.96,Prague - Horní Měcholupy,50.0421,14.55736,"CZK 25,000",B,New-build,Other,,1.0,Up to 10 years,,,,,,1.0,,1.0,,,1.0,,
"CZK 17,000","CZK 4,200",732282,Studio,9/7/2022,45 m²,Fully furnished,2,1.0,220.49,1171.81,333.89,1110.19,787.14,770.92,150.76,505.27,686.7,291.03,Prague - Prosek,50.11945,14.4856,"CZK 23,400",C,New-build,Other,,,Up to 10 years,,,Central,,1.0,1.0,,1.0,,,1.0,,
"CZK 11,000","CZK 4,500",543888,Studio,10/1/2022,30 m²,Partly,1,1.0,226.08,914.29,66.73,626.52,329.1,751.16,123.39,1989.1,998.4,147.06,"Sazovická, Prague - Zličín",50.0577491,14.2835448,"CZK 20,000",,New-build,Brick,1.0,,,,Personal,,Standard,,1.0,1.0,1.0,,,,,
"CZK 13,000","CZK 4,000",733282,3+1,9/6/2022,777 m²,Partly,,,291.39,1027.86,215.49,680.32,633.1,804.61,1178.47,291.34,2491.02,166.14,Prague - Černý Most,50.10307,14.58197,"CZK 10,000",G,Good,Prefab concrete,1.0,,,,,,,,1.0,,,,1.0,,,
"CZK 17,000","CZK 4,900",671052,2+kk,9/6/2022,69 m²,Partly,1,1.0,295.69,579.96,120.83,366.9,70.62,355.16,297.56,338.33,675.54,94.01,"Baranova, Prague - Žižkov",50.0799,14.4577,"CZK 17,000",G,Very good,Brick,,,,,Personal,Other,,,,,,,,,,
"CZK 23,000","CZK 5,000",732375,3+kk,11/1/2022,74 m²,Partly,2,1.0,234.04,1583.45,231.92,1255.78,278.04,219.26,471.98,201.41,552.16,60.46,Prague - Strašnice,50.067,14.51166,"CZK 23,000",G,Very good,Brick,,,,,,,,1.0,,,,,,,,
"CZK 19,000","CZK 5,000",733267,3+1,9/19/2022,66 m²,Partly,6,1.0,224.08,922.37,434.67,1592.85,284.95,264.63,705.34,1143.7,773.85,157.27,Prague - Horní Počernice,50.11099,14.6042,"CZK 38,000",C,Very good,Prefab concrete,,1.0,,,Personal,,,1.0,1.0,,,,,,,
"CZK 12,000","CZK 4,700",732311,Studio,9/4/2022,21 m²,Fully furnished,4,1.0,218.58,1120.37,177.35,538.81,22.86,0.18,49.51,432.88,106.29,197.71,Prague - Vyšehrad,50.06697,14.41656,"CZK 12,000",G,Very good,Brick,,,,,,,,,,,,,,,,
"CZK 15,000","CZK 5,000",528574,Studio,8/9/2018,35 m²,Fully furnished,1,,658.96,997.02,1317.3,1575.98,205.87,1113.2,1402.44,1230.44,383.12,175.07,"Hlučkova, Prague - Letňany",50.1425334,14.5228207,"CZK 20,000",B,Very good,Brick,,1.0,,,Personal,,,,1.0,1.0,,,,,,
"CZK 15,580","CZK 1,440",577869,2+kk,9/19/2022,42 m²,Partly,4,,232.54,712.2,301.69,1009.67,252.03,393.41,334.16,610.2,900.51,339.38,"Vrchlického, Prague - Košíře",50.0703151,14.3848167,"CZK 26,000",G,Very good,Brick,,,,Complete,Personal,Gas boiler,Standard,,1.0,,,,,,,
"CZK 18,900","CZK 4,000",732718,2+kk,11/1/2022,95 m²,Unfurnished,4,1.0,130.14,288.58,88.4,562.81,325.37,596.05,422.79,202.89,487.82,164.44,Prague - Strašnice,50.07716,14.49625,"CZK 22,900",G,Very good,Brick,,,,,,,,,,1.0,,,,,,
"CZK 24,000","CZK 4,800",732007,3+1,9/15/2022,80 m²,Unfurnished,3,,178.23,245.7,373.27,270.65,450.71,376.96,384.46,685.83,1318.51,167.44,Prague - Řepy,50.06253,14.30883,"CZK 48,000",G,Very good,Prefab concrete,,,,,,,,1.0,,,,,,,,
"CZK 45,000","CZK 15,000",723086,2+kk,9/14/2022,70 m²,Fully furnished,4,1.0,285.3,547.87,69.97,206.93,9.84,222.16,245.36,617.77,369.53,523.86,"Ve Smečkách, Prague - Nové Město",50.0795975,14.4273504,,,,,,,,,,,,,,,,,,,,
"CZK 24,413","CZK 8,137",731741,Studio,10/6/2022,35 m²,Fully furnished,1,1.0,237.21,722.71,270.23,1114.48,162.06,485.4,549.42,612.82,571.2,287.12,"U Nikolajky, Prague - Smíchov",50.0656652,14.3917771,,,,,1.0,,,,,,,,,1.0,,,,1.0,,
"CZK 18,000","CZK 4,500",582936,3+kk,9/1/2022,56 m²,Unfurnished,1,,231.73,136.03,189.78,194.29,137.29,225.81,43.12,382.88,71.25,292.35,"Saratovská, Prague - Strašnice",50.075045,14.492493,"CZK 36,000",G,Very good,Brick,,,,Complete,Personal,Central,,,1.0,,,,,,,
"CZK 15,500","CZK 4,500",732012,2+kk,10/1/2022,47 m²,Partly,3,1.0,590.97,929.04,1249.32,1931.63,112.75,1045.22,1334.45,1162.46,315.13,264.48,Prague - Letňany,50.14145,14.5231,"CZK 60,000",A,New-build,Brick,1.0,1.0,,,,,,,1.0,,1.0,,,1.0,,
"CZK 15,000","CZK 4,000",254064,Studio,10/1/2022,35 m²,Fully furnished,4,1.0,348.07,1365.12,218.31,1303.5,378.06,751.33,287.38,465.91,305.17,230.77,"Jitravská, Prague - Střížkov",50.1225926,14.4825639,"CZK 15,000",,,Brick,,,Up to 10 years,,Personal,Central,,,,,1.0,,,,,
"CZK 16,000","CZK 1,050",733053,2+kk,10/1/2022,43 m²,Fully furnished,7,1.0,115.75,445.36,125.25,916.87,412.84,385.9,301.09,326.0,303.92,127.4,Prague - Chodov,50.03311,14.51756,"CZK 15,000",G,Very good,Prefab concrete,,1.0,,,,,,,,,,,,,,
"CZK 17,400","CZK 5,000",415980,2+kk,9/6/2022,52 m²,Fully furnished,1,1.0,82.83,718.77,7.41,50.58,61.81,78.58,381.32,466.35,411.81,343.17,Prague - Žižkov,50.0894498,14.4676983,"CZK 22,400",,Very good,Brick,,,Over 50 years,Complete,Personal,Gas boiler,Standard,,1.0,,,,,,,
"CZK 48,128","CZK 16,042",733049,3+kk,9/15/2022,78 m²,Fully furnished,5,1.0,122.69,292.83,150.02,222.27,31.53,246.25,406.08,512.95,283.22,254.06,"Křižíkova a, Prague - Karlín",50.0928722,14.4500782,,,,,1.0,,,,,,,,,1.0,,,,1.0,,
"CZK 25,808","CZK 8,602",725069,2 bedroom,9/23/2022,54 m²,Fully furnished,5,,221.57,827.75,176.34,604.4,98.94,602.74,417.35,332.18,571.22,245.6,"Bulharská, Prague - Vršovice",50.0720218,14.4618189,,,,,,,,,,,,,,,,,,,,
"CZK 29,175","CZK 9,725",730588,Studio,9/23/2022,30 m²,Fully furnished,2,1.0,210.86,390.29,319.5,985.86,301.65,338.01,858.33,290.45,385.77,539.9,"Strakonická, Prague - Smíchov",50.0643299,14.4102127,,,,,,,,,,,,,,,,,,,,
"CZK 27,000","CZK 6,000",496025,3+kk,10/1/2022,94 m²,Partly,1,1.0,215.86,646.3,97.29,444.91,98.85,617.11,559.33,677.46,638.21,226.22,"V Kapslovně, Prague - Žižkov",50.086872,14.4629213,"CZK 35,000",,,Brick,1.0,1.0,,,Personal,Central,,,,,,,,1.0,,
"CZK 18,852","CZK 5,148",497125,2+kk,1/24/2021,55 m²,Fully furnished,1,1.0,289.31,1030.71,185.29,875.56,580.15,1000.2,374.44,2240.15,1249.45,201.42,"Sazovická, Prague - Zličín",50.0570157,14.2807456,"CZK 24,000",,New-build,Brick,1.0,1.0,Up to 10 years,,Personal,Central,,,,,1.0,,,,,
"CZK 20,000","CZK 5,000",649076,2+kk,12/1/2022,53 m²,Partly,1,1.0,94.3,1750.54,524.42,585.43,506.77,1100.36,554.38,1437.08,790.47,844.07,"Břeclavská, Prague - Kyje",50.095579,14.545925,"CZK 40,000",,Very good,Brick,,1.0,Up to 10 years,,Personal,Gas boiler,Luxurious,,1.0,1.0,,,,1.0,,
"CZK 21,900","CZK 4,500",732943,1 bedroom,9/6/2022,62 m²,Fully furnished,5,1.0,291.61,184.22,159.81,343.76,98.8,382.28,349.22,55.72,247.17,362.7,Prague - Vinohrady,50.07608,14.46399,"CZK 21,900",B,Very good,Brick,,1.0,,,,,,,,1.0,,,1.0,,,
"CZK 18,000","CZK 3,500",732939,2+kk,9/6/2022,51 m²,Fully furnished,3,1.0,188.12,1451.5,169.85,1998.98,554.22,905.38,1616.69,2380.48,539.07,116.66,Prague - Hostavice,50.08657,14.5637,"CZK 36,000",G,New-build,Brick,1.0,1.0,Up to 10 years,,,Central,,,,,1.0,,,1.0,,
"CZK 19,000","CZK 2,500",353274,2+kk,10/1/2022,51 m²,Fully furnished,,1.0,229.57,413.56,160.34,439.47,144.39,408.56,128.14,314.12,562.3,106.15,"Lannova, Prague - Nové Město",50.0926859,14.4314516,"CZK 20,000",,,Brick,,,,,Personal,Central,,,1.0,,,,,,,
"CZK 21,900","CZK 1,000",440293,2+kk,9/12/2022,54 m²,Fully furnished,3,1.0,141.81,403.7,32.7,156.13,13.9,198.14,338.4,461.18,177.04,434.78,"Heřmanova, Prague - Holešovice",50.1003257,14.4274943,"CZK 21,900",G,Very good,Brick,,,Up to 10 years,Complete,Personal,Gas boiler,,,1.0,,,,,,,
"CZK 13,000","CZK 6,000",732838,Studio,10/1/2022,30 m²,Fully furnished,5,,25.96,374.17,20.45,2174.28,72.28,647.45,261.01,485.72,1325.26,370.94,Prague - Braník,50.03968,14.41073,"CZK 26,000",D,Very good,Brick,,1.0,,,,,,,1.0,,,,,,,
"CZK 20,000","CZK 5,000",421388,2+kk,9/12/2022,52 m²,Unfurnished,9,1.0,152.87,281.78,143.05,1503.09,318.42,899.1,911.82,970.87,827.35,314.52,"V Štíhlách, Prague - Krč",50.0199473,14.4538245,"CZK 20,000",C,Very good,Other,1.0,,,,Personal,,,,,,1.0,,,,,
"CZK 20,000","CZK 5,000",732804,3+1,9/13/2022,83 m²,Fully furnished,1,1.0,320.56,588.33,33.85,169.88,20.78,276.75,327.62,370.72,369.36,250.68,Prague - Vršovice,50.06837,14.45061,"CZK 20,000",F,Very good,Brick,1.0,,,,,,,,,,,,,,,
"CZK 21,900","CZK 4,000",732829,3+1,9/6/2022,78 m²,Partly,2,1.0,306.33,463.37,351.98,741.76,441.7,156.13,723.53,210.52,597.79,46.29,Prague - Stodůlky,50.04541,14.31331,"CZK 25,000",G,Very good,Prefab concrete,1.0,1.0,,,,,,,1.0,,,,1.0,,,
"CZK 19,800","CZK 2,500",597750,2+kk,9/12/2022,56 m²,,2,1.0,349.33,623.35,107.22,439.57,293.31,350.6,374.18,434.11,387.31,297.53,"Musílkova, Prague - Košíře",50.067502,14.370077,"CZK 30,000",C,Very good,Brick,1.0,1.0,Up to 10 years,,Personal,Gas boiler,Standard,,,,,,1.0,1.0,,
"CZK 24,000","CZK 3,000",732833,2 bedroom,9/6/2022,57 m²,Partly,1,1.0,95.66,526.1,96.83,456.1,170.98,496.91,370.21,499.14,518.01,175.58,Prague - Žižkov,50.08722,14.46211,"CZK 27,000",G,Very good,Brick,,,,Complete,,,,,,,,,,,,
"CZK 9,278","CZK 6,522",681062,Studio,8/24/2021,38 m²,Partly,18,1.0,454.04,809.88,434.66,484.42,353.37,771.43,492.68,609.29,683.92,296.54,Prague - Vysočany,50.10533,14.50202,"CZK 31,600",A,Very good,Brick,1.0,1.0,Up to 10 years,,Personal,,Standard,,1.0,,,,,,,
"CZK 11,000","CZK 4,000",613420,Studio,10/1/2022,31 m²,,3,1.0,265.39,510.79,358.01,1348.79,523.71,610.43,33.71,489.51,816.07,237.2,"Bachova, Prague - Chodov",50.030742,14.512007,"CZK 15,000",B,Very good,Prefab concrete,,,,Complete,Personal,,,,,,,,,,,
"CZK 15,000","CZK 3,500",662820,Studio,10/1/2022,43 m²,Partly,1,1.0,426.71,1033.48,242.4,1012.54,635.67,576.3,533.04,449.67,1259.73,70.72,"Zakšínská, Prague - Střížkov",50.13041,14.49516,"CZK 30,000",G,New-build,Brick,1.0,,,,Personal,,,,1.0,,,,,1.0,,
"CZK 17,900","CZK 3,400",206206,2+kk,9/18/2022,54 m²,Partly,3,1.0,432.16,1067.28,404.0,754.92,477.78,482.09,482.22,661.17,363.49,311.58,"Pivovarnická, Prague - Libeň",50.10973,14.47768,"CZK 40,000",B,Very good,Brick,,1.0,Up to 10 years,,Personal,,Luxurious,,,,1.0,,,,,
"CZK 22,000",CZK 700,731874,2 bedroom,8/31/2022,52 m²,Fully furnished,3,1.0,113.11,379.86,71.41,241.99,45.66,98.49,295.44,275.59,558.97,269.92,Prague - Vinohrady,50.0755,14.45124,"CZK 44,000",G,Very good,Brick,,,,,,,,,,,,,,,,
"CZK 40,000","CZK 10,000",725560,3+kk,7/10/2022,138 m²,Unfurnished,1,1.0,217.64,234.28,240.62,629.17,210.31,68.85,525.17,314.44,226.55,376.18,Prague - Žižkov,50.08457,14.46719,"CZK 80,000",G,Very good,Other,,,,,,Central,,,,,,,,,,
"CZK 29,000","CZK 5,200",554565,3+kk,10/1/2022,77 m²,Partly,1,1.0,811.38,1504.11,710.84,1041.71,276.11,1058.02,650.87,802.52,639.07,735.93,"Podvinný mlýn, Prague - Libeň",50.1109789,14.4891272,"CZK 58,000",,Very good,Brick,1.0,1.0,10 to 30 years,,Personal,,Standard,,1.0,1.0,1.0,,,1.0,,
"CZK 48,645","CZK 16,215",732720,3+1,9/15/2022,55 m²,Fully furnished,2,,158.42,248.82,154.82,246.13,112.68,264.3,390.21,408.3,154.53,114.55,"Řásnovka, Prague - Staré Město",50.0918754,14.4250902,,,,,,,,,,,,,,,,,,,,
"CZK 46,530","CZK 15,510",726063,2 bedroom,9/10/2022,48 m²,Fully furnished,2,,158.42,248.82,154.82,246.13,112.68,264.3,390.21,408.3,154.53,114.55,"Řásnovka, Prague - Staré Město",50.0918754,14.4250902,,,,,,,,,,,,,,,,,,,,
"CZK 11,501",CZK 0,698590,5+1,10/1/2022,130 m²,Fully furnished,2,1.0,244.34,824.44,86.79,277.59,61.66,236.34,404.32,820.6,583.23,930.33,"Schnirchova, Prague - Holešovice",50.10177,14.43515,"CZK 11,500",G,Very good,Brick,,,,,Personal,,,,,,,,,,,
"CZK 17,499","CZK 2,500",722445,2+kk,9/1/2022,37 m²,Partly,8,1.0,144.7,754.34,662.45,1990.84,216.86,1268.73,1076.56,1172.95,1192.68,596.3,Prague - Lhotka,50.01389,14.45457,"CZK 40,000",D,New-build,Prefab concrete,1.0,1.0,10 to 30 years,Complete,,Central,Standard,,1.0,,1.0,,,1.0,,
"CZK 20,000","CZK 3,800",590439,2+kk,10/1/2022,57 m²,Fully furnished,1,,38.86,307.15,115.55,201.09,89.04,299.1,388.68,487.16,343.11,321.59,"Minská, Prague - Vršovice",50.067462,14.457853,"CZK 30,000",C,Very good,Brick,,,,Complete,Personal,Electric boiler,Luxurious,,,,,,,,,
"CZK 60,000","CZK 20,000",717694,2+kk,9/18/2022,,Fully furnished,3,,177.2,646.63,182.16,39.81,37.58,122.34,27.5,101.85,349.84,194.18,"Ječná, Prague - Nové Město",50.0757302,14.4269087,,,,,,,,,,,,,,,,,,,,
"CZK 15,000","CZK 5,300",728043,2+kk,9/3/2022,50 m²,Unfurnished,3,,472.29,943.14,661.04,1348.71,676.16,989.59,1050.16,1126.49,1467.83,658.23,"Hůrská, Prague - Kyje",50.105237577283,14.554041749073,"CZK 40,000",A,New-build,Brick,1.0,1.0,,,Personal,Central,Standard,,,,1.0,,,,,
"CZK 18,000","CZK 3,500",686234,2+kk,10/1/2022,61 m²,Fully furnished,4,1.0,166.41,277.1,194.99,211.02,122.23,100.75,692.11,679.08,827.84,107.1,"Soukalova, Prague - Modřany",50.0052932,14.4150978,"CZK 30,000",G,New-build,Low-energy,,1.0,Up to 10 years,,Personal,Other,,,,1.0,,,,1.0,,
"CZK 21,500","CZK 4,000",725359,2 bedroom,8/28/2022,80 m²,Partly,1,,379.01,2220.31,438.76,1628.78,367.87,1674.19,2055.82,2977.16,401.69,189.22,Prague - Hostavice,50.08462,14.55603,"CZK 43,000",,Very good,Brick,1.0,1.0,10 to 30 years,,Personal,,Luxurious,,,1.0,,,,,,
"CZK 14,900","CZK 4,800",407176,2+kk,10/1/2022,52 m²,Partly,1,1.0,89.3,393.79,90.94,279.42,165.7,306.97,490.93,99.47,643.22,248.21,"Boleslavská, Prague - Vinohrady",50.0761886,14.4593094,"CZK 20,000",,Good,Brick,,,,,Personal,Gas boiler,,,1.0,,,,,,,
"CZK 18,000","CZK 1,000",380919,2 bedroom,,68 m²,Partly,4,,134.35,703.62,295.83,129.71,179.94,179.33,384.73,268.03,283.24,350.29,"Kouřimská, Prague - Vinohrady",50.0776961,14.4719023,"CZK 18,000",,,Brick,1.0,,,,Cooperative,Electric boiler,,,1.0,,,,,,,
"CZK 40,000","CZK 10,000",732699,2+kk,9/6/2022,53 m²,Fully furnished,1,1.0,3.57,190.08,21.88,46.72,0.16,49.7,126.81,307.26,210.27,260.67,Prague - Staré Město,50.09081,14.42708,"CZK 40,000",E,New-build,Brick,,,,,,,,,,,1.0,,,,,
"CZK 36,450","CZK 12,150",726075,3+kk,10/10/2022,82 m²,Fully furnished,6,1.0,101.2,551.63,76.94,167.66,45.43,94.55,322.6,504.78,539.56,607.69,"Rumunská, Prague - Vinohrady",50.0739629,14.4309041,,,,,,,,,,,,,,,,,,,,
"CZK 20,000","CZK 3,900",484018,2+kk,9/1/2022,64 m²,Fully furnished,2,1.0,147.73,398.09,319.69,406.32,74.93,392.19,463.28,254.94,377.71,263.55,"Na Žertvách, Prague - Libeň",50.1051921,14.4782886,"CZK 35,000",,Very good,Brick,1.0,1.0,,,,,,,,,,,,1.0,,
"CZK 12,000","CZK 2,700",732695,Studio,9/6/2022,26 m²,Partly,3,,233.33,597.58,424.82,268.33,15.01,1219.3,217.85,552.03,354.24,393.59,Prague - Michle,50.05793,14.45218,"CZK 24,000",G,Very good,Brick,,,,,,,,,,,,,,,,
"CZK 59,250","CZK 19,750",717599,4+kk,9/10/2022,90 m²,Fully furnished,2,1.0,140.09,527.92,223.64,125.85,37.89,66.77,510.79,1001.31,1180.94,559.23,"Stroupežnického, Prague - Smíchov",50.0710929,14.4032595,,,,,,,,,,,,,,,,,,,,
"CZK 39,000","CZK 13,000",728062,2 bedroom,10/8/2022,92 m²,Fully furnished,7,1.0,73.01,281.28,58.33,478.54,20.37,379.07,102.37,138.49,668.56,481.36,"Francouzská, Prague - Vinohrady",50.0739894,14.440101,,,,,1.0,,,,,,,,,1.0,,,,,,
"CZK 20,000","CZK 3,500",730933,2 bedroom,9/7/2022,53 m²,Fully furnished,6,1.0,249.45,542.09,188.53,762.13,138.43,578.41,416.88,123.11,714.28,256.3,Prague - Žižkov,50.09051,14.49609,"CZK 40,000",E,Very good,Brick,1.0,1.0,,Complete,Personal,Central,,,1.0,,,,,,,
"CZK 48,435","CZK 16,145",730649,3+1,10/20/2022,108 m²,Fully furnished,3,1.0,170.36,424.31,260.04,428.7,73.65,305.75,38.65,29.43,439.38,720.46,"Balbínova, Prague - Vinohrady",50.0795643,14.4361068,,,,,,,,,,,,,,,,,,,,
"CZK 33,000","CZK 11,000",728257,3+kk,10/1/2022,80 m²,Fully furnished,2,,156.94,402.05,153.34,284.97,151.52,248.16,393.35,447.14,193.37,153.39,"Anežská, Prague - Staré Město",50.0920126,14.4239059,,,,,,,,,,,,,,,,,,,,
"CZK 37,500","CZK 12,500",720700,2+kk,9/12/2022,60 m²,Fully furnished,2,1.0,241.61,542.2,98.71,270.79,176.01,313.55,455.64,821.55,633.96,593.3,"Mečislavova, Prague - Nusle",50.0633237,14.4440058,,,,,,,,,,,,,,,,,,,,
"CZK 56,250","CZK 18,750",730578,2+kk,10/19/2022,47 m²,Fully furnished,3,1.0,145.3,409.63,254.35,292.12,59.28,309.45,136.5,419.43,177.03,511.6,"Elišky Krásnohorské, Prague - Josefov",50.0906304,14.4198248,,,,,,,,,,,,,,,,,,,,
"CZK 36,675","CZK 12,225",731158,2+kk,10/24/2022,55 m²,Fully furnished,2,1.0,170.48,421.6,257.32,426.75,52.86,339.7,54.65,63.39,473.33,754.41,"Balbínova, Prague - Vinohrady",50.0795659,14.4357789,,,,,,,,,,,,,,,,,,,,
"CZK 37,500","CZK 12,500",730647,Studio,9/26/2022,40 m²,Fully furnished,2,,87.49,353.69,89.13,198.59,58.79,391.02,424.91,274.28,259.74,601.22,"Zborovská, Prague - Smíchov",50.0730353,14.4083714,,,,,1.0,,,,,,,,,1.0,,,,,,
"CZK 20,250","CZK 6,750",731156,2+kk,10/24/2022,49 m²,Fully furnished,2,1.0,84.02,732.97,86.86,659.07,276.51,744.0,408.19,306.62,634.43,198.98,"Na Míčánkách, Prague - Vršovice",50.0713305,14.4638794,,,,,,,,,,,,,,,,,,,,
"CZK 26,250","CZK 8,750",731290,2+kk,10/25/2022,46 m²,Fully furnished,3,,91.53,437.84,79.6,137.33,1.11,181.86,414.36,266.21,251.67,662.32,"Lidická, Prague - Smíchov",50.0723918,14.4059555,,,,,,,,,,,,,,,,,,,,
"CZK 42,120","CZK 14,040",724853,2+kk,9/12/2022,45 m²,Fully furnished,4,1.0,336.41,302.29,48.66,211.39,57.6,35.65,274.52,787.09,193.2,587.05,"Opletalova, Prague - Nové Město",50.0812219,14.4297716,,,,,,,,,,,,,,,,,,,,
"CZK 73,500","CZK 24,500",732122,4+kk,11/1/2022,150 m²,Fully furnished,7,1.0,151.96,732.59,114.81,122.42,123.15,23.69,324.18,773.09,503.18,376.18,"Jungmannova, Prague - Nové Město",50.0805317,14.4221981,,,,,1.0,,,,,,,,,1.0,,,,,,
"CZK 57,000","CZK 19,000",732121,3+1,11/1/2022,130 m²,Fully furnished,3,,293.94,358.82,65.34,231.82,29.61,399.45,202.79,623.36,368.2,458.02,"Michalská, Prague - Staré Město",50.0859057,14.4200254,,,,,,,,,,,,,,,,,,1.0,,
"CZK 19,500","CZK 6,500",732119,1 bedroom,11/1/2022,48 m²,Fully furnished,1,1.0,204.77,465.61,234.08,276.39,71.8,120.68,308.71,446.98,178.85,556.7,"Františka Křížka, Prague - Holešovice",50.1009689,14.4305059,,,,,,,,,,,,,,,,,,,,
"CZK 41,625","CZK 13,875",720848,4+kk,10/2/2022,112 m²,Fully furnished,4,1.0,168.35,737.87,30.76,217.13,7.9,216.51,106.1,336.15,114.49,565.37,"Ostrovní, Prague - Nové Město",50.0806286,14.4175374,,,,,1.0,,,,,,,,,1.0,,,,,,
"CZK 39,000","CZK 13,000",732116,2 bedroom,11/1/2022,72 m²,Fully furnished,3,1.0,73.01,281.28,58.33,478.54,20.37,379.07,102.37,138.49,668.56,481.36,"Francouzská, Prague - Vinohrady",50.0739894,14.440101,,,,,,,,,,,,,,,,,,,,
"CZK 18,750","CZK 6,250",732114,Studio,11/1/2022,25 m²,Fully furnished,1,,272.71,301.68,85.68,246.48,43.26,206.77,19.97,254.25,110.99,588.48,"Štítného, Prague - Žižkov",50.0855201,14.4494539,,,,,,,,,,,,,,,,,,,,
"CZK 22,493","CZK 7,497",732113,Studio,11/1/2022,30 m²,Fully furnished,3,1.0,258.66,685.78,233.92,407.82,154.16,415.37,547.3,506.41,132.73,464.34,"V Háji, Prague - Holešovice",50.1013638,14.4546402,,,,,,,,,,,,,,,,,,1.0,,
"CZK 25,500","CZK 8,500",732231,2+kk,11/2/2022,48 m²,Fully furnished,3,1.0,188.32,492.36,64.31,169.76,16.44,202.35,307.51,551.4,544.96,488.43,"Řeznická, Prague - Nové Město",50.0781758,14.4220203,,,,,,,,,,,,,,,,,,,,
"CZK 33,750","CZK 11,250",726019,2+kk,10/1/2022,75 m²,Fully furnished,6,1.0,163.79,319.88,110.55,226.38,103.86,407.78,227.16,243.22,785.75,360.1,"Na Zbořenci, Prague - Nové Město",50.0769346,14.4169603,,,,,1.0,,,,,,,,,1.0,,,,,,
"CZK 37,500","CZK 12,500",732692,1 bedroom,11/5/2022,50 m²,Fully furnished,2,,187.82,338.29,111.0,241.4,39.4,347.76,25.85,486.49,569.58,575.91,"Karmelitská, Prague - Malá Strana",50.08657,14.4033198,,,,,,,,,,,,,,,,,,,,
"CZK 17,000","CZK 3,539",709488,Studio,9/7/2022,32 m²,Fully furnished,2,1.0,15.98,569.97,162.62,196.99,41.32,221.23,152.56,579.07,569.44,156.87,"Batelovská, Prague - Michle",50.04577,14.44959,"CZK 30,000",G,Very good,Brick,,,,Complete,Personal,Distance,Luxurious,,,,,,,,,
"CZK 18,000","CZK 4,000",731912,1 bedroom,11/1/2022,41 m²,Fully furnished,3,1.0,50.4,136.37,17.92,343.39,46.61,70.87,203.62,387.13,82.88,253.52,Prague - Žižkov,50.08769,14.45695,"CZK 18,000",G,Very good,Brick,1.0,,Up to 10 years,Complete,,Central,Standard,,,,1.0,,1.0,,,
"CZK 23,500","CZK 5,000",731940,3+kk,8/31/2022,80 m²,Fully furnished,1,,118.78,574.72,620.35,1071.13,489.08,568.38,719.0,646.65,464.63,340.39,Prague - Letňany,50.14089,14.51512,"CZK 40,000",E,Very good,Prefab concrete,,1.0,10 to 30 years,Complete,Cooperative,Central,Standard,1.0,1.0,,,,1.0,,,
"CZK 13,500","CZK 4,500",732631,Studio,9/15/2022,30 m²,Fully furnished,5,1.0,126.42,179.79,94.37,516.65,103.38,245.39,333.11,277.2,232.31,362.64,Prague - Žižkov,50.08678,14.45409,"CZK 18,000",G,Very good,Brick,,,10 to 30 years,,Personal,Electric boiler,Standard,,,,,,,,,
"CZK 13,500","CZK 3,000",732685,2+kk,9/5/2022,42 m²,Partly,5,1.0,111.85,1169.22,640.68,883.83,539.37,955.29,719.13,425.1,588.16,295.46,Prague - Žižkov,50.08774,14.47907,"CZK 20,000",C,Very good,Prefab concrete,,,,,,,,,1.0,,,,,,,
"CZK 18,000","CZK 4,400",517723,2+kk,10/1/2022,46 m²,Partly,4,1.0,84.24,854.16,66.74,666.06,36.41,181.67,494.44,214.01,620.87,320.4,"Čumpelíkova, Prague - Kobylisy",50.1275464,14.4599018,"CZK 30,000",B,,Brick,,,,,Personal,Central,,,,,,,,1.0,,
"CZK 10,500","CZK 3,500",508804,1 bedroom,10/1/2022,32 m²,Partly,2,,97.42,775.46,434.8,564.79,33.22,419.85,703.27,593.35,1151.55,236.72,"Vykáňská, Prague - Strašnice",50.0782191,14.5043979,"CZK 14,000",,Very good,Brick,1.0,,,Interior,Personal,,Standard,,,,,,,,,
"CZK 13,500","CZK 5,000",731590,2+kk,8/29/2022,46 m²,Partly,,,107.51,957.82,19.08,1367.93,79.59,248.01,375.18,199.96,506.8,438.33,Prague - Libeň,50.11625,14.46934,"CZK 20,000",G,Good,Brick,,,Over 50 years,,,Electric boiler,,,,,,,,,,
"CZK 32,000","CZK 2,600",732664,3+kk,9/5/2022,71 m²,Unfurnished,2,1.0,80.58,970.2,288.35,326.95,469.13,383.3,436.86,1714.08,660.71,182.37,Prague - Třebonice,50.05601,14.29032,"CZK 62,000",B,New-build,Brick,1.0,1.0,,,,,,,,,1.0,,,1.0,,
"CZK 16,800","CZK 5,000",261360,1 bedroom,9/1/2022,42 m²,Partly,1,,331.24,781.05,684.31,744.39,389.49,703.4,548.2,708.51,1253.91,306.21,Prague - Suchdol,50.1402544,14.3836969,"CZK 30,000",,Very good,Brick,,,Over 50 years,Complete,Personal,Central,Luxurious,,,,,,,,,
