Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Floor,EPC,Floor space,Fully furnished,Condition,Building type,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Balcony,Terrace,Age,Designe,Ownership,Heating,Terasa 4 m²,Sklep 4 m²,Garage,New-build,Parking,Terasa 12 m²,Reconstruction,Sklep 2 m²,Balkón 6 m²,Terasa 8 m²,Balkón 7 m²,Sklep 5 m²,Balkón 2 m²,Lodžie 4 m²,Lodžie 9 m²,Balkón 8 m²,Sklep 8.1 m²,Balkón 1 m²,Sklep 8 m²,Lodžie 7 m²,Sklep 3.1 m²,Lodžie 1 m²,Terasa 20 m²,Sklep 3 m²,Terasa 5 m²,Lodžie 3 m²,Terasa 32 m²,Domácí mazlíčci vítáni,Administrative fee,Cellar,Balkón 4 m²,Lodžie 10 m²,Sklep 15 m²,Balkón 5 m²,Terasa 9 m²,Balkón 9 m²,Balkón 10 m²,Lodžie 5 m²,Balkón 3 m²,Balkón 40 m²,Terasa 50 m²,Sklep 6 m²,Balkón 15 m²,Terasa 25 m²,Lodžie 14.6 m²,Terasa 10 m²,Terasa 24 m²,Lodžie 6 m²,Sklep 12 m²,Enclosed balcony,Lodžie 5.1 m²,Terasa 11 m²,Lodžie 8 m²,Sklep 7 m²,Terasa 1 m²,Terasa 37 m²,Sklep 1 m²,Terasa 17 m²,Terasa 15 m²,Sklep 14 m²,Terasa 13 m²,Balkón 8.73 m²,Terasa 2.67 m²,Sklep 28 m²,Lodžie 15 m²,Balkón 18 m²,Sklep 3.2 m²,Balkón 30 m²,Terasa 18 m²,Terasa 200 m²,Terasa 350 m²,Sklep 10 m²,Balkón 11 m²,Balkón 28 m²,Balkón 2.29 m²,Terasa 16.1 m²,Terasa 6 m²,Terasa 14 m²,Balkón 13 m²,Balkón 33 m²,Terasa 29 m²,Terasa 100 m²,Terasa 30 m²,Terasa 7 m²,Terasa 45 m²,Balkón 6.1 m²,Sklep 4.1 m²,Terasa 10.1 m²,Terasa 83 m²,Sklep 6.4 m²,Balkón 96 m²,Terasa 27.6 m²,Sklep 1.2 m²,Lodžie 2.7 m²,Lodžie 13 m²,Terasa 19 m²,Sklep 20 m²,Balkón 12 m²,Terasa 14.1 m²,Terasa 40 m²,Balkón 70 m²,Plot space,Lodžie 12 m²
"CZK 32,000","CZK 5,000","CZK 37,000",745082,3+kk,11/1/2022,2,A,76 m²,Fully furnished,New-build,Brick,,323.29,1377.6,728.37,1332.13,1089.0,1228.83,1090.87,1024.81,1020.05,729.53,Prague - Hloubětín,50.10854,14.52547,,,Up to 10 years,Luxurious,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,000","CZK 6,000",CZK 0,489218,3+kk,10/23/2022,6,,74 m²,Fully furnished,,Prefab concrete,1.0,106.5,524.73,58.79,291.75,139.31,410.38,738.89,329.25,561.23,186.21,"Vikova, Prague - Krč",50.0412387,14.4375439,,,,,Personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 18,000","CZK 4,180","CZK 22,180",747100,2+kk,10/23/2022,1,B,96 m²,Partly,Very good,Brick,,248.86,2177.73,464.2,469.7,999.7,1854.92,1178.66,1971.31,1239.15,372.98,Prague - Kyje,50.09175,14.53929,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 7,000","CZK 2,500","CZK 9,500",747099,2+kk,11/1/2022,3,G,30 m²,Fully furnished,Good,Brick,,139.29,466.8,152.88,206.02,45.17,132.48,278.32,215.99,601.7,105.72,"Pod Kavalírkou, Prague - Košíře",50.06946,14.37016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 15,500","CZK 3,500","CZK 20,000",155181,Studio,12/1/2022,3,,40 m²,Partly,Very good,Other,1.0,189.48,731.78,261.97,788.78,286.19,815.68,498.05,306.85,231.05,420.8,"Jeremenkova, Prague - Podolí",50.0440309,14.4329228,,,,,Personal,Central,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 14,500","CZK 3,300","CZK 17,800",490770,Studio,11/1/2022,2,B,34 m²,Partly,,Brick,,157.66,930.52,390.82,506.22,476.58,466.33,268.76,402.27,309.16,185.15,"Chlebovická, Prague - Letňany",50.1328445,14.5098086,,,,,Personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 18,000","CZK 1,000","CZK 19,000",697622,2+kk,10/21/2022,1,B,42 m²,Partly,New-build,Low-energy,,292.69,656.94,498.74,327.69,154.18,1254.37,385.86,685.76,207.05,339.6,"Pod Stárkou, Prague - Michle",50.0576031,14.4536973,1.0,,,Luxurious,Personal,Central,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 16,500","CZK 5,500",,743332,Studio,12/1/2022,2,,30 m²,Fully furnished,,,1.0,344.24,966.6,273.86,550.59,228.73,277.49,639.11,1150.1,245.02,767.21,"U Smaltovny, Prague - Holešovice",50.1043257,14.4355603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 24,938","CZK 8,312",,745022,Studio,12/12/2022,1,,35 m²,Fully furnished,,,1.0,237.21,722.71,270.23,1114.48,162.06,485.4,549.42,612.82,571.2,287.12,"U Nikolajky, Prague - Smíchov",50.0656652,14.3917771,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 36,675","CZK 12,225",,742243,2+kk,11/25/2022,2,,48 m²,Fully furnished,,,1.0,170.48,421.6,257.32,426.75,52.86,339.7,54.65,63.39,473.33,754.41,"Balbínova, Prague - Vinohrady",50.0795659,14.4357789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 24,581","CZK 8,194",,743331,Studio,12/1/2022,1,,28 m²,Fully furnished,,,,194.2,798.76,138.2,283.7,89.62,474.09,247.17,335.61,500.98,81.99,"U Zeměpisného ústavu, Prague - Bubeneč",50.1033901,14.4020568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 46,530","CZK 15,510",,746227,2 bedroom,12/17/2022,2,,48 m²,Fully furnished,,,,158.42,248.82,154.82,246.13,112.68,264.3,390.21,408.3,154.53,114.55,"Řásnovka, Prague - Staré Město",50.0918754,14.4250902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,725","CZK 6,575",,745390,2 bedroom,12/16/2022,6,,90 m²,Fully furnished,,,1.0,73.01,281.28,58.33,478.54,20.37,379.07,102.37,138.49,668.56,481.36,"Francouzská, Prague - Vinohrady",50.0739894,14.440101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 37,425","CZK 12,475",,745389,2+kk,12/16/2022,2,,61 m²,Fully furnished,,,1.0,170.48,421.6,257.32,426.75,52.86,339.7,54.65,63.39,473.33,754.41,"Balbínova, Prague - Vinohrady",50.0795659,14.4357789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 32,400","CZK 10,800",,746224,2 bedroom,12/17/2022,5,,65 m²,Fully furnished,,,1.0,163.79,319.88,110.55,226.38,103.86,407.78,227.16,243.22,785.75,360.1,"Na Zbořenci, Prague - Nové Město",50.0769346,14.4169603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 35,625","CZK 11,875",,747095,2+kk,12/22/2022,3,,76 m²,Fully furnished,,,,174.67,442.95,142.17,234.72,17.52,252.04,261.1,243.44,108.85,249.32,"Týnská ulička, Prague - Staré Město",50.0879034,14.4227015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 30,000","CZK 10,000",,746223,2+kk,12/17/2022,2,,67 m²,Fully furnished,,,1.0,190.62,1447.15,484.7,1260.45,182.11,737.34,559.67,596.72,660.13,404.95,"V Zahradách, Prague - Libeň",50.1148427,14.4750191,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 33,675","CZK 11,225",,746649,2+kk,12/19/2022,2,,55 m²,Fully furnished,,,1.0,170.48,421.6,257.32,426.75,52.86,339.7,54.65,63.39,473.33,754.41,"Balbínova, Prague - Vinohrady",50.0795659,14.4357789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 22,000",CZK 775,"CZK 40,000",705074,2 bedroom,2/3/2022,3,G,84 m²,Partly,Very good,Brick,1.0,248.79,693.52,178.58,597.23,44.85,525.88,53.92,488.2,477.59,359.3,"Žateckých, Prague - Nusle",50.06199,14.43511,,,Over 50 years,Standard,Personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,000","CZK 3,000","CZK 38,000",746158,2+kk,10/17/2022,6,G,42 m²,Fully furnished,Very good,Brick,1.0,387.66,1161.08,368.36,1479.67,607.87,589.53,635.66,1274.38,419.38,636.25,"Ginzova, Prague - Záběhlice",50.05613,14.48895,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,500","CZK 4,500","CZK 25,000",639749,2+kk,11/19/2020,3,A,55 m²,Fully furnished,New-build,Brick,1.0,214.85,111.86,183.29,1264.57,201.57,1099.51,477.0,709.91,746.45,109.54,"Hugo Haase, Prague - Hlubočepy",50.029126,14.363101,,,,,Personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 25,500","CZK 8,500",,746620,2+kk,11/2/2022,3,,48 m²,Fully furnished,,,1.0,188.32,492.36,64.31,169.76,16.44,202.35,307.51,551.4,544.96,488.43,"Řeznická, Prague - Nové Město",50.0781758,14.4220203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 16,000","CZK 5,000","CZK 30,000",677462,2+kk,10/22/2022,3,D,47 m²,Fully furnished,Very good,Prefab concrete,1.0,199.72,278.6,277.54,326.86,434.15,433.18,735.38,680.66,1388.77,304.43,"Makovského, Prague - Řepy",50.06328,14.31077,,,,,Personal,Central,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 15,000","CZK 4,500","CZK 19,500",747071,2 bedroom,10/22/2022,1,F,47 m²,Unfurnished,Good,Brick,,319.7,661.72,196.57,456.8,233.29,651.71,426.77,945.47,182.73,272.12,"Nad Ostrovem, Prague - Podolí",50.05418,14.42091,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 20,625","CZK 6,875",,731156,2+kk,11/25/2022,2,,49 m²,Fully furnished,,,1.0,84.02,732.97,86.86,659.07,276.51,744.0,408.19,306.62,634.43,198.98,"Na Míčánkách, Prague - Vršovice",50.0713305,14.4638794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 16,500","CZK 5,100","CZK 30,000",747068,2+kk,11/15/2022,3,G,50 m²,Partly,Very good,Brick,,253.08,172.63,144.96,1116.35,125.03,951.29,353.84,563.95,635.33,189.76,"Voskovcova, Prague - Hlubočepy",50.02952,14.36494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 15,000","CZK 5,300","CZK 40,000",728043,2+kk,11/1/2022,2,A,50 m²,Unfurnished,New-build,Brick,,77.08,497.2,495.83,1424.84,28.62,407.5,380.68,477.45,348.91,310.65,"Hůrská, Prague - Kyje",50.105237577283,14.554041749073,,,,Standard,Personal,Central,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 55,399","CZK 18,466",,717682,2+kk,10/26/2022,6,,69 m²,Fully furnished,,,1.0,104.56,349.59,143.75,145.93,108.83,150.53,431.56,393.96,289.53,329.01,"Na Maninách, Prague - Holešovice",50.1025661,14.4522431,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 38,250","CZK 12,750",,733049,3+kk,11/11/2022,5,,78 m²,Fully furnished,,,1.0,122.69,292.83,150.02,222.27,31.53,246.25,406.08,512.95,283.22,254.06,"Křižíkova a, Prague - Karlín",50.0928722,14.4500782,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 35,175","CZK 11,725",,728156,2+kk,12/12/2022,3,,50 m²,Fully furnished,,,1.0,75.01,890.63,40.68,622.44,47.2,145.83,371.43,242.4,512.42,352.71,"Kubelíkova, Prague - Žižkov",50.0815843,14.4461973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 16,000","CZK 4,000","CZK 30,000",747063,1 bedroom,11/15/2022,3,G,35 m²,Fully furnished,Very good,Brick,,125.5,973.64,139.16,1383.75,13.22,194.19,120.0,433.81,408.52,257.2,"Bulovka, Prague - Libeň",50.11529,14.46651,,,,Standard,,,,,,,,,Interior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 30,000","CZK 7,000","CZK 60,000",746179,3+1,10/19/2022,6,F,80 m²,Partly,Very good,Brick,1.0,254.06,637.98,126.69,450.47,83.56,402.61,429.87,898.11,225.11,173.67,"U Uranie, Prague - Holešovice",50.10621,14.45328,,,Over 50 years,Luxurious,Personal,Central,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 17,000","CZK 4,000","CZK 30,000",747062,2+kk,11/5/2022,2,G,41 m²,Fully furnished,New-build,Other,1.0,549.23,662.36,441.09,761.17,468.73,740.0,498.65,448.69,636.62,748.27,"Perucká, Prague - Vinohrady",50.06851,14.43809,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 14,471","CZK 2,500","CZK 60,000",745972,Studio,11/15/2022,1,C,30 m²,Partly,Good,Prefab concrete,1.0,221.42,809.68,192.03,1317.91,240.49,750.22,307.21,295.54,343.39,117.33,"Schulhoffova, Prague - Háje",50.0369,14.51675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 23,000","CZK 5,000","CZK 28,000",673219,3+kk,10/24/2022,3,E,83 m²,Partly,New-build,Brick,1.0,242.69,921.0,457.78,584.04,419.53,476.82,319.93,560.32,596.0,564.93,Prague - Košíře,50.0682889,14.3700378,,,Up to 10 years,Luxurious,Personal,Central,,,1.0,1.0,1.0,,Complete,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 27,000","CZK 3,000","CZK 30,000",687243,2+kk,11/20/2022,5,G,53 m²,Fully furnished,New-build,Brick,1.0,102.56,160.12,133.01,153.66,66.5,248.27,160.37,328.59,339.44,428.01,"Heydukova, Prague - Libeň",50.10328,14.47565,,,Up to 10 years,Luxurious,Personal,Central,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 51,656","CZK 17,219",,728895,2 bedroom,11/30/2022,4,,60 m²,Fully furnished,,,1.0,110.1,392.87,177.02,129.22,79.72,168.29,299.92,497.22,273.67,349.66,"Dlážděná, Prague - Nové Město",50.0865843,14.4323212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 31,020","CZK 10,340",,730431,3+1,11/1/2022,1,,111 m²,Fully furnished,,,,208.61,131.46,936.81,2564.81,336.74,613.32,243.84,2102.93,1889.94,338.05,"K Zámku, Prague - Dolní Počernice",50.0890765,14.5799076,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 14,000","CZK 4,115","CZK 60,000",745907,2+kk,10/17/2022,2,B,44 m²,Partly,New-build,Brick,,257.32,1255.61,460.68,1112.59,374.46,794.82,647.98,135.15,1255.42,360.37,Prague - Strašnice,50.07473,14.50805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 22,000",CZK 500,"CZK 44,000",747058,3+1,10/31/2022,4,G,68 m²,Unfurnished,Good,Brick,,138.89,363.53,126.67,311.75,47.38,377.34,648.28,296.21,497.68,238.24,"U Strže, Prague - Krč",50.04263,14.43961,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,500","CZK 2,091","CZK 44,000",730638,3+kk,10/3/2022,8,C,68 m²,Partly,Very good,Prefab concrete,1.0,359.8,896.27,372.32,643.41,170.94,405.27,358.15,398.69,688.26,211.72,Prague - Chodov,50.02743,14.52485,,,,Standard,,Central,,,,,,,Bathroom unit,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 20,500","CZK 4,500","CZK 38,000",129411,2 bedroom,1/7/2023,2,,69 m²,Fully furnished,,Brick,,341.79,1073.6,350.56,958.95,544.96,785.98,805.16,627.51,298.03,277.85,"Za Třebešínem, Prague - Strašnice",50.0852174,14.4900591,,,,,Personal,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 5,000","CZK 3,000","CZK 8,000",2280,5+1,12/6/2022,1,,120 m²,Partly,Good,Prefab concrete,,350.24,992.03,858.82,892.81,787.56,705.73,644.23,680.31,677.12,6.26,"Chalabalova, Prague - Stodůlky",50.0511043656,14.3177604675,,,,Standard,Personal,Distance,,,,,,,Bathroom unit,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 30,000","CZK 10,000",,734260,2+kk,11/6/2022,5,,41 m²,Fully furnished,,,,394.46,497.82,253.13,432.3,279.54,389.35,316.56,724.72,695.79,345.02,"Krchlebská, Prague - Krč",50.0471114,14.4429584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 48,645","CZK 16,215",,732720,3+1,10/26/2022,2,,55 m²,Fully furnished,,,,158.42,248.82,154.82,246.13,112.68,264.3,390.21,408.3,154.53,114.55,"Řásnovka, Prague - Staré Město",50.0918754,14.4250902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 20,000","CZK 4,500","CZK 50,000",366896,2+kk,11/6/2022,3,,60 m²,Fully furnished,New-build,Brick,,73.21,966.72,206.7,778.71,680.46,199.26,628.92,627.32,1164.71,545.15,"Hornoměcholupská, Prague - Horní Měcholupy",50.0433026,14.5670631,,,Up to 10 years,Standard,Personal,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,000","CZK 1,873","CZK 20,873",745800,2+kk,11/1/2022,1,C,45 m²,Partly,Very good,Brick,,115.05,748.64,111.95,447.83,83.15,310.97,261.84,1039.25,361.49,358.16,"Petra Slezáka, Prague - Karlín",50.09445,14.45703,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 25,000","CZK 4,800","CZK 25,000",712844,3+kk,1/31/2023,1,,102 m²,Partly,Very good,Brick,,254.65,1258.13,273.94,1199.72,286.54,700.92,476.27,882.36,518.5,332.22,"Záběhlická, Prague - Záběhlice",50.05301,14.49077,,,,,Personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 27,232","CZK 9,077",,741128,1 bedroom,11/6/2022,3,,48 m²,Fully furnished,,,1.0,107.08,199.76,133.64,104.94,106.11,,312.74,774.3,461.94,541.92,"Senovážné náměstí, Prague - Nové Město",50.0855469,14.4290625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 74,813","CZK 24,937",,740299,4+1,12/17/2022,3,,136 m²,Fully furnished,,,1.0,305.35,603.07,123.44,366.02,52.59,406,368.79,628.46,396.1,92.23,"Betlémská, Prague - Staré Město",50.0837893,14.416317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 25,000","CZK 3,700","CZK 50,000",745532,3+kk,10/17/2022,3,C,65 m²,Unfurnished,Very good,Brick,,360.72,636.62,344.12,565.83,199.44,644.55,300.07,164.26,302.52,165.34,"Krokova, Prague - Nusle",50.06266,14.42477,,,Over 50 years,Luxurious,Personal,Electric boiler,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,575","CZK 6,525",,744346,2 bedroom,12/1/2022,6,,70 m²,Fully furnished,,,1.0,73.01,281.28,58.33,478.54,20.37,379.07,102.37,138.49,668.56,481.36,"Francouzská, Prague - Vinohrady",50.0739894,14.440101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
