Price,Fees,Listing ID,Layout,Avaliable from,Floor space,Fully furnished,Floor,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Refundable security deposit,EPC,Condition,Building type,Domácí mazlíčci vítáni,Parking,Balkón 8 m²,Sklep 4 m²,Garage,Sklep 6 m²,Terasa 13 m²,Age,Designe,Ownership,Heating,Balkón 5 m²,Sklep 2 m²,Balkón 8.73 m²,Terasa 2.67 m²,Reconstruction,Lodžie 6 m²,Balkón 7 m²,Sklep 3 m²,Cellar,Balkón 2 m²,Sklep 8 m²,Balkón 4 m²,Lodžie 4 m²,Balcony,Terrace,Sklep 28 m²,Lodžie 15 m²,Sklep 5 m²,Balkón 18 m²,Sklep 3.2 m²,New-build,Balkón 30 m²,Lodžie 5 m²,Lodžie 7 m²,Balkón 6 m²,Terasa 18 m²,Terasa 200 m²,Sklep 15 m²,Terasa 350 m²,Enclosed balcony,Balkón 3 m²,Balkón 40 m²,Terasa 50 m²,Lodžie 3 m²,Sklep 12 m²,Terasa 5 m²,Sklep 10 m²,Balkón 10 m²,Terasa 15 m²,Balkón 11 m²,Balkón 28 m²,Balkón 32 m²,Terasa 32 m²,Administrative fee,Lodžie 8 m²,Lodžie 10 m²,Terasa 20 m²,Balkón 2.29 m²,Terasa 12 m²,Terasa 16.1 m²,Sklep 3.1 m²,Balkón 6.1 m²,Sklep 3.7 m²,Terasa 11 m²,Terasa 8 m²,Terasa 6 m²,Lodžie 9 m²,Terasa 14 m²,Terasa 25 m²,Balkón 15 m²,Terasa 10 m²,Sklep 1 m²,Balkón 13 m²,Sklep 7 m²,Balkón 33 m²,Terasa 29 m²,Balkón 9 m²,Sklep 1.5 m²,Terasa 30 m²,Terasa 7 m²,Terasa 45 m²,Sklep 4.1 m²,Terasa 10.1 m²,Terasa 83 m²,Sklep 6.4 m²,Balkón 96 m²,Terasa 27.6 m²,Balkón 1 m²,Sklep 1.2 m²,Lodžie 2.7 m²,Lodžie 13 m²,Terasa 19 m²,Balkón 12 m²,Sklep 20 m²,Balkón 16 m²,Terasa 14.1 m²,Terasa 9 m²,Sklep 14 m²,Terasa 40 m²,Balkón 35 m²,Balkón 70 m²,Plot space,Lodžie 12 m²
"CZK 20,490","CZK 4,968",746512,2+kk,10/20/2022,67 m²,Unfurnished,1,1.0,434.99,1085.67,767.93,1125.8,418.21,1045.4,780.18,936.02,626.28,267.35,"Přeučilova, Prague - Stodůlky",50.03675694444,14.32825555555,"CZK 25,458",C,New-build,Brick,,1.0,,,1.0,,,,,Personal,,,,,,,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,"CZK 25,458",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 30,000","CZK 9,000",740559,3+1,9/15/2022,118 m²,Partly,1,1.0,139.01,947.65,193.13,470.75,14.48,400.4,324.19,313.11,370.57,241.75,Prague - Nové Město,50.06909,14.41501,"CZK 30,000",G,Very good,Brick,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 28,000","CZK 7,500",746504,2+kk,10/20/2022,50 m²,Fully furnished,3,1.0,413.54,744.02,401.31,592.5,438.03,733.32,542.0,902.11,1.99,407.83,"Pod Klaudiánkou, Prague - Podolí",50.05435,14.42251,"CZK 56,000",G,New-build,Other,,1.0,,,,,,,Luxurious,,Central,,,,,Complete,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,000","CZK 1,900",713119,2+kk,1/2/2023,58 m²,Partly,1,,62.93,91.41,100.95,111.19,111.49,98.49,117.88,498.31,841.9,219.5,"Karlovo náměstí, Prague - Nové Město",50.0758076,14.419087,"CZK 19,000",C,New-build,Brick,,,,,,,,,,Personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 13,000","CZK 3,500",604244,Studio,11/1/2022,42 m²,,3,1.0,121.73,523.09,216.71,467.89,51.45,428.17,201.44,318.89,276.38,563.51,"Jeronýmova, Prague - Žižkov",50.086888,14.4482,"CZK 13,000",D,Very good,Brick,,,,,,,,,,Personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,000","CZK 2,910",410816,2+kk,,64 m²,Partly,5,1.0,230.65,1392.41,158.0,877.3,201.79,445.72,362.79,745.16,457.82,104.46,"Primátorská, Prague - Libeň",50.1127192,14.472558,"CZK 40,820",D,Very good,Brick,,,,,,,,,,Personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 27,000","CZK 6,000",727089,3+1,10/3/2022,79 m²,Fully furnished,,,243.61,1348.9,1081.18,1898.71,473.63,915.47,1131.54,1525.33,1429.94,663.83,Prague - Horní Počernice,50.10538,14.60316,"CZK 50,000",B,New-build,Brick,,1.0,,,,,,,,Personal,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 50,625","CZK 16,875",744437,4+1,12/1/2022,118 m²,Fully furnished,5,1.0,10.09,941.97,67.62,646.62,248.31,375.19,227.43,495.09,1021.07,415.81,"Grafická, Prague - Smíchov",50.0722637,14.3926388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 20,000","CZK 5,000",745134,2 bedroom,10/14/2022,82 m²,Partly,3,,248.33,892.41,202.99,522.35,119.6,381.58,467.64,154.04,89.67,193.68,"Jeseniova, Prague - Žižkov",50.09093,14.48245,"CZK 20,000",G,Very good,Brick,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 16,000","CZK 3,500",746108,1 bedroom,10/17/2022,54 m²,Partly,6,1.0,208.1,437.2,184.39,308.17,167.22,221.24,643.13,319.51,787.05,273.11,"Přemyslovská, Prague - Žižkov",50.07854,14.45897,"CZK 20,000",C,Very good,Brick,,,,,,,,Over 50 years,,Personal,Central,,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 17,600","CZK 3,244",745428,2+kk,11/1/2022,60 m²,Unfurnished,2,1.0,258.95,481.82,339.65,786.74,688.56,702,396.77,476.55,606.66,284.35,"Nad přehradou, Prague - Horní Měcholupy",50.04203,14.54986,"CZK 43,688",C,New-build,Brick,,1.0,,,,,,Up to 10 years,Luxurious,Personal,Central,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 29,999","CZK 5,000",644895,3+1,11/4/2022,107 m²,Fully furnished,3,,190.79,195.13,119.77,69.53,28.06,170.17,292.23,127.6,244.05,485.21,"Zlatnická, Prague - Nové Město",50.089797,14.432331,"CZK 35,000",C,Very good,Brick,1.0,,,,,,,,Standard,Personal,Gas boiler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 14,500","CZK 5,785",526561,2+kk,12/1/2022,60 m²,Partly,1,,72.23,803.2,709.32,3179.83,655.29,1083.37,872.38,785.59,946.11,377.74,Prague - Kbely,50.1397126,14.5473277,"CZK 20,000",,,Brick,,,,,,,,10 to 30 years,,Personal,Distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 43,000","CZK 6,500",328770,3+kk,12/6/2021,92 m²,Fully furnished,3,1.0,127.84,622.21,113.7,719.84,173.59,657.84,458.51,526.25,398.43,423.05,"U Zvonařky, Prague - Vinohrady",50.0691704,14.4336586,CZK 0,,New-build,Brick,,1.0,,,1.0,,,Up to 10 years,Luxurious,Personal,Gas boiler,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 29,925","CZK 9,975",746471,Studio,10/31/2022,30 m²,Fully furnished,2,1.0,210.86,390.29,319.5,985.86,301.65,338.01,858.33,290.45,385.77,539.9,"Strakonická, Prague - Smíchov",50.0643299,14.4102127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 14,000","CZK 3,000",233895,Studio,9/16/2020,25 m²,Fully furnished,1,,80.36,596.16,22.78,566.73,459.33,574.56,312.75,575.72,336.82,315.65,"Tlumačovská, Prague - Stodůlky",50.0402392371,14.336339004,"CZK 15,000",B,New-build,Prefab concrete,,,,,,,,Up to 10 years,Standard,Personal,Central,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 21,000","CZK 2,600",107622,3+1,11/7/2022,75 m²,Unfurnished,5,1.0,388.42,791.87,343.93,726.7,567.22,739.07,350.84,172.63,2057.36,277.82,"Krynická, Prague - Troja",50.1269242,14.4089477,"CZK 23,600",E,,Prefab concrete,,,,,,,,,,Cooperative,Distance,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 15,000","CZK 6,998",245201,2+kk,10/19/2022,49 m²,Partly,3,1.0,256.8,339.39,283.99,274.22,274.25,300.82,706.23,859.75,1487.1,401.33,"Hnězdenská, Prague - Troja",50.1262549126,14.418264019,"CZK 25,000",,,Brick,,1.0,,,1.0,1.0,,,,Personal,Central,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 22,500","CZK 7,500",744187,2 bedroom,12/5/2022,42 m²,Fully furnished,3,1.0,152.25,672.65,40.42,444.62,81.03,447.64,262.25,308.06,547.1,276.36,"Slovinská, Prague - Vršovice",50.0716124,14.4594622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 15,915","CZK 5,305",746449,Studio,12/18/2022,20 m²,Fully furnished,5,1.0,86.47,662.34,358.81,554.53,76.78,567.42,340.69,376.18,415.89,386.16,"Orebitská, Prague - Žižkov",50.0864225,14.4459574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,000","CZK 1,800",745115,2+kk,11/1/2022,38 m²,Fully furnished,6,,189.58,492.43,62.98,261.23,63.45,332.38,396.28,314.59,781.77,200.24,"Baranova, Prague - Žižkov",50.07897,14.45807,"CZK 38,000",B,Very good,Brick,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 28,000","CZK 5,000",746432,3+kk,10/18/2022,98 m²,Partly,3,1.0,146.4,1732.33,705.79,1697.51,857.78,1365.7,1665.15,1342.58,942.96,164.01,"Za Mototechnou, Prague - Stodůlky",50.0587,14.32951,"CZK 56,000",G,New-build,Other,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 20,000","CZK 3,200",746417,2+kk,11/1/2022,46 m²,Unfurnished,1,,185.23,683.53,147.26,255.34,148.94,536.76,874.45,455.63,776.61,344.37,"Dolnokrčská, Prague - Krč",50.03931,14.43834,"CZK 20,000",G,Very good,Brick,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 21,000","CZK 3,813",746414,Studio,11/1/2022,37 m²,Fully furnished,1,1.0,462.45,2135.85,1754.48,2130.01,543.35,1998.32,1446.13,2004.04,669.32,1368.26,"Šífařská, Prague - Hodkovičky",50.01912,14.40123,"CZK 40,000",B,New-build,Low-energy,,1.0,,,,,,,,Personal,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 16,500","CZK 2,300",746415,2+kk,10/24/2022,48 m²,Partly,4,1.0,321.95,814.68,275.53,780.62,488.75,714.66,287.37,405.67,1532.88,94.33,"Jelínkova, Prague - Kobylisy",50.13296,14.46475,"CZK 22,000",D,Very good,Prefab concrete,,,,,,,,,,,Central,,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 30,000","CZK 7,000",746179,3+1,10/19/2022,80 m²,Partly,6,1.0,254.06,637.98,126.69,450.47,83.56,402.61,429.87,898.11,225.11,173.67,"U Uranie, Prague - Holešovice",50.10621,14.45328,"CZK 60,000",F,Very good,Brick,,,,,,1.0,,Over 50 years,Luxurious,Personal,Central,,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 14,000","CZK 4,500",634083,1 bedroom,11/1/2022,35 m²,Unfurnished,4,,85.61,218.94,23.75,72.42,79.73,113.55,227.25,279.42,538.77,366.16,Prague - Smíchov,50.076804,14.404503,"CZK 15,000",G,Very good,Brick,,,,,,,,Over 50 years,Standard,Personal,Gas boiler,,,,,Interior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 32,000","CZK 4,000",746410,4+kk,10/18/2022,137 m²,Partly,4,,95.01,1125.76,106.79,977.45,14.54,1159.1,215.93,209.42,510.53,222.09,"Skloněná, Prague - Vysočany",50.10011,14.48779,"CZK 40,000",G,Very good,Brick,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,000","CZK 4,700",746408,2+kk,11/7/2022,63 m²,Partly,1,,197.53,1144.58,322.58,1136.91,147.58,1161.58,816.65,713.35,423.69,462.85,"Hostivařská, Prague - Hostivař",50.05378,14.53216,"CZK 38,000",G,Very good,Brick,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 12,000","CZK 3,000",746394,2 bedroom,11/1/2022,51 m²,Partly,1,,97.74,1262.92,869.54,1191.16,1139.76,782.84,883.86,1079.24,1684.23,793.55,Prague - Uhříněves,50.03645,14.57359,"CZK 36,000",G,Good,Brick,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,000","CZK 5,750",494547,2 bedroom,11/1/2022,54 m²,Partly,3,,177.58,592.4,355.1,487.67,288.32,393.04,731.03,498.14,1040.24,78.76,"Tuchorazská, Prague - Malešice",50.0812524,14.5061533,"CZK 38,000",,Very good,Prefab concrete,,1.0,,,,,,,,Personal,Central,,,,,Bathroom unit,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 13,000","CZK 2,600",708178,2+kk,2/25/2022,45 m²,Fully furnished,1,1.0,76.93,528.43,178.81,179.73,133.7,113,177.64,320.23,1283.78,202.91,"Petržílkova, Prague - Stodůlky",50.05165,14.34686,"CZK 13,000",G,Good,Prefab concrete,,,,,,,,,,Personal,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 16,500",CZK 0,746391,2 bedroom,11/1/2022,50 m²,Partly,1,,281.46,928.1,317.5,847.86,310.7,216.13,200.98,12.44,863.63,140.59,"Pod Sady, Prague - Modřany",50.00325,14.40752,"CZK 33,000",G,Very good,Brick,,1.0,,,,,,,,Cooperative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 21,000","CZK 3,500",746396,2+kk,10/18/2022,65 m²,Partly,2,1.0,80.87,292.82,479.39,1803.54,267.45,964.84,557.32,1296.65,916.68,87.45,"Hrdlořezská, Prague - Hrdlořezy",50.09343,14.50955,"CZK 42,000",C,Very good,Brick,,,,,1.0,,,Up to 10 years,Standard,Personal,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 28,493","CZK 9,497",742401,2+kk,12/1/2022,53 m²,Fully furnished,3,1.0,202.93,1083.69,84.41,522.08,140.61,459.37,143.09,392.14,304.14,134.72,"Drahobejlova, Prague - Libeň",50.1057951,14.4902938,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,000","CZK 5,000",746390,2+kk,10/18/2022,60 m²,Partly,5,,156.53,769.57,163.97,196.83,54.96,160.73,222.25,158.72,446.35,81.52,"Lotyšská, Prague - Bubeneč",50.10457,14.39694,"CZK 19,000",G,Very good,Brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 13,000","CZK 3,000",131411,Studio,11/1/2022,20 m²,Fully furnished,4,,94.0,222.82,40.58,189.53,23.13,29.1,182.63,300.98,417.98,343.94,"Seifertova, Prague - Žižkov",50.0842289,14.4529373,"CZK 13,000",,Very good,Brick,,,,,,,,Over 50 years,Standard,Personal,Electric boiler,,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 12,000","CZK 3,000",465647,1 bedroom,11/1/2022,30 m²,Partly,2,,126.53,592.0,266.32,694.94,381.48,723.76,161.03,267.26,231.13,107.99,"Stallichova, Prague - Krč",50.0456068,14.4379265,"CZK 30,000",G,,Brick,,,,,,,,,Standard,Cooperative,Distance,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 12,500","CZK 2,000",281469,2+kk,10/18/2022,46 m²,Fully furnished,4,1.0,255.23,525.99,356.3,1313.25,184.07,512.32,114.24,114.24,178.41,242.9,"Donovalská, Prague - Chodov",50.0365199404,14.5037410019,"CZK 14,500",,Very good,Prefab concrete,,,,1.0,,,,,Standard,Personal,Distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 30,000","CZK 10,000",718922,Studio,10/22/2022,45 m²,Fully furnished,5,1.0,241.61,542.2,98.71,270.79,176.01,313.55,455.64,821.55,633.96,593.3,"Mečislavova, Prague - Nusle",50.0633237,14.4440058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 14,900","CZK 1,500",694567,Studio,11/15/2022,33 m²,Unfurnished,,1.0,248.3,264.57,167.06,164.99,46.52,349.24,214.57,1010.88,487.71,433.95,Prague - Bubeneč,50.10124,14.42167,"CZK 15,000",C,New-build,Brick,1.0,,,,,,,Up to 10 years,Luxurious,Personal,Electric boiler,,,,,Complete,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 10,000","CZK 2,900",367555,Studio,11/1/2022,35 m²,Fully furnished,4,,183.69,888.99,221.45,1412.77,913.01,797.1,427.84,293.79,1131.2,212.89,"Doležalova, Prague - Černý Most",50.1023394,14.5661014,"CZK 13,500",,,Prefab concrete,,,,,,,,,Standard,Personal,Distance,,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 14,000","CZK 4,500",745089,2 bedroom,10/13/2022,55 m²,Partly,4,1.0,232.61,146.06,13.95,221.87,10.19,63.91,278.39,443.83,1225.33,285.5,Prague - Vokovice,50.09625,14.3602,"CZK 20,000",G,Good,Prefab concrete,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 28,000","CZK 2,500",176160,2 bedroom,1/1/2023,70 m²,Partly,2,,133.03,829.41,432.73,908.52,333.24,223.95,314.46,194.34,764.18,230.23,"K dolům, Prague - Modřany",50.0025673,14.4083338,"CZK 48,000",G,Very good,Brick,,,,,,,,Over 50 years,Luxurious,Personal,,,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 38,250","CZK 12,750",733049,3+kk,11/11/2022,78 m²,Fully furnished,5,1.0,122.69,292.83,150.02,222.27,31.53,246.25,406.08,512.95,283.22,254.06,"Křižíkova a, Prague - Karlín",50.0928722,14.4500782,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 21,000","CZK 7,000",731156,2+kk,11/25/2022,49 m²,Fully furnished,2,1.0,84.02,732.97,86.86,659.07,276.51,744,408.19,306.62,634.43,198.98,"Na Míčánkách, Prague - Vršovice",50.0713305,14.4638794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 20,000","CZK 3,000",746378,2+kk,10/18/2022,60 m²,Fully furnished,5,,63.63,119.4,39.9,137.82,256.67,192.36,557.97,312.18,423.11,305.6,"Chvalská, Prague - Hloubětín",50.10585,14.53889,"CZK 40,000",G,Very good,Brick,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 32,000","CZK 5,000",745082,3+kk,11/1/2022,76 m²,Fully furnished,2,,323.29,1377.6,728.37,1332.13,1089.0,1228.83,1090.87,1024.81,1020.05,729.53,Prague - Hloubětín,50.10854,14.52547,"CZK 37,000",A,New-build,Brick,,,,,,,,Up to 10 years,Luxurious,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 12,500",CZK 0,683559,1 bedroom,10/14/2022,38 m²,Unfurnished,13,1.0,62.99,804.51,86.75,804.08,551.66,78.24,373.96,681.84,957.0,222.55,"Vratislavská, Prague - Bohnice",50.13059,14.42444,"CZK 25,000",B,Very good,Prefab concrete,,,,,,,,,Standard,Personal,Central,,1.0,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 31,875","CZK 10,625",746367,2 bedroom,10/22/2022,57 m²,Fully furnished,7,1.0,7.74,76.74,105.28,213.89,45.41,117.47,178.45,327.18,381.26,239.99,"Dělnická, Prague - Holešovice",50.1031132,14.4472134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 40,481","CZK 13,494",742150,3+kk,11/1/2022,75 m²,Fully furnished,6,1.0,195.12,1018.19,151.41,722.84,224.35,262.66,303.64,382.55,1097.28,303.28,"Grafická, Prague - Smíchov",50.0726658,14.3919787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
