Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,PENB,Age,Design,Total number of floors,Renovation,Heating,Front garden,Administration fee,Developer name,Project name,Kód jednotky,New building,Investment Advisor
288662,"CZK 19,500",50.1014102,14.3708384,"Vostrovská, Prague - Dejvice",2 bedroom,50 m²,"CZK 4,000",Unfurnished,1,No,No,No,No,No,No,No,01. 04. 2021,294,928,442,564,441,347,743,854,776,314,Good,"CZK 45,000",Personal,Brick building,G,,Standard materials and solutions,Middle floor,Interior,Gas boiler,,,,,,,
706890,"CZK 11,890",50.05203722222,14.33069055555,"Symfonická, Prague - Stodůlky",Studio,52 m²,"CZK 2,149",Partially furnished,1,Yes,No,No,No,No,Yes,No,,263,979,527,944,628,499,912,521,435,407,Excellent,"CZK 14,039",Personal,Other,C,,,,,,,"CZK 14,039

                                
                                
                
i",,,,,
603343,"CZK 42,500",50.085203,14.428022,"Nekázanka, Prague - Nové Město",Other,114 m²,"CZK 5,000",Furnished,5,No,No,No,No,No,Yes,No,01. 05. 2022,232,136,116,213,140,227,297,701,403,667,Excellent,"CZK 47,500",Personal,Brick building,G,30 to 50 years years,Premium materials and solutions,Top floor,Overall,Central heating,,,,,,,
453637,"CZK 14,500",50.1412404,14.510172,"Kuželova, Prague - Letňany",1 bedroom with open-plan kitchen,43 m²,"CZK 4,000",Partially furnished,8,Yes,No,No,No,No,Yes,No,22. 04. 2022,389,777,192,"1,061",400,377,543,309,551,81,Excellent,"CZK 29,000",Personal,Brick building,,,Standard materials and solutions,Top floor,,Electric boiler,,,,,,,
705981,"CZK 13,990",50.08524,14.44984,"Štítného, Prague - Žižkov",Studio,30 m²,CZK 760,Partially furnished,1,No,No,No,No,No,Yes,No,29. 04. 2022,255,222,50,211,7,189,62,278,94,553,Excellent,"CZK 25,000",Personal,Other,C,1 to 10 years years,Standard materials and solutions,Middle floor,Overall,Other,,,,,,,
716105,"CZK 18,500",50.03031,14.53358,"Steinerova, Prague - Háje",4 bedroom,74 m²,"CZK 5,100",Partially furnished,1,No,No,Yes,Yes,No,Yes,No,02. 05. 2022,158,293,175,163,375,465,267,387,525,287,Excellent,"CZK 23,600",Cooperative,Prefab concrete building,B,,,,,,,,,,,,
716034,"CZK 12,500",50.0605665,14.427394,"Mikuláše z Husi, Prague - Nusle",Studio,31 m²,CZK 500,Partially furnished,3,Yes,No,Yes,No,No,No,No,01. 05. 2022,63,686,39,246,15,354,416,100,138,255,Good,"CZK 13,000",Personal,Brick building,G,,,,,,,,,,,,
563249,"CZK 16,000",50.0623095,14.3256648,"5. máje, Prague - Stodůlky",1 bedroom with open-plan kitchen,60 m²,"CZK 4,000",Partially furnished,1,Yes,No,No,No,Yes,No,No,02. 05. 2022,485,"1,479","1,251",799,"1,296","1,308","1,488",572,,,Excellent,"CZK 21,000",Personal,Brick building,,,Standard materials and solutions,Ground floor,Overall,Gas boiler,,,,,,,
52689,"CZK 12,000",50.0798736,14.4868594,"Počernická, Prague - Strašnice",Studio,36 m²,"CZK 2,215",Furnished,1,Yes,Yes,No,No,No,No,No,01. 05. 2022,133,695,208,479,369,294,718,599,359,290,,"CZK 20,000",Personal,Brick building,,,,,,,,,,,,,
433813,"CZK 15,000",50.0563315,14.2828153,"Sazovická, Prague - Zličín",1 bedroom with open-plan kitchen,58 m²,"CZK 2,500",Furnished,1,No,No,No,No,No,No,No,01. 06. 2022,86,"1,102",756,686,911,810,300,"1,049",149,,New build,"CZK 40,000",Personal,Brick building,A,1 to 10 years years,Premium materials and solutions,,,District heating,,,,,,Yes,
716097,"CZK 14,500",50.08415,14.44908,"Víta Nejedlého, Prague - Žižkov",1 bedroom with open-plan kitchen,47 m²,CZK 500,Partially furnished,2,No,No,No,No,No,No,No,01. 05. 2022,287,125,75,152,66,146,133,200,244,514,New build,"CZK 30,000",Personal,Brick building,G,,,,,,,,,,,,
31263,"CZK 16,000",50.1115724,14.4775255,Prague - Libeň,3 bedroom,70 m²,"CZK 3,820",Unfurnished,,No,No,No,No,No,No,No,27. 04. 2022,207,"1,286",438,977,150,622,756,"1,018",699,41,Good,"CZK 20,000",Personal,Brick building,,,Standard materials and solutions,Ground floor,Interior,Electric boiler,,,,,,,
576460,"CZK 13,500",50.0807978,14.4844751,"Nad Vodovodem, Prague - Strašnice",1 bedroom,40 m²,"CZK 3,500",Furnished,1,No,No,No,No,No,No,No,01. 12. 2019,90,950,192,680,234,537,972,610,92,319,Excellent,"CZK 27,000",Personal,Brick building,G,,,Raised ground floor,Overall,Central heating,,,,,,,
551075,"CZK 16,000",50.0893775,14.46752,"Biskupcova, Prague - Žižkov",1 bedroom with open-plan kitchen,50 m²,"CZK 1,000",Furnished,3,No,No,Yes,No,No,Yes,No,27. 04. 2022,97,735,22,65,76,93,396,481,427,267,Excellent,"CZK 19,800",Personal,Brick building,,over 50 years years,Standard materials and solutions,Middle floor,Overall,Other,,,,,,,
699695,"CZK 14,500",50.14276,14.5262,"Kadečkové, Prague - Letňany",1 bedroom with open-plan kitchen,42 m²,"CZK 2,000",Unfurnished,2,Yes,No,Yes,No,Yes,Yes,Yes,01. 06. 2022,814,"1,169","1,498",373,"1,293","1,416",726,490,,,New build,"CZK 29,000",Personal,Brick building,B,,,,,,,,,,,,
685106,"CZK 17,500",50.06662,14.42307,"Horská, Prague - Nové Město",Studio,33 m²,"CZK 5,000",Furnished,5,Yes,No,No,No,No,No,No,01. 07. 2022,114,989,23,10,23,31,353,549,399,398,New build,"CZK 22,500",Personal,Brick building,B,,,,,,,,,,,,
685115,"CZK 23,000",50.06636,14.42333,"Horská, Prague - Nové Město",1 bedroom with open-plan kitchen,50 m²,"CZK 7,000",Furnished,4,No,No,No,Yes,Yes,Yes,Yes,06. 06. 2022,165,981,117,149,162,109,492,669,487,409,New build,"CZK 30,000",Personal,Brick building,B,,,,,,,,,,,,
716094,"CZK 37,500",50.0633339,14.4440155,"Mečislavova, Prague - Nusle",1 bedroom with open-plan kitchen,56 m²,"CZK 12,500",Furnished,5,No,No,No,No,No,Yes,No,01. 06. 2022,243,541,100,272,177,315,457,820,635,594,,,,,,,,,,,,,,,,,
380614,"CZK 20,000",50.0981031,14.3582803,"Evropská, Prague - Vokovice",2 bedroom with open-plan kitchen,75 m²,"CZK 5,000",Partially furnished,7,No,No,No,Yes,No,Yes,No,01. 05. 2022,90,334,179,160,60,190,155,133,"1,075",294,Excellent,"CZK 20,000",Cooperative,Prefab concrete building,,,Standard materials and solutions,,,District heating,,,,,,,
438163,"CZK 15,000",50.1295252,14.4159214,"Ratibořská, Prague - Bohnice",1 bedroom with open-plan kitchen,42 m²,"CZK 3,264",Partially furnished,7,No,No,No,No,Yes,Yes,No,01. 06. 2022,184,402,362,332,325,409,495,643,"1,423",196,Excellent,"CZK 15,000",Personal,Prefab concrete building,,1 to 10 years years,Standard materials and solutions,Middle floor,Overall,District heating,,,,,,,
714474,"CZK 37,500",50.0822245,14.4146349,"Krocínova, Prague - Staré Město",2 bedroom with open-plan kitchen,102 m²,"CZK 12,500",Furnished,2,Yes,Yes,No,No,No,Yes,No,17. 06. 2022,258,962,181,204,1,145,392,348,304,385,,,,,,,,,,,,,,,,,
715207,"CZK 17,625",50.0753237,14.4575982,"Korunní, Prague - Vinohrady",Studio,29 m²,"CZK 5,875",Furnished,1,No,No,No,No,No,Yes,No,19. 06. 2022,159,612,67,290,33,373,307,359,795,244,,,,,,,,,,,,,,,,,
586683,"CZK 17,000",50.05174,14.543651,"Horolezecká, Prague - Hostivař",1 bedroom with open-plan kitchen,58 m²,"CZK 6,000",Furnished,6,Yes,No,No,No,No,No,No,15. 02. 2020,235,288,192,226,389,754,172,512,293,,,"CZK 23,000",Personal,Brick building,A,,,,,,,,,,,,
464110,"CZK 15,000",49.9615309,14.3822935,"Pickova, Prague - Zbraslav",1 bedroom with open-plan kitchen,68 m²,"CZK 4,000",Partially furnished,2,Yes,No,Yes,No,Yes,Yes,No,01. 06. 2022,345,327,599,615,976,210,227,,,,Excellent,"CZK 25,000",Personal,Low-energy building,C,10 to 30 years years,Premium materials and solutions,Middle floor,,District heating,,,,,,,
713500,"CZK 63,000",50.0895437,14.4260543,"Rybná, Prague - Staré Město",3 bedroom,86 m²,"CZK 21,000",Furnished,3,No,No,No,No,No,No,No,01. 06. 2022,138,70,36,61,45,257,146,128,234,214,,,,,,,,,,,,,,,,,
713487,"CZK 39,971",50.0877117,14.4091678,"U Lužického semináře, Prague - Malá Strana",2 bedroom,56 m²,"CZK 13,324",Furnished,1,No,Yes,No,No,No,No,No,27. 05. 2022,337,356,19,335,43,634,392,362,865,215,,,,,,,,,,,,,,,,,
713475,"CZK 32,250",50.0717643,14.4385436,"Americká, Prague - Vinohrady",Studio,27 m²,"CZK 10,750",Furnished,4,No,No,No,No,No,Yes,No,16. 05. 2022,272,322,70,607,60,509,83,250,792,565,,,,,,,,,,,,,,,,,
713490,"CZK 39,600",50.0876118,14.4080467,"Míšeňská, Prague - Malá Strana",1 bedroom with open-plan kitchen,46 m²,"CZK 13,200",Furnished,2,No,No,No,No,No,No,No,16. 05. 2022,249,259,109,237,65,537,295,274,806,231,,,,,,,,,,,,,,,,,
716057,"CZK 16,000",50.07755,14.43073,"Čelakovského sady, Prague - Vinohrady",Small studio,22 m²,"CZK 1,000",Furnished,4,No,No,No,No,No,Yes,No,10. 06. 2022,231,407,203,126,70,313,504,578,223,376,Excellent,"CZK 10,000",Personal,Other,B,,,,,,,,,,,,
713473,"CZK 31,425",50.0643299,14.4102127,"Strakonická, Prague - Smíchov",Studio,30 m²,"CZK 10,475",Furnished,2,No,No,No,No,No,Yes,No,19. 05. 2022,211,382,250,989,170,745,812,"1,050",387,543,,,,,,,,,,,,,,,,,
654369,"CZK 12,000",50.08424,14.34691,"Brunclíkova, Prague - Břevnov",1 bedroom,38 m²,"CZK 2,500",Unfurnished,2,No,No,Yes,No,No,No,No,15. 05. 2022,92,716,67,569,258,587,280,300,360,153,Excellent,"CZK 12,000",Personal,Prefab concrete building,G,,,Middle floor,Overall,District heating,,,,,,,
716048,"CZK 17,000",50.05292,14.50358,"Práčská, Prague - Záběhlice",1 bedroom with open-plan kitchen,59 m²,"CZK 3,800",Partially furnished,4,Yes,No,Yes,No,Yes,Yes,No,01. 05. 2022,1,718,910,"1,130",116,981,920,400,"1,230",614,Excellent,"CZK 23,000",Personal,Brick building,C,,,,,Central heating,,,,,,,
715945,"CZK 9,000",50.11268,14.613,"Běchorská, Prague - Horní Počernice",Small studio,25 m²,CZK 600,Furnished,1,No,No,No,No,No,No,No,26. 04. 2022,211,435,184,847,454,144,"1,122","1,468",232,,Excellent,"CZK 5,000",Personal,Brick building,G,,Standard materials and solutions,Attic,,Central heating,,,,,,,
690612,"CZK 21,000",50.0619286,14.365565,"Na Pomezí, Prague - Košíře",1 bedroom with open-plan kitchen,45 m²,"CZK 3,967",Furnished,4,Yes,No,No,No,Yes,Yes,Yes,04. 11. 2021,42,"1,053","1,047","1,298",921,"1,141",320,437,850,182,New build,"CZK 30,000",Personal,Brick building,B,,,,,,,,,,,,
713501,"CZK 33,750",50.0718291,14.4385892,"Americká, Prague - Vinohrady",1 bedroom,43 m²,"CZK 11,250",Furnished,4,No,No,No,No,No,Yes,No,16. 05. 2022,274,300,81,587,69,312,103,253,793,568,,,,,,,,,,,,,,,,,
713467,"CZK 23,625",50.0984636,14.4253146,"Ovenecká, Prague - Holešovice",1 bedroom with open-plan kitchen,55 m²,"CZK 7,875",Furnished,5,No,No,No,No,No,Yes,No,01. 06. 2022,220,310,47,185,156,218,202,"1,485",496,451,,,,,,,,,,,,,,,,,
715418,"CZK 14,500",50.0367596,14.5056446,Prague - Chodov,Studio,34 m²,"CZK 3,000",Partially furnished,1,Yes,No,No,No,No,Yes,Yes,23. 05. 2022,221,601,232,"1,420",43,398,201,201,38,102,New build,"CZK 14,500",Personal,Other,B,,,,,,,,,,,,
713518,"CZK 60,289",50.0821872,14.4175604,"Národní, Prague - Staré Město",2 bedroom,,"CZK 20,096",Furnished,1,No,No,No,No,No,No,No,01. 05. 2022,198,801,15,163,39,141,121,304,55,465,,,,,,,,,,,,,,,,,
713495,"CZK 49,650",50.0882058,14.4262315,"Rybná, Prague - Staré Město",1 bedroom with open-plan kitchen,53 m²,"CZK 16,550",Furnished,3,No,No,No,No,No,Yes,No,06. 06. 2022,281,192,58,183,11,368,315,297,289,305,,,,,,,,,,,,,,,,,
713464,"CZK 43,350",50.0894289,14.423732,"Masná, Prague - Staré Město",Studio,46 m²,"CZK 14,450",Furnished,3,No,No,No,No,No,Yes,No,18. 05. 2022,68,269,126,89,16,107,70,52,156,144,,,,,,,,,,,,,,,,,
713459,"CZK 51,225",50.090911,14.4295366,"Soukenická, Prague - Nové Město",1 bedroom with open-plan kitchen,50 m²,"CZK 17,075",Furnished,4,No,No,No,No,No,Yes,Yes,18. 05. 2022,144,325,176,152,60,230,49,259,388,439,,,,,,,,,,,,,,,,,
712898,"CZK 17,000",50.09525,14.50889,"Mezilehlá, Prague - Hrdlořezy",1 bedroom with open-plan kitchen,61 m²,"CZK 5,700",Partially furnished,,No,Yes,Yes,No,Yes,Yes,Yes,01. 05. 2022,189,499,654,463,962,728,"1,279","1,091",262,,New build,"CZK 40,000",Personal,Brick building,B,,,,,,,,,,,Yes,
25959,"CZK 12,600",50.1335671,14.4751987,"Kubíkova, Prague - Kobylisy",1 bedroom with open-plan kitchen,48 m²,"CZK 2,350",Partially furnished,2,No,No,Yes,No,No,Yes,No,25. 04. 2022,242,978,430,"1,107",305,922,324,445,"1,248",356,,"CZK 20,000",,Prefab concrete building,C,,Standard materials and solutions,Middle floor,,District heating,,,,,,,
716038,"CZK 14,500",50.07486,14.42255,"Salmovská, Prague - Nové Město",Studio,20 m²,"CZK 1,500",Furnished,4,No,No,No,No,No,Yes,No,01. 05. 2022,150,397,110,388,95,207,304,316,662,421,New build,"CZK 16,000",Personal,Brick building,G,,,,,,,,,,,,
716039,"CZK 27,000",50.09876,14.40049,"Jaselská, Prague - Bubeneč",3 bedroom,73 m²,"CZK 6,000",Unfurnished,,No,No,Yes,No,No,No,No,01. 05. 2022,265,383,113,66,65,280,189,750,443,27,Excellent,"CZK 66,000",Personal,Brick building,G,,,Ground floor,Overall,Electric boiler,,,,,,,
714044,"CZK 15,000",50.06881,14.43794,"Perucká, Prague - Vinohrady",Studio,24 m²,"CZK 3,598",Furnished,1,No,No,Yes,No,No,No,No,29. 04. 2022,533,652,431,809,459,782,519,441,675,740,New build,"CZK 50,000",Personal,Prefab concrete building,C,,,,,,,,,,,,
272123,"CZK 11,000",50.1208585,14.502658,"Prosecká, Prague - Prosek",1 bedroom with open-plan kitchen,40 m²,"CZK 2,500",Furnished,7,No,No,Yes,Yes,No,Yes,No,01. 05. 2022,191,487,321,484,410,341,113,616,"1,205",69,,"CZK 20,000",Personal,Prefab concrete building,,,Standard materials and solutions,Middle floor,Overall,District heating,,,,,,,
716036,"CZK 74,850",50.090911,14.4295366,"Soukenická, Prague - Nové Město",2 bedroom with open-plan kitchen,90 m²,"CZK 24,950",Furnished,4,Yes,Yes,No,No,No,Yes,Yes,18. 05. 2022,144,325,176,152,60,230,49,259,388,439,,,,,,,,,,,,,,,,,
716035,"CZK 63,000",50.090911,14.4295366,"Soukenická, Prague - Nové Město",2 bedroom with open-plan kitchen,90 m²,"CZK 21,000",Furnished,4,No,No,No,No,No,Yes,Yes,18. 05. 2022,144,325,176,152,60,230,49,259,388,439,,,,,,,,,,,,,,,,,
713454,"CZK 31,875",50.0902753,14.4260311,"Rybná, Prague - Staré Město",Studio,40 m²,"CZK 10,625",Furnished,1,No,No,No,No,No,No,No,26. 05. 2022,124,153,54,67,17,194,209,158,151,202,,,,,,,,,,,,,,,,,
665567,"CZK 15,000",50.07714,14.44497,"Vinohradská, Prague - Vinohrady",1 bedroom,35 m²,"CZK 3,000",Furnished,1,No,No,Yes,No,No,Yes,No,01. 05. 2022,200,453,160,372,92,133,461,156,338,289,Good,"CZK 18,000",Personal,Brick building,G,1 to 10 years years,Standard materials and solutions,Middle floor,Interior,Electric boiler,,,,,,,
695256,"CZK 18,000",50.07786,14.41518,"Vojtěšská, Prague - Nové Město",Studio,32 m²,"CZK 4,000",Furnished,1,No,No,No,No,No,No,No,01. 05. 2022,186,489,77,381,97,578,197,255,533,269,New build,"CZK 22,000",Personal,Brick building,G,1 to 10 years years,Premium materials and solutions,Ground floor,Interior,Electric boiler,,,,,,,
716033,"CZK 10,500",50.0552,14.40241,"Na Konvářce, Prague - Smíchov",1 bedroom,43 m²,"CZK 1,000",Furnished,-1,No,No,No,No,No,No,No,09. 05. 2022,229,"1,377",537,"1,353",526,992,901,832,622,,Excellent,"CZK 12,000",Personal,Brick building,G,,,,,,,,,,,,
651403,"CZK 16,000",50.064968,14.594997,"Ke Korunce, Prague - Dubeč",1 bedroom with open-plan kitchen,58 m²,"CZK 4,000",Furnished,3,No,Yes,No,No,Yes,No,No,01. 05. 2022,101,959,427,585,313,653,967,,,,New build,"CZK 30,000",Personal,Brick building,A,,Premium materials and solutions,,,Gas boiler,,,,,,Yes,
716029,"CZK 37,656",50.0928722,14.4500782,"Křižíkova a, Prague - Karlín",1 bedroom,36 m²,"CZK 12,552",Furnished,2,No,No,No,No,No,Yes,Yes,12. 06. 2022,123,293,167,222,66,246,411,"1,258",283,254,,,,,,,,,,,,,,,,,
714443,"CZK 33,675",50.0749602,14.4305105,"Legerova, Prague - Vinohrady",Studio,30 m²,"CZK 11,225",Furnished,6,No,No,No,No,No,Yes,No,21. 05. 2022,22,463,81,96,72,158,361,436,384,451,,,,,,,,,,,,,,,,,
484160,"CZK 13,900",50.1040098,14.4465769,"Osadní, Prague - Holešovice",1 bedroom,40 m²,"CZK 3,100",Furnished,2,Yes,No,No,No,No,Yes,No,01. 08. 2021,74,140,28,286,62,53,280,432,375,327,Excellent,"CZK 17,000",Cooperative,Brick building,,1 to 10 years years,Standard materials and solutions,Middle floor,Overall,Electric boiler,,,,,,,
391791,"CZK 15,000",50.1018961,14.4186782,Prague - Bubeneč,Studio,20 m²,"CZK 2,000",Furnished,1,No,Yes,Yes,No,No,Yes,No,01. 06. 2022,150,482,75,350,137,567,163,"1,493",189,330,New build,"CZK 17,000",Personal,Brick building,C,1 to 10 years years,Premium materials and solutions,Ground floor,,Electric boiler,10 m²,,,,,Yes,
713968,"CZK 22,575",50.0769346,14.4169603,"Na Zbořenci, Prague - Nové Město",1 bedroom,48 m²,"CZK 7,525",Furnished,1,No,Yes,No,No,No,Yes,No,21. 05. 2022,168,319,99,227,101,409,227,243,632,429,,,,,,,,,,,,,,,,,
552720,"CZK 23,999",50.1017746,14.419715,"Havanská, Prague - Bubeneč",3 bedroom,108 m²,CZK 500,Unfurnished,4,No,No,No,No,No,Yes,No,03/2019,217,398,16,267,151,484,94,280,290,,Excellent,CZK 1,Personal,Brick building,G,,Standard materials and solutions,Middle floor,,Gas boiler,,,,,,,
716016,"CZK 28,000",50.08622,14.44951,"Dalimilova, Prague - Žižkov",1 bedroom with open-plan kitchen,50 m²,"CZK 3,300",Furnished,3,Yes,No,Yes,No,No,Yes,No,01. 06. 2022,250,377,223,384,63,344,89,302,89,726,Excellent,"CZK 56,000",Personal,Brick building,F,,,,,,,,,,,,
671979,"CZK 9,500",50.09451,14.49492,"U Kněžské louky, Prague - Žižkov",1 bedroom with open-plan kitchen,44 m²,"CZK 1,000",Partially furnished,,No,No,No,No,No,No,No,01. 05. 2022,148,366,252,698,97,388,286,527,430,225,Excellent,"CZK 10,500",Personal,Brick building,G,30 to 50 years years,Standard materials and solutions,Ground floor,,Other,,,,,,,
710368,"CZK 16,990",50.0770962,14.4355937,Prague - Vinohrady,Studio,24 m²,"CZK 2,890",,,No,No,No,No,No,Yes,No,01. 06. 2022,32,97,83,143,48,139,384,384,579,732,Excellent,"CZK 10,000",Personal,Brick building,G,,,,,,,,,,,,
716009,"CZK 17,500",50.0483074,14.3124035,Prague - Stodůlky,1 bedroom with open-plan kitchen,55 m²,"CZK 3,500",Partially furnished,1,No,Yes,No,No,Yes,Yes,Yes,01. 05. 2022,385,385,256,924,205,493,300,294,201,191,Excellent,"CZK 25,000",Personal,Brick building,D,1 to 10 years years,,Ground floor,,,40 m²,,,,,Yes,
715582,"CZK 30,000",50.0848162,14.4690502,"Pitterova, Prague - Žižkov",Studio,50 m²,"CZK 10,000",Furnished,6,Yes,Yes,No,No,No,Yes,Yes,22. 05. 2022,130,178,103,494,73,222,671,527,372,445,,,,,,,,,,,,,,,,,
575502,"CZK 18,000",50.0656113,14.4278253,"Oldřichova, Prague - Nusle",2 bedroom with open-plan kitchen,52 m²,"CZK 1,200",Partially furnished,4,No,No,Yes,No,No,No,No,01. 06. 2022,241,876,155,451,119,301,585,697,417,245,Excellent,"CZK 34,000",Personal,Brick building,G,,Standard materials and solutions,Middle floor,Overall,Electric boiler,,,,,,,
715999,"CZK 10,000",50.08865,14.40115,"Nerudova, Prague - Malá Strana",Studio,33 m²,"CZK 4,420",Partially furnished,3,No,No,No,No,No,No,No,13. 05. 2022,86,349,35,251,0,75,280,716,862,497,Good,"CZK 20,000",Personal,Brick building,G,,,,,,,,,,,,
715997,"CZK 15,000",50.06641,14.39943,"Bieblova, Prague - Smíchov",1 bedroom,50 m²,"CZK 2,500",Partially furnished,4,No,No,No,No,No,No,No,09. 05. 2022,45,276,6,647,218,360,80,274,536,212,Excellent,"CZK 15,600",Other,Brick building,G,,,,,,,,,,,,
593217,"CZK 15,000",50.066406,14.399425,"Bieblova, Prague - Smíchov",1 bedroom,55 m²,"CZK 2,500",Partially furnished,3,No,No,No,No,No,No,No,09. 05. 2022,45,276,6,647,218,360,80,274,536,212,Excellent,"CZK 15,600",Other,Brick building,E,,,,,,,,,,,,
704120,"CZK 21,000",50.0568,14.37815,"Kačirkova, Prague - Jinonice",1 bedroom with open-plan kitchen,57 m²,"CZK 3,000",Partially furnished,4,No,No,Yes,Yes,No,Yes,Yes,01. 02. 2022,425,383,567,433,477,975,428,"1,467",364,,New build,"CZK 24,000",Personal,Brick building,B,,,,,Central heating,,,,,,,
715981,"CZK 24,000",50.07555,14.38298,"Pod Hájem, Prague - Smíchov",1 bedroom with open-plan kitchen,75 m²,"CZK 5,000",Furnished,1,No,No,No,No,Yes,No,No,01. 06. 2022,575,"1,192",746,"1,338",759,"1,396",771,376,"1,049",371,Excellent,"CZK 54,000",Personal,Brick building,G,,,,,,,,,,,,
653705,"CZK 19,900",50.10566,14.48235,"náměstí Na Balabence, Prague - Libeň",2 bedroom,51 m²,"CZK 3,400",Partially furnished,6,No,No,Yes,Yes,No,Yes,No,01. 05. 2022,121,603,138,235,361,720,117,622,486,75,Excellent,"CZK 35,000",Personal,Brick building,G,,,,,,,,,,,,
715976,"CZK 10,500",49.99684,14.3205,"Na Cikánce, Prague - Radotín",Studio,35 m²,"CZK 2,500",Furnished,1,No,No,No,No,No,No,No,01. 05. 2022,127,,,,,,,,,,Excellent,"CZK 30,000",Personal,Brick building,G,,,,,,,,,,,,
623185,"CZK 16,000",50.064273,14.270993,"Hostivická, Prague - Sobín",1 bedroom with open-plan kitchen,52 m²,"CZK 2,000",Partially furnished,2,No,Yes,No,No,Yes,No,No,27. 04. 2022,49,"1,321",86,"1,128",,,,,,,Excellent,"CZK 19,000",Personal,Brick building,B,1 to 10 years years,Standard materials and solutions,Middle floor,Overall,Central heating,20 m²,,,,,Yes,
457605,"CZK 18,000",50.0450286,14.4444703,"Herálecká III, Prague - Krč",2 bedroom,52 m²,"CZK 3,000",Furnished,3,No,No,Yes,No,No,No,No,15. 04. 2022,272,447,226,378,222,312,296,343,756,328,Good,"CZK 36,000",Personal,Prefab concrete building,,,Standard materials and solutions,Middle floor,Overall,District heating,,,,,,,
713926,"CZK 18,000",50.06363,14.5918,"Starodubečská, Prague - Dubeč",2 bedroom with open-plan kitchen,67 m²,"CZK 4,100",Unfurnished,2,No,Yes,No,No,Yes,No,No,12. 04. 2022,48,487,319,195,77,263,577,,,,Excellent,"CZK 30,000",Personal,Brick building,G,1 to 10 years years,Standard materials and solutions,Middle floor,Overall,Gas boiler,,,,,,,
715967,"CZK 27,936",50.0918972,14.4483184,"Křižíkova, Prague - Karlín",Studio,44 m²,"CZK 9,312",Furnished,3,No,No,No,No,No,Yes,Yes,15. 06. 2022,224,159,75,308,58,360,238,"1,343",368,105,,,,,,,,,,,,,,,,,
715966,"CZK 28,505",50.0918972,14.4483184,"Křižíkova, Prague - Karlín",Studio,44 m²,"CZK 9,501",Furnished,2,No,Yes,No,No,No,Yes,Yes,15. 06. 2022,224,159,75,308,58,360,238,"1,343",368,105,,,,,,,,,,,,,,,,,
715965,"CZK 26,208",50.0928722,14.4500782,"Křižíkova a, Prague - Karlín",Studio,50 m²,"CZK 8,736",Furnished,1,No,No,No,No,No,Yes,Yes,01. 06. 2022,123,293,167,222,66,246,411,"1,258",283,254,,,,,,,,,,,,,,,,,
715964,"CZK 28,857",50.0918972,14.4483184,"Křižíkova, Prague - Karlín",Studio,49 m²,"CZK 9,619",Furnished,2,Yes,Yes,No,No,No,Yes,Yes,27. 05. 2022,224,159,75,308,58,360,238,"1,343",368,105,,,,,,,,,,,,,,,,,
715963,"CZK 30,276",50.0918972,14.4483184,"Křižíkova, Prague - Karlín",1 bedroom with open-plan kitchen,63 m²,"CZK 10,092",Furnished,2,Yes,Yes,No,No,No,Yes,Yes,04. 06. 2022,224,159,75,308,58,360,238,"1,343",368,105,,,,,,,,,,,,,,,,,
715962,"CZK 20,663",50.0910052,14.4210032,"Bílkova, Prague - Staré Město",Studio,35 m²,"CZK 6,887",Furnished,5,Yes,No,No,No,No,Yes,No,10. 06. 2022,190,595,159,287,45,281,221,427,252,401,,,,,,,,,,,,,,,,,
715960,"CZK 12,500",50.13412,14.43702,"Jestřebická, Prague - Čimice",Studio,38 m²,"CZK 3,000",Partially furnished,2,No,No,No,No,No,No,No,01. 05. 2022,307,725,183,706,"1,098",927,622,624,195,,Excellent,"CZK 16,000",Personal,Brick building,G,,,,,,,,,,,,
377950,"CZK 22,000",50.1050536,14.4879673,"Drahobejlova, Prague - Libeň",2 bedroom with open-plan kitchen,67 m²,"CZK 4,700",Furnished,6,Yes,No,Yes,No,Yes,Yes,Yes,01. 09. 2021,200,80,120,118,164,278,337,565,181,47,New build,"CZK 40,000",Personal,Brick building,B,1 to 10 years years,Premium materials and solutions,Middle floor,,District heating,,,,,,Yes,
520398,"CZK 24,000",50.0127421,14.3877674,Prague - Velká Chuchle,2 bedroom with open-plan kitchen,96 m²,"CZK 3,500",Furnished,,Yes,No,No,No,Yes,No,No,01. 05. 2022,197,372,300,504,598,,,,,,,"CZK 48,000",Personal,Brick building,C,,,,,,,,,,,,
715954,"CZK 14,900",50.13412,14.43702,"Jestřebická, Prague - Čimice",Studio,52 m²,"CZK 3,000",Partially furnished,1,No,Yes,Yes,Yes,No,No,No,01. 05. 2022,307,725,183,706,"1,098",927,622,624,195,,Excellent,"CZK 18,000",Personal,Brick building,G,,,,,,,,,,,,
566413,"CZK 11,000",50.0599398,14.4285851,"Na Pankráci, Prague - Nusle",Studio,30 m²,CZK 880,Partially furnished,1,No,No,No,No,No,No,No,01. 06. 2020,157,726,41,354,95,245,526,9,172,365,,"CZK 11,000",Personal,Brick building,,,,,,,,,,,,,
