Price,Fees,Listing ID,Layout,Avaliable from,Floor space,Fully furnished,Floor,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Refundable security deposit,EPC,Condition,Building type,Cellar,Enclosed balcony,Heating,Ownership,Parking,Age,Balcony,Designe,Reconstruction,Terrace,Garage,New-build,Administrative fee,Plot type,Plot space,"You will rent this apartment for approximately CZK 26,625 CZK"
"CZK 21,000",CZK 700,534372,2+kk,8/1/2022,66 m²,Unfurnished,4,,108.23,391.06,244.03,205.75,87.05,83.9,290.48,222.06,529.85,194.84,"Vinohradská, Prague - Vinohrady",50.0772932,14.4476518,"CZK 21,000",B,,Brick,,,Gas boiler,Personal,,Up to 10 years,,,Complete,,,,,,,
"CZK 19,000","CZK 1,000",541897,2 bedroom,8/1/2022,55 m²,Partly,2,,333.82,584.56,154.21,439.08,344.7,495.05,589.37,587.29,769.29,294.06,Prague - Vinohrady,50.0750204,14.4851619,"CZK 20,000",D,,Brick,,,Electric boiler,Personal,,,,Standard,Complete,,,,,,,
"CZK 24,800",CZK 0,725522,3+1,7/12/2022,70 m²,Unfurnished,4,1.0,263.27,770.63,491.97,2049.74,451.24,1386.78,906.09,1290.09,1023.73,425.82,Prague - Libuš,50.01183,14.45502,"CZK 12,400",G,Very good,Prefab concrete,,1.0,,,,,,,,,,,,,,
"CZK 16,000",CZK 650,614479,2+kk,8/1/2022,44 m²,,4,,169.08,650.58,101.09,427.24,12.72,425.58,240.18,371.72,682.67,387.3,"Mexická, Prague - Vršovice",50.07204,14.45737,"CZK 16,000",G,Very good,Brick,,,,Personal,,,,,,,,,,,,
"CZK 12,000","CZK 2,900",725517,Small studio,7/18/2022,31 m²,Fully furnished,1,,192.71,373.01,470.0,369.56,43.08,248.93,762.17,588.9,911.42,94.31,Prague - Vokovice,50.09779,14.36641,"CZK 14,900",,Very good,Brick,,,,Personal,,,,,,,,,,,,
"CZK 24,000","CZK 8,000",721726,Studio,8/14/2022,20 m²,Fully furnished,4,1.0,135.73,343.51,169.52,240.21,114.43,5.65,313.21,791.73,231.47,538.72,"Washingtonova, Prague - Nové Město",50.0805511,14.4309281,,,,,,,,,,,,,,,,,,,,
"CZK 22,950","CZK 7,650",720321,Studio,7/29/2022,30 m²,Fully furnished,1,,132.37,501.79,36.37,411.65,20.42,261.97,31.33,216.92,578.69,177.33,"Klimentská, Prague - Nové Město",50.0922767,14.4324355,,,,,,,,,,,,,,,,,,,,
"CZK 16,500","CZK 1,000",281291,2 bedroom,8/1/2022,52 m²,Partly,2,,335.18,585.92,155.57,440.43,346.06,493.69,590.73,585.93,770.65,292.71,"Krátká, Prague - Vinohrady",50.0750172,14.4851435,"CZK 17,500",E,,Brick,,,Electric boiler,Personal,,,,Standard,,,,,,,,
"CZK 17,000","CZK 5,000",725509,2 bedroom,8/1/2022,60 m²,Fully furnished,7,1.0,66.51,124.74,126.5,412.33,182.62,218.01,319.08,467.81,508.39,69.15,Prague - Holešovice,50.1029,14.44467,"CZK 17,000",G,Very good,Prefab concrete,1.0,1.0,,,1.0,,,,,,1.0,,,,,
"CZK 17,925","CZK 5,975",722005,Studio,8/11/2022,33 m²,Fully furnished,2,1.0,101.18,101.45,145.17,163.35,18.04,264.85,443.76,1400.9,420.74,148.07,"Sokolovská, Prague - Karlín",50.0933405,14.449225,,,,,,,,,,,,,,,,,,,,
"CZK 37,500","CZK 12,500",719138,2+kk,7/17/2022,60 m²,Fully furnished,4,1.0,241.61,542.2,98.71,270.79,176.01,313.55,455.64,821.55,633.96,593.3,"Mečislavova, Prague - Nusle",50.0633237,14.4440058,,,,,,,,,,,,,,,,,,,,
"CZK 41,250","CZK 13,750",719999,2+kk,7/23/2022,55 m²,Fully furnished,1,1.0,76.78,951.56,41.94,296.91,109.07,229.41,371.34,325.8,517.82,388.28,"Rečkova, Prague - Žižkov",50.0904334,14.4705869,,,,,,,,,,,,,,,,,,,,
"CZK 30,000","CZK 10,000",718922,Studio,7/16/2022,45 m²,Fully furnished,5,1.0,241.61,542.2,98.71,270.79,176.01,313.55,455.64,821.55,633.96,593.3,"Mečislavova, Prague - Nusle",50.0633237,14.4440058,,,,,,,,,,,,,,,,,,,,
"CZK 32,400","CZK 10,800",722376,2 bedroom,8/14/2022,62 m²,Fully furnished,2,1.0,115.5,432.36,102.25,252.86,101.54,270.19,296.51,392.65,201.07,164.93,"U Obecního dvora, Prague - Staré Město",50.091319,14.4234523,,,,,,,,,,,,,,,,,,,,
"CZK 18,060","CZK 6,020",724517,1 bedroom,9/1/2022,50 m²,Fully furnished,1,,205.31,1124.89,579.04,1117.54,553.77,629.21,687.34,826.77,1417.7,569.07,"Na Výspě, Prague - Hodkovičky",50.0236328,14.420109,,,,,,,,,,,,,,,,,,,,
"CZK 23,500","CZK 5,100",725432,3+1,7/18/2022,78 m²,Partly,4,,413.79,1500.22,327.01,652.85,309.48,320.97,627.52,269.77,1171.62,122.62,Prague - Kobylisy,50.12823,14.44844,"CZK 23,500",G,Very good,Prefab concrete,1.0,,,,,,1.0,,,,,,,,,
"CZK 19,800","CZK 6,600",724736,3+1,8/31/2022,90 m²,Fully furnished,5,1.0,82.8,397.93,96.94,404.98,135.48,353.78,131.46,217.55,654.74,661.34,"Blanická, Prague - Vinohrady",50.0746503,14.439294,,,,,,,,,,,,,,,,,,,,
"CZK 22,478","CZK 7,492",717623,Studio,8/4/2022,30 m²,Fully furnished,3,1.0,99.26,368.43,492.48,556.35,425.89,352.32,496.3,585.08,429.78,490.62,"Olšanská, Prague - Žižkov",50.0830187,14.4654473,,,,,,,,,,,,,,,1.0,,,,,
"CZK 33,750","CZK 11,250",718218,2+kk,7/16/2022,45 m²,Fully furnished,2,1.0,210.86,382.06,250.08,989.18,169.53,744.75,811.66,1049.67,387.48,543.22,"Strakonická, Prague - Smíchov",50.0643299,14.4102127,,,,,,,,,,,,,,,,,,,,
"CZK 21,375","CZK 7,125",724916,Studio,9/5/2022,35 m²,Fully furnished,1,1.0,228.77,340.86,232.94,732.64,115.16,426.24,319.01,539.74,497.03,358.92,"U Nikolajky, Prague - Smíchov",50.0668274,14.3966153,,,,,,,,,,,1.0,,,1.0,1.0,,,,,
"CZK 29,850","CZK 9,950",724078,2+kk,8/28/2022,50 m²,Fully furnished,3,1.0,75.01,890.63,40.68,622.44,47.2,145.83,371.43,242.4,512.42,352.71,"Kubelíkova, Prague - Žižkov",50.0815843,14.4461973,,,,,,,,,,,,,,,,,,,,
"CZK 13,500","CZK 2,500",575223,1 bedroom,9/27/2019,38 m²,Partly,3,1.0,65.43,359.16,211.4,88.38,16.61,285.81,355.84,665.56,157.32,197.77,"Pod pekárnami, Prague - Vysočany",50.1118794,14.5036348,"CZK 20,000",C,Very good,Brick,,,Central,Personal,,,1.0,,,,,,,,,
"CZK 22,000","CZK 4,500",159198,2 bedroom,9/1/2022,68 m²,Partly,3,,349.02,778.99,541.02,1070.45,518.49,901.47,388.63,8.58,1042.2,229.99,"U Okrouhlíku, Prague - Smíchov",50.0739658,14.3817333,"CZK 22,000",,,Brick,,,Gas boiler,Personal,,Up to 10 years,,,Complete,,,,,,,
"CZK 22,000","CZK 1,400",634155,2 bedroom,7/15/2022,80 m²,Partly,2,,234.48,595.41,45.79,424.68,31.49,247.34,252.66,884.92,968.01,334.04,Prague - Malá Strana,50.088636,14.39887,"CZK 30,000",G,Very good,Other,,,,Other,,,,,,,,,,,,
"CZK 20,790","CZK 6,930",725487,2 bedroom,9/10/2022,47 m²,Fully furnished,2,1.0,156.38,1229.0,162.03,220.23,25.89,81.62,279.46,502.09,319.11,381.66,"Viklefova, Prague - Žižkov",50.0907344,14.4740295,,,,,,,,,,,1.0,,,1.0,,,,,,
"CZK 53,510","CZK 17,836",725486,4+1,9/10/2022,110 m²,Fully furnished,7,1.0,348.55,940.69,207.03,294.37,97.8,272.7,322.85,445.04,400.99,361.6,"Divadelní, Prague - Staré Město",50.0824664,14.4140344,,,,,,,,,,,1.0,,,1.0,,,,,,
"CZK 13,000","CZK 1,000",725485,Small studio,7/12/2022,20 m²,Unfurnished,4,1.0,212.45,629.95,115.38,498.09,125.74,715.12,224.98,1377.12,173.77,295.64,Prague - Bubeneč,50.10237,14.41812,"CZK 26,000",G,New-build,Brick,,,,,,,1.0,,,,,,,,,
"CZK 18,500","CZK 2,500",612997,2+kk,9/1/2022,43 m²,Partly,2,,345.81,1564.53,580.73,1494.4,665.07,1339.74,266.38,953.97,2333.89,265.06,"Dolákova, Prague - Bohnice",50.134462,14.409814,"CZK 30,000",,Very good,Prefab concrete,1.0,,Central,Personal,1.0,,,,Complete,,,,,,,
"CZK 14,000","CZK 4,000",314545,2+kk,7/15/2022,53 m²,Partly,3,1.0,193.52,1120.48,997.68,2340.54,156.63,207.97,667.29,1808.32,1345.29,182.98,Prague - Kunratice,50.0219411979,14.4642745331,"CZK 28,000",,Very good,Brick,,1.0,Distance,Personal,,,,Standard,,,,1.0,,,,
"CZK 20,000","CZK 4,500",663625,3+1,7/7/2022,69 m²,Unfurnished,,1.0,246.06,440.09,163.71,310.3,85.08,481.26,95.62,210.34,773.03,227.74,"Amurská, Prague - Vršovice",50.06945,14.47384,"CZK 40,000",G,Very good,Brick,1.0,,Central,Personal,,,,,,,,,,,,
"CZK 18,000","CZK 3,500",387154,2+kk,8/1/2022,66 m²,Partly,3,1.0,169.28,1187.59,269.36,1262.5,487.76,262.2,218.17,597.69,897.43,187.51,"Březenská, Prague - Libeň",50.128458,14.484084,"CZK 22,000",B,New-build,Brick,1.0,,Central,Personal,1.0,Up to 10 years,1.0,,,1.0,1.0,1.0,,,,
"CZK 16,000","CZK 4,000",725445,2 bedroom,8/1/2022,60 m²,Fully furnished,3,,117.14,736.67,123.64,718.22,434.37,663.51,667.78,730.62,588.43,441.06,Prague - Hloubětín,50.10523,14.52983,"CZK 20,000",G,Very good,Brick,,,,,,,,,,,,,,,,
"CZK 36,750","CZK 12,250",723533,2+kk,7/16/2022,56 m²,Fully furnished,6,1.0,345.14,1342.2,164.46,1280.58,177.52,640.24,86.84,430.13,282.25,213.81,"Střížkovská, Prague - Střížkov",50.1237895,14.4836132,,,,,,,,,,,,,,,,,,,,
"CZK 15,000",CZK 0,250012,1 bedroom,7/11/2022,30 m²,Partly,3,,199.08,871.2,156.11,575.85,182.29,455.67,295.58,477.46,968.34,398.18,Prague - Smíchov,50.0730669,14.394531,"CZK 20,000",,,Brick,,,,Other,,,,,,,,,,,,
"CZK 15,000",CZK 700,606810,3+1,9/1/2022,75 m²,Partly,2,,207.69,482.27,84.36,438.85,95.84,148.6,275.64,425.8,739.88,517.15,Prague - Nové Město,50.07184,14.429817,"CZK 15,000",G,Very good,Brick,,,Gas boiler,Personal,,Over 50 years,1.0,Standard,,,,,,,,
"CZK 11,000","CZK 3,000",659425,2+kk,7/15/2022,45 m²,Unfurnished,5,1.0,355.07,436.61,170.15,444.82,214.01,236.18,811.08,312.41,369.14,324.93,"Hráského, Prague - Chodov",50.02809,14.49069,"CZK 14,000",A,Very good,Prefab concrete,,,Central,Personal,,,,,,,,,,,,
"CZK 18,093","CZK 6,031",724804,Studio,9/1/2022,20 m²,Fully furnished,-1,,436.44,651.72,157.26,839.93,42.83,786.22,373.8,99.97,596.11,264.86,"Šmilovského, Prague - Vinohrady",50.0705646,14.4422617,,,,,,,,,,,,,,,1.0,,,,,
"CZK 20,000","CZK 4,000",725440,3+1,7/11/2022,85 m²,Partly,2,,256.37,1117.23,482.0,1155.61,205.81,824.94,1356.93,232.9,963.34,473.12,Prague - Vršovice,50.06172,14.46566,"CZK 20,000",G,Very good,Brick,,,,,1.0,,,,,,,,,,,
"CZK 15,000","CZK 4,400",725431,2 bedroom,8/1/2022,56 m²,Partly,1,,313.1,1509.72,332.54,2411.33,465.95,1621.12,355.56,1288.52,824.55,887.44,Prague - Ruzyně,50.08429,14.31501,"CZK 15,000",G,Good,Brick,1.0,,,,,,,,,,,,,,,
"CZK 15,000","CZK 5,600",723196,2 bedroom,8/1/2022,52 m²,Partly,2,,242.1,480.56,145.51,574.89,314.37,528.6,487.61,208.71,685.48,153.37,Prague - Strašnice,50.07784,14.49749,"CZK 40,000",D,Good,Prefab concrete,1.0,,Central,Cooperative,,,,,,,,,,,,
"CZK 24,413","CZK 8,137",724292,1 bedroom,8/4/2022,46 m²,Fully furnished,2,,450.08,851.94,613.97,1216.3,634.57,923.06,534.48,156.81,999.06,301.07,"U Pernikářky, Prague - Smíchov",50.0745289,14.3827184,,,,,,,,,,,,,,,,,,,,
"CZK 37,500","CZK 12,500",720700,2+kk,7/16/2022,60 m²,Fully furnished,2,1.0,241.61,542.2,98.71,270.79,176.01,313.55,455.64,821.55,633.96,593.3,"Mečislavova, Prague - Nusle",50.0633237,14.4440058,,,,,,,,,,,,,,,,,,,,
"CZK 13,500","CZK 5,200",66794,2+kk,8/1/2022,52 m²,Partly,5,,600.09,1550.81,194.63,1651.27,465.86,838.08,540.63,802.14,1444.79,52.68,"Roudnická, Prague - Střížkov",50.1328588,14.4873784,"CZK 18,699",,,Prefab concrete,,,Distance,Personal,,,,Standard,Complete,,,,,,,
"CZK 12,202","CZK 1,154",725428,Studio,8/1/2022,24 m²,,1,,133.17,408.55,199.09,429.66,3.88,383.5,496.59,219.2,434.27,108.55,"Ronkova, Prague - Libeň",50.1057629,14.4769956,"CZK 10,933",,Good,Other,,,,Personal,,,,,,,,,"CZK 1,712",,,
"CZK 12,500","CZK 3,500",724671,Studio,8/1/2022,34 m²,Fully furnished,3,1.0,518.47,1006.6,256.51,3083.75,240.6,1129.45,1023.85,130.02,2001.81,164.0,Prague - Čakovice,50.15646,14.51509,"CZK 25,000",B,New-build,Low-energy,,,,,,,1.0,,,,1.0,1.0,,,,
"CZK 22,000","CZK 3,000",725138,2+kk,8/1/2022,63 m²,Partly,1,,92.53,1576.27,658.52,1399.02,165.19,1023.16,583.2,1388.74,1172.98,994.03,Prague - Krč,50.03352,14.44734,"CZK 20,000",C,New-build,Brick,1.0,,,,1.0,,,,,1.0,,1.0,,,,
"CZK 18,800","CZK 4,500",332969,3+kk,9/15/2022,62 m²,Partly,3,1.0,461.71,507.64,380.53,2194.14,476.69,610.55,927.81,336.9,503.38,150.08,"Kytínská, Prague - Hostivař",50.0530514,14.5446761,"CZK 30,000",B,New-build,Brick,,,Distance,,1.0,Up to 10 years,1.0,Luxurious,,,1.0,1.0,,,,
"CZK 15,300","CZK 4,200",725424,1 bedroom,8/7/2022,54 m²,Unfurnished,3,1.0,420.24,1485.76,850.0,4102.98,539.63,826.71,1209.44,3352.48,1284.16,462.62,Prague - Dolní Měcholupy,50.06799,14.55658,"CZK 23,000",B,New-build,Brick,,,,,,,1.0,,,,,1.0,,,,
"CZK 22,000","CZK 4,500",688565,3+kk,8/15/2022,65 m²,Fully furnished,1,1.0,218.29,691.86,250.49,711.84,436.5,898.46,654.32,352.19,778.36,210.02,"Prorektorská, Prague - Malešice",50.0862173,14.5035851,"CZK 26,500",G,Very good,Brick,1.0,,,Personal,1.0,,,,,1.0,,,,,,
"CZK 60,000","CZK 20,000",717694,2+kk,7/17/2022,,Fully furnished,3,,177.2,646.63,182.16,39.81,37.58,122.34,27.5,101.85,349.84,194.18,"Ječná, Prague - Nové Město",50.0757302,14.4269087,,,,,,,,,,,,,,,,,,,,
"CZK 59,250","CZK 19,750",717599,4+kk,7/16/2022,90 m²,Fully furnished,2,1.0,140.09,527.92,223.64,125.85,37.89,66.77,510.79,1001.31,1180.94,559.23,"Stroupežnického, Prague - Smíchov",50.0710929,14.4032595,,,,,,,,,,,,,,,,,,,,
"CZK 29,250","CZK 9,750",725020,2 bedroom,8/22/2022,65 m²,Fully furnished,3,1.0,163.79,319.88,110.55,226.38,103.86,407.78,227.16,243.22,785.75,360.1,"Na Zbořenci, Prague - Nové Město",50.0769346,14.4169603,,,,,,,,,,,,,,,,,,,,
"CZK 43,500","CZK 14,500",717644,2 bedroom,7/17/2022,82 m²,Fully furnished,3,1.0,154.88,368.87,146.98,651.03,45.07,545.33,204.63,327.9,671.18,484.21,"Jana Masaryka, Prague - Vinohrady",50.0723321,14.4399493,,,,,,,,,,,,,,,,,,,,
"CZK 47,340","CZK 15,780",717682,2+kk,7/16/2022,69 m²,Fully furnished,6,1.0,104.56,349.59,143.75,145.93,108.83,150.53,431.56,393.96,289.53,329.01,"Na Maninách, Prague - Holešovice",50.1025661,14.4522431,,,,,,,,,,,1.0,,,1.0,,,,,,
"CZK 25,000","CZK 6,000",420999,3+kk,8/15/2022,113 m²,Partly,3,1.0,131.2,1562.7,559.26,1237.24,637.54,611.89,384.95,1218.22,1502.48,645.21,"Poděbradská, Prague - Vysočany",50.1027007,14.5095681,"CZK 60,000",,,Brick,,,Central,Personal,1.0,10 to 30 years,,Standard,,1.0,,,,,,
"CZK 17,900","CZK 3,000",610315,2+kk,8/1/2022,50 m²,,4,1.0,224.27,661.77,250.27,1036.34,270.86,440.41,130.68,352.96,1134.79,502.75,"Plzeňská, Prague - Košíře",50.070903,14.383151,"CZK 36,000",C,New-build,Brick,1.0,,Central,Personal,,,,,,,1.0,,,,,
"CZK 41,000","CZK 7,000",725419,3+kk,8/1/2022,97 m²,Unfurnished,3,1.0,344.33,616.92,69.31,274.61,44.69,137.75,322.3,866.01,188.27,454.99,Prague - Karlín,50.0938,14.45505,"CZK 48,000",G,Very good,Brick,,,,,,,,,,,,,,,,
"CZK 18,000","CZK 4,000",725411,2+kk,7/11/2022,54 m²,Fully furnished,1,,103.75,955.7,280.48,410.2,14.01,631.02,346.46,380.05,657.91,172.57,Prague - Bubeneč,50.1039,14.40337,"CZK 18,000",C,Good,Brick,,,,,,,,,,,,,,,,
"CZK 17,000","CZK 4,000",690903,2+kk,7/15/2022,58 m²,Partly,1,1.0,255.31,280.06,351.49,1432.77,369.76,1267.71,541.92,878.1,811.36,195.9,"Ondrákové, Prague - Hlubočepy",50.02841,14.36164,"CZK 21,000",A,New-build,Brick,,,,Personal,,,1.0,,,,,,,,,
"CZK 14,000","CZK 3,700",580862,2+kk,4/18/2021,45 m²,Partly,2,1.0,389.77,291.65,201.65,1091.67,233.57,288.35,324.83,227.26,349.38,168.3,"Přecechtělova, Prague - Stodůlky",50.03696215,14.340748918043,"CZK 28,000",G,Very good,Prefab concrete,1.0,,Distance,Personal,1.0,,,Standard,Complete,,,,,,,
"CZK 19,500","CZK 4,500",652153,Studio,7/11/2022,20 m²,Fully furnished,3,1.0,203.12,501.16,103.26,445.67,8.74,239.25,220.23,444.7,768.67,492.57,"Fügnerovo náměstí, Prague - Nové Město",50.071528,14.430216,"CZK 3,000",C,Very good,Brick,,,Central,Personal,1.0,Up to 10 years,,Luxurious,Complete,,1.0,,,,,
"CZK 7,500","CZK 1,500",688853,Other,7/1/2022,31 m²,Unfurnished,,,200.57,849.52,203.4,687.9,182.43,686.24,524.74,415.67,640.86,162.21,"Bulharská, Prague - Vršovice",50.07186,14.46305,"CZK 18,000",G,Very good,Brick,,,,Personal,,,,,,,,,,,,
"CZK 15,000","CZK 3,000",725398,Studio,8/1/2022,40 m²,Fully furnished,1,,153.85,228.79,97.28,110.15,48.92,276.31,426.23,491.19,337.1,490.33,Prague - Vinohrady,50.07713,14.43283,"CZK 15,000",G,Very good,Other,,1.0,,,,,,,,,,,,,,
"CZK 19,500",CZK 700,721889,1 bedroom,6/10/2022,40 m²,Fully furnished,,,113.11,379.86,71.41,241.99,45.66,98.49,295.44,275.59,558.97,269.92,Prague - Vinohrady,50.0755,14.45124,"CZK 39,000",G,New-build,Brick,,,,,,,,,,,,,,,,
"CZK 14,000","CZK 3,000",725391,Studio,8/1/2022,30 m²,Partly,2,1.0,229.9,947.02,205.09,713.91,247.68,447.39,154.37,412.65,1095.26,196.69,Prague - Modřany,50.0061,14.40679,"CZK 17,000",A,New-build,Brick,,,,,,,,,,,,1.0,,,,
"CZK 18,000","CZK 4,000",725386,2+kk,8/1/2022,45 m²,Partly,,,277.25,1379.97,209.83,770.55,359.08,178.6,641.59,335.33,618.09,507.38,Prague - Dejvice,50.10818,14.39134,"CZK 18,000",G,Very good,Brick,,,,,,,,,,,,,,,,
"CZK 22,400","CZK 4,000",725384,2+kk,8/1/2022,52 m²,Partly,2,1.0,229.9,947.02,205.09,713.91,247.68,447.39,154.37,412.65,1095.26,196.69,Prague - Modřany,50.0061,14.40679,"CZK 26,400",A,New-build,Brick,,,,,,,1.0,,,,,1.0,,,,
"CZK 16,500","CZK 4,000",725383,2 bedroom,7/11/2022,55 m²,Partly,5,1.0,108.46,225.19,181.33,86.87,358.82,255.96,319.78,421.92,516.2,463.15,Prague - Vršovice,50.069,14.46978,"CZK 32,000",C,Very good,Brick,1.0,,,,,,1.0,,,,,,,,,
"CZK 29,400","CZK 5,000",720415,2+kk,5/30/2022,90 m²,Fully furnished,1,1.0,338.49,1248.67,777.04,957.6,399.57,957.91,1181.0,168.16,888.66,114.86,Prague - Vysočany,50.11566,14.51013,"CZK 34,400",G,New-build,Other,,,,,1.0,,,,,,1.0,,,,,
"CZK 19,990","CZK 3,356",725380,3+kk,7/15/2022,72 m²,Partly,3,,446.73,1397.26,408.64,1021.64,618.03,673.85,777.16,497.23,1097.51,183.31,"Pohnertova, Prague - Kobylisy",50.13102472222,14.44744055555,"CZK 23,346",G,Good,Brick,1.0,1.0,,Personal,,,1.0,,,,,,"CZK 23,346",,,
"CZK 17,175","CZK 5,725",723112,Studio,7/16/2022,16 m²,Fully furnished,3,,151.47,346.94,58.54,123.52,76.82,121.44,203.9,179.2,421.36,192.43,"Holandská, Prague - Vršovice",50.0696405,14.4559213,,,,,,,,,,,,,,,,,,,,
"CZK 28,050","CZK 9,350",723982,Studio,8/24/2022,40 m²,Fully furnished,2,,87.49,353.69,89.13,198.59,58.79,391.02,424.91,274.28,259.74,601.22,"Zborovská, Prague - Smíchov",50.0730353,14.4083714,,,,,,,,,,,1.0,,,1.0,,,,,,
"CZK 29,925","CZK 9,975",717597,1 bedroom,7/16/2022,30 m²,Fully furnished,2,1.0,22.29,463.39,80.9,95.69,72.35,158.42,361.29,435.63,383.68,450.56,"Legerova, Prague - Vinohrady",50.0749602,14.4305105,,,,,,,,,,,,,,,,,,,,
"CZK 12,000","CZK 4,000",725293,2+kk,7/10/2022,53 m²,Unfurnished,3,1.0,368.56,1335.0,483.78,1142.77,759.24,1237.36,754.88,655.56,1535.27,437.24,Prague - Uhříněves,50.03848,14.59384,"CZK 36,000",B,Very good,Brick,1.0,,,,,,,,,1.0,1.0,,,,,
"CZK 52,500","CZK 17,500",723111,4+1,7/24/2022,110 m²,Fully furnished,7,1.0,137.99,750.11,161.99,51.36,36.39,308.63,639.86,669.46,545.17,200.72,"Koněvova, Prague - Žižkov",50.0896259,14.4652159,,,,,,,,,,,,,,,1.0,,,,,
"CZK 41,625","CZK 13,875",720848,4+kk,9/1/2022,112 m²,Fully furnished,4,1.0,168.35,737.87,30.76,217.13,7.9,216.51,106.1,336.15,114.49,565.37,"Ostrovní, Prague - Nové Město",50.0806286,14.4175374,,,,,,,,,,,1.0,,,1.0,,,,,,
"CZK 39,000","CZK 13,000",724853,2+kk,7/16/2022,45 m²,Fully furnished,4,1.0,336.41,302.29,48.66,211.39,57.6,35.65,274.52,787.09,193.2,587.05,"Opletalova, Prague - Nové Město",50.0812219,14.4297716,,,,,,,,,,,,,,,,,,,,
"CZK 33,000","CZK 5,500",320146,4+kk,8/3/2022,127 m²,Partly,7,1.0,180.9,275.92,211.57,252.38,137.33,251.39,270.69,505.51,363.09,285.71,"Sinkulova, Prague - Podolí",50.0584062,14.4233332,"CZK 66,000",C,New-build,Low-energy,,,Central,Personal,,Up to 10 years,,Luxurious,,1.0,1.0,1.0,,,,
"CZK 30,500","CZK 5,000",725046,2+kk,7/7/2022,53 m²,Fully furnished,3,1.0,441.44,971.43,309.93,421.2,237.01,684.16,649.78,685.27,724.98,724.25,Prague - Žižkov,50.0865,14.44125,"CZK 59,000",G,Very good,Brick,,,,,,,1.0,Luxurious,Complete,,,,,,,
"CZK 13,900","CZK 2,500",685913,2 bedroom,7/15/2022,71 m²,Partly,1,,65.34,218.79,100.4,434.15,28.29,425.13,214.32,91.05,807.08,865.26,"Londýnská, Prague - Vinohrady",50.07124,14.43563,"CZK 16,400",G,Good,Brick,,,,Personal,,,,,,,,,,,,
"CZK 16,500","CZK 4,000",628520,2 bedroom,8/1/2022,59 m²,Fully furnished,3,1.0,166.97,334.75,246.12,589.38,237.34,356.92,445.32,355.03,702.98,81.03,"Křivá, Prague - Žižkov",50.093323,14.494846,"CZK 20,500",G,Very good,Brick,1.0,1.0,Distance,Personal,1.0,30 - 50 years,1.0,Standard,Interior,,,,,,,
"CZK 22,900","CZK 4,500",725359,2 bedroom,7/11/2022,80 m²,Partly,1,,379.01,2220.31,438.76,1628.78,367.87,1674.19,2055.82,2977.16,401.69,189.22,Prague - Hostavice,50.08462,14.55603,"CZK 45,800",C,Very good,Brick,,,,,,,1.0,,,1.0,,,,,,
"CZK 26,800",CZK 700,526419,3+kk,7/1/2022,93 m²,Partly,5,,53.14,367.43,39.88,58.19,55.02,254.58,117.96,330.45,564.75,447.33,Prague - Nové Město,50.0781585,14.4191436,"CZK 53,600",,,Brick,,,,Personal,,,,,,,,,,,,
"CZK 16,000","CZK 5,000",671688,2+kk,8/1/2022,50 m²,Fully furnished,1,,70.24,2087.76,1667.42,2519.31,1306.56,1682.81,2050.15,2050.15,1922.51,1850.47,"Mladoboleslavská, Prague - Kbely",50.12485,14.53217,"CZK 25,000",G,Very good,Brick,1.0,,Central,Personal,1.0,Up to 10 years,,Luxurious,Interior,,,,,,,
"CZK 14,000","CZK 5,500",725340,2+kk,8/3/2022,45 m²,Partly,5,1.0,232.42,254.11,185.2,324.23,117.95,268.47,784.91,947.31,1288.52,396.11,Prague - Troja,50.12639,14.42051,"CZK 14,000",G,Very good,Prefab concrete,,1.0,,,,,,,,,,,,,,
"CZK 15,000","CZK 5,500",719984,2 bedroom,7/1/2022,70 m²,Partly,2,,55.6,1042.19,684.66,858.41,831.85,889.14,211.8,921.97,949.88,409.26,Prague - Košíře,50.06457,14.3713,"CZK 30,000",,Very good,Brick,1.0,,,Personal,,10 to 30 years,1.0,Standard,Exterior,,,,,,,
"CZK 9,800","CZK 1,300",725345,1 bedroom,7/11/2022,38 m²,Partly,6,,115.02,213.05,322.38,258.83,213.05,1655.39,468.02,685.34,1271.63,521.52,Prague - Záběhlice,50.04658,14.48867,"CZK 15,000",G,Good,Brick,,,,,,,,,,,,,,,,
"CZK 17,000","CZK 2,552",725356,2+kk,9/1/2022,60 m²,Partly,6,1.0,70.64,1023.87,0.18,233.27,167.41,410.68,194.37,681.25,522.23,790.97,Prague - Holešovice,50.10039,14.43598,"CZK 17,000",G,Good,Brick,1.0,1.0,,,,,,,,,,,,,,
"CZK 22,493","CZK 7,497",725078,Studio,9/1/2022,30 m²,Fully furnished,3,1.0,258.66,685.78,233.92,407.82,154.16,415.37,547.3,506.41,132.73,464.34,"V Háji, Prague - Holešovice",50.1013638,14.4546402,,,,,,,,,,,,,,,1.0,,,,,
"CZK 18,500","CZK 4,500",724494,2 bedroom,8/8/2022,52 m²,Fully furnished,6,1.0,157.38,898.11,582.97,939.2,587.48,920.05,564.57,401.12,806.99,126.99,Prague - Michle,50.05049,14.46551,"CZK 37,000",G,Very good,Prefab concrete,1.0,1.0,,,1.0,,1.0,,Complete,,1.0,,,,,
