Price,Fees,Listing ID,Layout,Avaliable from,Floor space,Fully furnished,Floor,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Refundable security deposit,EPC,Condition,Building type,Designe,Domácí mazlíčci vítáni,Balcony,Terrace,Garage,Ownership,Balkón 5 m²,Parking,Cellar,Balkón 4 m²,New-build,Age,Balkón 3.2 m²,Terasa 11 m²,Sklep 1 m²,Balkón 2 m²,Sklep 5 m²,Heating,Reconstruction,Balkón 12 m²,Sklep 3 m²,Sklep 2 m²,Lodžie 3 m²,Sklep 10 m²,Balkón 1 m²,Lodžie 4 m²,Balkón 50 m²,Lodžie 50 m²,Terasa 50 m²,Balkón 3 m²,Terasa 24 m²,Sklep 4 m²,Administrative fee,Terasa 12 m²,Lodžie 7 m²,Sklep 8 m²,Lodžie 8.7 m²,Sklep 2.7 m²,Terasa 10 m²,Lodžie 5 m²,Lodžie 10 m²,Terasa 9.7 m²,Sklep 6 m²,Balkón 60 m²,Terasa 60 m²,Balkón 40 m²,Balkón 6 m²,Sklep 15 m²,Balkón 18 m²,Balkón 10 m²,Terasa 2 m²,Enclosed balcony,Terasa 5 m²,Balkón 73 m²,Terasa 13 m²,Lodžie 6 m²,Terasa 17.3 m²,Terasa 6 m²,Sklep 12 m²,Terasa 28 m²,Terasa 350 m²,Balkón 8 m²,Balkón 29 m²,Terasa 30 m²,Sklep 7 m²,Terasa 27 m²,Terasa 25 m²,Terasa 300 m²,Lodžie 8 m²,Terasa 9 m²,Balkón 7 m²,Terasa 78 m²,Balkón 2.6 m²,Sklep 58 m²,Balkón 6.4 m²,Sklep 1.3 m²,Balkón 2.5 m²,Terasa 14 m²,Terasa 8 m²,Terasa 4 m²,Lodžie 12 m²,Lodžie 6.1 m²,Sklep 17 m²,Sklep 1.2 m²,Sklep 8.1 m²,Terasa 40 m²,Terasa 32 m²,Terasa 70 m²,Balkón 6.1 m²,Sklep 4.1 m²,Terasa 10.1 m²,Lodžie 3.2 m²,Lodžie 5.1 m²,Terasa 21 m²,Balkón 28 m²,Balkón 1.5 m²,Terasa 17 m²,Balkón 14 m²,Sklep 2.4 m²,Terasa 200 m²,Balkón 9 m²,Lodžie 14.6 m²,Terasa 1 m²,Terasa 37 m²,Balkón 8.73 m²,Terasa 2.67 m²,Lodžie 15 m²,Terasa 18 m²,Balkón 11 m²,Terasa 15 m²,Balkón 2.29 m²,Terasa 16.1 m²,Sklep 3.1 m²,Balkón 13 m²,Balkón 33 m²,Terasa 29 m²,Terasa 100 m²,Terasa 20 m²,Terasa 83 m²,Sklep 6.4 m²,Balkón 96 m²,Terasa 27.6 m²,Lodžie 2.7 m²,Lodžie 13 m²,Sklep 20 m²,Terasa 14.1 m²,Balkón 70 m²,Terasa 3 m²,Sklep 44 m²
"CZK 20,000","CZK 4,210",748398,3+1,11/10/2022,69 m²,Fully furnished,5,1.0,154.43,1201.2,181.82,1139.58,270.26,451.99,261.69,222.9,229.57,170.87,"Teplická, Prague - Střížkov",50.12406,14.48501,"CZK 40,000",C,Very good,Prefab concrete,Standard,,,,,,,1.0,,,,,,,,,,Distance,Complete,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 34,125","CZK 11,375",748397,Studio,11/4/2022,48 m²,Fully furnished,5,,96.44,280.97,14.82,508.63,72.69,336.4,388.51,158.74,542.27,280.28,"Korunní, Prague - Vinohrady",50.075535,14.4452886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 33,375","CZK 11,125",748396,Studio,11/4/2022,58 m²,Fully furnished,1,,96.44,280.97,14.82,508.63,72.69,336.4,388.51,158.74,542.27,280.28,"Korunní, Prague - Vinohrady",50.075535,14.4452886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 35,250","CZK 11,750",748395,Studio,11/4/2022,56 m²,Fully furnished,1,,96.44,280.97,14.82,508.63,72.69,336.4,388.51,158.74,542.27,280.28,"Korunní, Prague - Vinohrady",50.075535,14.4452886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 48,263","CZK 16,087",744437,4+1,12/1/2022,118 m²,Fully furnished,5,1.0,10.09,941.97,67.62,646.62,248.31,375.19,227.43,495.09,1021.07,415.81,"Grafická, Prague - Smíchov",50.0722637,14.3926388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 22,000","CZK 5,000",746305,2 bedroom,10/18/2022,66 m²,Partly,5,,262.7,628.25,58.99,421.72,12.88,330.45,318.9,79.21,309.5,342.61,"U Kanálky, Prague - Vinohrady",50.07829,14.44611,"CZK 22,000",G,Very good,Brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 18,000","CZK 4,000",748378,2+kk,11/1/2022,50 m²,Partly,1,,1478.51,2152.1,1779.95,2050.57,1884.71,2089.31,1389.09,1749.38,2849.26,1483.91,Prague - Uhříněves,50.04535,14.59727,"CZK 44,000",G,Very good,Brick,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 6,000",CZK 0,267662,4+kk,11/1/2022,12 m²,Unfurnished,5,1.0,194.68,297.9,377.22,407.45,170.08,445.8,403.51,526.74,463.12,139.94,"Na strži, Prague - Krč",50.0478118,14.4392978,"CZK 3,000",A,Very good,Prefab concrete,,,1.0,,,Personal,,,,,,,,,,,,Central,Bathroom unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 59,408","CZK 19,802",742058,4+1,11/8/2022,219 m²,Fully furnished,6,1.0,122.69,292.83,150.02,222.27,31.53,246.25,406.08,512.95,283.22,254.06,"Křižíkova a, Prague - Karlín",50.0928722,14.4500782,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 25,000","CZK 3,150",748369,2+kk,11/1/2022,59 m²,Partly,1,,154.99,748.24,628.44,922.72,468.26,512.57,692.48,170.67,317.34,358.26,"Fráni Šrámka, Prague - Smíchov",50.06917,14.39166,"CZK 25,000",G,Very good,Brick,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 18,000","CZK 8,000",747681,2 bedroom,1/1/2023,57 m²,Fully furnished,2,1.0,142.35,408.79,75.61,628.83,22.95,380.9,309.79,125.12,873.11,230.21,Prague - Žižkov,50.09172,14.49689,"CZK 20,000",D,Very good,Brick,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,000","CZK 4,000",494174,2+kk,12/1/2022,61 m²,Partly,2,1.0,308.79,839.48,804.3,2812.99,601.23,785.36,645.06,3713.64,682.85,604.9,"Laudonova, Prague - Štěrboholy",50.0740132,14.5514762,"CZK 38,000",B,,Brick,Standard,,,,1.0,Personal,,,,,,10 to 30 years,,,,,,Central,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 12,500","CZK 1,300",686898,Studio,10/27/2022,26 m²,Partly,1,,196.99,757.57,81.41,579.21,110.59,774.12,560.61,1094.58,113.11,257.7,"U Kublova, Prague - Podolí",50.0535,14.4193,"CZK 25,000",G,Very good,Brick,Standard,,,,,Personal,,,,,,Up to 10 years,,,,,,Other,Complete,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 18,000","CZK 3,056",590123,1 bedroom,11/1/2022,47 m²,Fully furnished,4,1.0,246.43,1479.72,314.47,1251.15,393.68,1415.72,1157.71,1364.61,485.88,103.36,"Moravcových, Prague - Vysočany",50.111861,14.515958,"CZK 36,000",B,New-build,Brick,,,,,1.0,Personal,1.0,1.0,,,1.0,Up to 10 years,,,,,,Distance,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 29,000","CZK 4,000",201868,4+kk,12/1/2022,110 m²,Partly,2,1.0,110.99,544.05,34.5,426.29,21.29,581.04,181.8,261.75,639.27,125.65,"Myslíkova, Prague - Nové Město",50.0775395,14.4146239,"CZK 58,000",,Very good,Brick,,,,,,Personal,,,,,,Over 50 years,,,,,,Central,Complete,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 26,000","CZK 6,500",747420,3+kk,11/7/2022,84 m²,Partly,1,1.0,183.21,556.24,1203.47,1115.6,614.02,652.83,944.37,1424.45,667.72,332.33,"Nepomuckých, Prague - Letňany",50.13726,14.5225,"CZK 45,000",B,New-build,Other,,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 15,000","CZK 3,500",631693,Studio,12/1/2022,38 m²,,9,1.0,316.69,362.62,235.51,2049.12,331.67,488.76,782.79,347.64,675.86,248.91,"Horolezecká, Prague - Hostivař",50.051762,14.541828,"CZK 18,000",B,New-build,Brick,Luxurious,,1.0,,1.0,Personal,,1.0,1.0,,,Up to 10 years,,,,,,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 18,000","CZK 2,000",748008,2 bedroom,11/1/2022,73 m²,Partly,4,1.0,140.58,757.48,170.18,33.19,50.03,316.83,648.07,677.94,424.61,182.55,Prague - Žižkov,50.08981,14.46508,"CZK 18,000",G,Very good,Brick,Standard,,,,,Personal,,,,,,Over 50 years,,,,,,,Complete,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 22,000","CZK 4,000",748142,3+kk,10/28/2022,61 m²,Fully furnished,5,1.0,220.26,424.62,238.13,895.29,391.27,365.16,225.83,470.43,348.28,198.17,"Hněvkovského, Prague - Chodov",50.03434,14.51915,"CZK 40,000",G,Very good,Prefab concrete,,,,,,,,1.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 25,400","CZK 4,400",565913,3+kk,7/1/2019,91 m²,Partly,5,1.0,290.46,1247.59,1124.79,2529.49,92.33,396.92,721.61,1660.1,1534.23,172.0,"V Zeleném údolí, Prague - Kunratice",50.0214074,14.4662731,"CZK 35,000",C,Very good,Brick,Luxurious,,,,1.0,Personal,1.0,1.0,,,1.0,10 to 30 years,,,,,,Distance,Complete,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 24,000","CZK 6,000",451726,3+1,2/1/2023,71 m²,Fully furnished,1,,233.06,859.6,251.44,621.8,344.04,639.57,339.14,147.09,523.3,262.16,"Na Klášterním, Prague - Břevnov",50.0834475,14.3447623,"CZK 40,000",,Very good,Prefab concrete,Luxurious,,,,,Personal,,,,,,,,,,,,Distance,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 15,000","CZK 4,500",202091,2 bedroom,11/1/2020,50 m²,Partly,9,1.0,263.19,1090.04,340.46,1013.1,248.53,823.08,794.32,492.78,226.38,122.24,"Galandova, Prague - Řepy",50.0675007,14.2985335,CZK 0,,Very good,Prefab concrete,,,,,,Personal,,,,,,,,,,,,Distance,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 36,675","CZK 12,225",742243,2+kk,11/25/2022,48 m²,Fully furnished,2,1.0,170.48,421.6,257.32,426.75,52.86,339.7,54.65,63.39,473.33,754.41,"Balbínova, Prague - Vinohrady",50.0795659,14.4357789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 46,530","CZK 15,510",746227,2 bedroom,12/17/2022,48 m²,Fully furnished,2,,158.42,248.82,154.82,246.13,112.68,264.3,390.21,408.3,154.53,114.55,"Řásnovka, Prague - Staré Město",50.0918754,14.4250902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 37,425","CZK 12,475",747459,2+kk,12/24/2022,60 m²,Fully furnished,3,1.0,170.48,421.6,257.32,426.75,52.86,339.7,54.65,63.39,473.33,754.41,"Balbínova, Prague - Vinohrady",50.0795659,14.4357789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 37,500","CZK 12,500",747210,2+kk,12/23/2022,60 m²,Fully furnished,3,1.0,239.73,541.75,45.52,270.79,35.61,285.18,465.63,625.46,639.52,581.38,"Mečislavova, Prague - Nusle",50.0633237,14.4440058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 32,250","CZK 10,750",746652,2 bedroom,12/19/2022,89 m²,Fully furnished,3,1.0,82.8,397.93,96.94,404.98,135.48,353.78,131.46,217.55,654.74,661.34,"Blanická, Prague - Vinohrady",50.0746503,14.439294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 25,028","CZK 8,342",747209,1 bedroom,12/23/2022,34 m²,Fully furnished,5,,192.54,684.55,33.13,461.2,44.3,459.54,274.15,304.32,543.36,239.67,"Bulharská, Prague - Vršovice",50.0717467,14.4598954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 13,500","CZK 3,500",748331,Studio,11/7/2022,31 m²,Fully furnished,2,1.0,342.78,726.85,790.48,1771.92,162.54,1113.67,1404.44,1181.38,1220.0,810.76,"U Nového dvora, Prague - Lhotka",50.01785,14.45167,"CZK 17,000",A,New-build,Other,Standard,,,,1.0,Personal,,1.0,,,1.0,Up to 10 years,,,,,,Central,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 28,493","CZK 9,498",742401,2+kk,12/5/2022,53 m²,Fully furnished,3,1.0,202.93,1083.69,84.41,522.08,140.61,459.37,143.09,392.14,304.14,134.72,"Drahobejlova, Prague - Libeň",50.1057951,14.4902938,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 31,755","CZK 10,585",748212,Studio,12/29/2022,40 m²,Fully furnished,2,1.0,365.89,714.56,141.36,315.52,154.06,178.65,342.86,800.84,229.17,205.89,"Šaldova, Prague - Karlín",50.0925214,14.4555801,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 27,000","CZK 9,000",748211,2 bedroom,12/29/2022,83 m²,Fully furnished,3,1.0,184.4,871.37,173.71,226.46,62.13,445.99,360.35,821.61,598.99,931.33,"Šternberkova, Prague - Holešovice",50.1013742,14.4358954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 26,250","CZK 8,750",747869,1 bedroom,12/26/2022,56 m²,Fully furnished,5,1.0,152.25,672.65,40.42,444.62,81.03,447.64,262.25,308.06,547.1,276.36,"Slovinská, Prague - Vršovice",50.0716124,14.4594622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 18,881","CZK 6,294",748329,2+kk,12/30/2022,50 m²,Fully furnished,6,1.0,215.05,448.21,164.31,116.36,107.44,158.97,232.13,218.76,1153.31,184.93,"V Hůrkách, Prague - Stodůlky",50.0496224,14.3463558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 36,300","CZK 12,100",747870,3+1,12/26/2022,96 m²,Fully furnished,5,1.0,99.53,260.16,62.64,93.65,6.85,222.0,321.74,519.59,396.11,642.83,"Londýnská, Prague - Vinohrady",50.0761895,14.4328649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 37,500","CZK 12,500",748328,2+kk,12/30/2022,60 m²,Fully furnished,2,1.0,239.73,541.75,45.52,270.79,35.61,285.18,465.63,625.46,639.52,581.38,"Mečislavova, Prague - Nusle",50.0633237,14.4440058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 41,100","CZK 13,700",748327,2+kk,12/30/2022,68 m²,Fully furnished,2,1.0,170.48,421.6,257.32,426.75,52.86,339.7,54.65,63.39,473.33,754.41,"Balbínova, Prague - Vinohrady",50.0795659,14.4357789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 25,000","CZK 6,000",748213,3+kk,10/30/2022,71 m²,Unfurnished,3,,303.86,537.11,326.81,613.09,502.67,380.61,110.93,96.37,785.36,78.19,"Hostýnská, Prague - Strašnice",50.07962,14.49377,"CZK 50,000",G,Very good,Prefab concrete,,,,,,,,,,,,,,,,,,Central,Complete,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 18,000","CZK 4,130",748325,2+kk,11/1/2022,54 m²,Fully furnished,5,1.0,83.28,1823.3,985.98,1582.16,330.25,1229.82,677.62,1290.96,1196.48,599.75,"Mezi Vodami, Prague - Modřany",50.01296,14.40134,"CZK 36,000",B,Very good,Other,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 23,978","CZK 7,992",748009,Studio,12/1/2022,30 m²,Fully furnished,3,1.0,99.26,361.63,490.78,556.87,427.65,345.52,452.0,519.02,404.9,293.38,"Olšanská, Prague - Žižkov",50.0830187,14.4654473,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 20,500","CZK 6,000",699962,3+kk,12/1/2022,65 m²,Partly,1,1.0,195.22,670.67,214.34,409.13,207.67,595.83,178.37,288.11,229.42,248.55,"Moldavská, Prague - Vršovice",50.06991,14.46204,"CZK 26,500",G,Good,Brick,Standard,,,,,Personal,,,,,,,,,,,,Central,Complete,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 14,000","CZK 4,000",577138,Studio,11/1/2022,36 m²,Fully furnished,3,1.0,161.07,336.22,407.65,1176.56,269.98,1011.5,692.03,732.94,973.64,351.66,Prague - Hlubočepy,50.0314873,14.3630764,"CZK 36,000",,New-build,Brick,Standard,,,,,Personal,1.0,,,,1.0,Up to 10 years,,,,,,Distance,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 21,500","CZK 3,700",748300,2+kk,10/30/2022,47 m²,Fully furnished,3,,266.56,1145.89,581.03,818.22,269.04,568.37,236.91,247.04,391.04,456.99,"Prusická, Prague - Strašnice",50.06357,14.50812,"CZK 40,000",C,Very good,Brick,,,,,,Personal,,,,,,Up to 10 years,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 29,900",CZK 740,238692,4+kk,7/22/2022,146 m²,Partly,3,,109.74,980.99,386.17,954.65,148.18,1005.58,631.08,500.51,373.2,376.53,"Hornoměcholupská, Prague - Hostivař",50.0521645,14.5301399,"CZK 59,800",C,Good,Brick,Standard,,,,,Personal,,,1.0,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 9,000","CZK 5,000",740394,Small studio,10/1/2022,25 m²,Partly,3,,422.68,799.39,296.43,615.61,482.52,539.81,509.78,623.31,378.97,435.56,Prague - Košíře,50.06671,14.369,"CZK 14,000",D,Very good,Brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 18,900","CZK 4,500",671617,2+kk,12/1/2022,58 m²,Fully furnished,2,1.0,350.89,606.72,133.43,393.65,125.81,381.24,320.87,364.42,701.62,106.61,"Baranova, Prague - Žižkov",50.08027,14.45722,"CZK 18,900",G,Good,Brick,Standard,,,,,Personal,,,,,,,,,,,,Gas boiler,Interior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
