Price,Fees,Listing ID,Layout,Avaliable from,Floor space,Fully furnished,Floor,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Refundable security deposit,EPC,Condition,Building type,Terrace,Cellar,Balcony,New-build,Parking,Ownership,Heating,Designe,Garage,Age,Reconstruction,"You will rent this apartment for approximately CZK 18,038 CZK","You will rent this apartment for approximately CZK 20,978 CZK","You will rent this apartment for approximately CZK 13,021 CZK","You will rent this apartment for approximately CZK 14,785 CZK","You will rent this apartment for approximately CZK 15,067 CZK","You will rent this apartment for approximately CZK 19,842 CZK","You will rent this apartment for approximately CZK 16,685 CZK","You will rent this apartment for approximately CZK 26,628 CZK","You will rent this apartment for approximately CZK 15,484 CZK",Enclosed balcony,"You will rent this apartment for approximately CZK 13,555 CZK","You will rent this apartment for approximately CZK 11,653 CZK","You will rent this apartment for approximately CZK 14,502 CZK","You will rent this apartment for approximately CZK 16,168 CZK","You will rent this apartment for approximately CZK 19,295 CZK",Administrative fee,"You will rent this apartment for approximately CZK 19,219 CZK",Domácí mazlíčci vítáni,"You will rent this apartment for approximately CZK 22,478 CZK","You will rent this apartment for approximately CZK 11,958 CZK","You will rent this apartment for approximately CZK 16,710 CZK","You will rent this apartment for approximately CZK 14,973 CZK","You will rent this apartment for approximately CZK 10,802 CZK","You will rent this apartment for approximately CZK 13,881 CZK","You will rent this apartment for approximately CZK 17,882 CZK","You will rent this apartment for approximately CZK 16,430 CZK","You will rent this apartment for approximately CZK 16,433 CZK","You will rent this apartment for approximately CZK 13,310 CZK","You will rent this apartment for approximately CZK 16,917 CZK","You will rent this apartment for approximately CZK 18,373 CZK","You will rent this apartment for approximately CZK 12,389 CZK","You will rent this apartment for approximately CZK 12,342 CZK","You will rent this apartment for approximately CZK 18,271 CZK","You will rent this apartment for approximately CZK 25,924 CZK","You will rent this apartment for approximately CZK 15,979 CZK","You will rent this apartment for approximately CZK 10,688 CZK","You will rent this apartment for approximately CZK 20,472 CZK","You will rent this apartment for approximately CZK 14,704 CZK","You will rent this apartment for approximately CZK 14,436 CZK","You will rent this apartment for approximately CZK 13,970 CZK","You will rent this apartment for approximately CZK 20,023 CZK","You will rent this apartment for approximately CZK 14,724 CZK","You will rent this apartment for approximately CZK 18,643 CZK","You will rent this apartment for approximately CZK 19,743 CZK","You will rent this apartment for approximately CZK 11,793 CZK","You will rent this apartment for approximately CZK 14,967 CZK","You will rent this apartment for approximately CZK 21,299 CZK","You will rent this apartment for approximately CZK 10,879 CZK","You will rent this apartment for approximately CZK 15,662 CZK","You will rent this apartment for approximately CZK 15,864 CZK","You will rent this apartment for approximately CZK 10,343 CZK","You will rent this apartment for approximately CZK 23,918 CZK","You will rent this apartment for approximately CZK 20,140 CZK","You will rent this apartment for approximately CZK 16,221 CZK","You will rent this apartment for approximately CZK 13,251 CZK","You will rent this apartment for approximately CZK 17,653 CZK","You will rent this apartment for approximately CZK 21,704 CZK","You will rent this apartment for approximately CZK 16,003 CZK","You will rent this apartment for approximately CZK 16,196 CZK","You will rent this apartment for approximately CZK 17,219 CZK","You will rent this apartment for approximately CZK 11,412 CZK","You will rent this apartment for approximately CZK 15,137 CZK",Plot type,"You will rent this apartment for approximately CZK 15,092 CZK","You will rent this apartment for approximately CZK 12,236 CZK","You will rent this apartment for approximately CZK 15,029 CZK","You will rent this apartment for approximately CZK 15,119 CZK","You will rent this apartment for approximately CZK 13,665 CZK","You will rent this apartment for approximately CZK 26,625 CZK"
"CZK 60,000","CZK 20,000",717693,2+kk,8/20/2022,,Fully furnished,3,,177.2,646.63,182.16,39.81,37.58,122.34,27.5,101.85,349.84,194.18,"Ječná, Prague - Nové Město",50.0757302,14.4269087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 17,625","CZK 5,875",728424,2+kk,10/2/2022,45 m²,Fully furnished,10,1.0,256.77,316.9,138.95,255.27,129.78,146.97,532.26,445.84,886.9,24.33,"Jablonecká, Prague - Střížkov",50.1245336,14.4947443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 39,000","CZK 13,000",728062,2 bedroom,9/30/2022,92 m²,Fully furnished,7,1.0,73.01,281.28,58.33,478.54,20.37,379.07,102.37,138.49,668.56,481.36,"Francouzská, Prague - Vinohrady",50.0739894,14.440101,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 51,656","CZK 17,219",728895,2 bedroom,10/6/2022,60 m²,Fully furnished,4,1.0,110.1,392.87,177.02,129.22,79.72,168.29,299.92,497.22,273.67,349.66,"Dlážděná, Prague - Nové Město",50.0865843,14.4323212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 60,000","CZK 20,000",729182,2+kk,10/8/2022,67 m²,Fully furnished,2,,81.58,261.82,179.91,165.34,96.05,235.81,210.32,24.34,339.34,418.58,"Zlatnická, Prague - Nové Město",50.0905181,14.4322974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 34,500","CZK 11,500",729181,2+kk,9/1/2022,55 m²,Fully furnished,2,1.0,101.2,551.63,76.94,167.66,45.43,94.55,322.6,504.78,539.56,607.69,"Rumunská, Prague - Vinohrady",50.0739629,14.4309041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 37,620","CZK 12,540",728258,2 bedroom,10/1/2022,54 m²,Fully furnished,7,1.0,379.66,564.73,5.21,191.31,38.84,242.1,65.9,705.75,343.76,422.75,"Michalská, Prague - Staré Město",50.0846396,14.4202484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 38,475","CZK 12,825",728979,2+kk,9/5/2022,78 m²,Fully furnished,6,1.0,174.08,259.01,108.15,453.56,89.86,306.35,138.1,230.02,834.66,678.5,"Varšavská, Prague - Vinohrady",50.0734867,14.4381655,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 23,624","CZK 7,875",728891,3+kk,9/10/2022,63 m²,Fully furnished,5,,205.2,814.61,229.97,533.27,206.46,282.56,446.62,227.35,110.18,111.62,"U školičky, Prague - Libeň",50.1085928,14.4915135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 63,750","CZK 21,250",729471,3+1,10/10/2022,120 m²,Fully furnished,3,1.0,73.01,281.28,58.33,478.54,20.37,379.07,102.37,138.49,668.56,481.36,"Francouzská, Prague - Vinohrady",50.0739894,14.440101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 45,600","CZK 15,200",726059,2+kk,8/30/2022,67 m²,Fully furnished,4,1.0,110.1,392.87,177.02,129.22,79.72,168.29,299.92,497.22,273.67,349.66,"Dlážděná, Prague - Nové Město",50.0865843,14.4323212,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 29,925","CZK 9,975",723520,1 bedroom,8/28/2022,30 m²,Fully furnished,3,1.0,22.29,481.37,107.82,95.32,6.34,158.39,351.4,425.94,380.79,468.94,"Legerova, Prague - Vinohrady",50.0749602,14.4305105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 37,500","CZK 12,500",720700,2+kk,9/12/2022,60 m²,Fully furnished,2,1.0,241.61,542.2,98.71,270.79,176.01,313.55,455.64,821.55,633.96,593.3,"Mečislavova, Prague - Nusle",50.0633237,14.4440058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 12,000","CZK 3,500",728811,Studio,8/5/2022,35 m²,Fully furnished,4,1.0,526.76,1019.91,431.15,1156.37,479.61,952.31,597.42,464.21,605.37,264.73,Prague - Háje,50.0379,14.52104,"CZK 15,500",B,Very good,Low-energy,,1.0,,,1.0,Personal,,,,Up to 10 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 32,000","CZK 3,600",729463,3+1,8/10/2022,82 m²,Partly,1,1.0,130.19,731.82,192.86,278.58,122.02,432.24,524.15,519.11,464.56,303.79,Prague - Žižkov,50.08774,14.46488,"CZK 64,000",E,Very good,Brick,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 18,500","CZK 3,500",568046,2+kk,8/1/2019,50 m²,Partly,2,,115.31,41.79,81.3,214.82,175.84,170.31,293.77,664.87,602.76,201.56,"Vodárenská, Prague - Podolí",50.0585362,14.4205989,"CZK 50,000",,,Brick,,,,,,Personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 14,000","CZK 1,500",729462,1 bedroom,9/1/2022,55 m²,Partly,3,,309.95,875.58,129.91,388.71,138.04,921.33,432.31,406.9,820.23,143.03,Prague - Nusle,50.05754,14.44587,"CZK 20,000",G,Very good,Brick,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 22,950","CZK 6,050",729461,3+kk,8/10/2022,64 m²,Fully furnished,7,1.0,118.26,104.46,115.27,117.85,301.03,138.11,396.16,317.59,242.47,232.25,Prague - Hloubětín,50.10496,14.53836,"CZK 29,000",G,Very good,Brick,,1.0,,,1.0,,,,,,Complete,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 16,500","CZK 5,500",300762,2+kk,7/27/2022,50 m²,Fully furnished,2,,114.15,887.83,107.96,2021.89,149.44,841.67,553.62,1091.14,902.1,416.97,"Pelušková, Prague - Kyje",50.1091281,14.5583137,"CZK 16,500",E,Very good,Brick,,1.0,1.0,,,Personal,,Standard,,10 to 30 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 17,500","CZK 2,500",404507,2+kk,8/15/2022,44 m²,Unfurnished,3,1.0,314.12,465.35,344.55,234.05,291.91,454.65,173.32,780.57,389.91,135.89,Prague - Podolí,50.0561286,14.4214707,"CZK 25,000",,Very good,Brick,,1.0,1.0,,1.0,Personal,Central,Standard,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
"CZK 29,520","CZK 9,840",717600,2+kk,8/15/2022,39 m²,Fully furnished,3,,416.82,407.31,197.18,385.84,61.6,672.56,443.17,554.95,732.4,173.97,"Na Kampě, Prague - Malá Strana",50.0861053,14.4085409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 47,340","CZK 15,780",717682,2+kk,8/15/2022,69 m²,Fully furnished,6,1.0,104.56,349.59,143.75,145.93,108.83,150.53,431.56,393.96,289.53,329.01,"Na Maninách, Prague - Holešovice",50.1025661,14.4522431,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 16,500","CZK 5,000",729454,2+kk,9/1/2022,55 m²,Partly,4,1.0,206.86,1604.74,289.04,1804.17,355.55,344.62,932.5,452.92,1148.56,161.66,Prague - Hostivař,50.04351,14.51444,"CZK 20,000",,New-build,Other,,1.0,1.0,,,,Central,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 14,500","CZK 3,500",509706,2+kk,9/1/2022,44 m²,Partly,5,1.0,232.66,691.04,252.66,1520.0,426.73,381.53,707.27,420.94,767.02,179.28,Prague - Kamýk,50.0156196,14.4454164,"CZK 29,000",D,,Prefab concrete,,,,,,Personal,Central,,,,Exterior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 22,000","CZK 3,700",729445,Studio,9/15/2022,63 m²,Partly,4,,143.01,2079.51,127.7,1993.68,175.32,2028.08,655.97,417.65,333.48,202.09,Prague - Hlubočepy,50.04139,14.39244,"CZK 22,000",G,Very good,Brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 15,000","CZK 7,500",729427,2+kk,9/1/2022,54 m²,Fully furnished,,,25.96,374.17,20.45,2174.28,72.28,647.45,261.01,485.72,1325.26,370.94,Prague - Braník,50.03968,14.41073,"CZK 30,000",G,Very good,Brick,,,,,,Personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 13,000","CZK 3,500",729413,Studio,8/10/2022,34 m²,Fully furnished,1,,317.5,991.78,1084.62,1424.17,1066.47,1450.5,583.91,1402.22,1034.28,929.42,Prague - Radotín,49.99108,14.35213,"CZK 26,000",G,Very good,Brick,,,,,1.0,,Other,Luxurious,,Up to 10 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 33,750","CZK 11,250",726019,2+kk,8/16/2022,75 m²,Fully furnished,6,1.0,163.79,319.88,110.55,226.38,103.86,407.78,227.16,243.22,785.75,360.1,"Na Zbořenci, Prague - Nové Město",50.0769346,14.4169603,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 18,500","CZK 3,000",729446,4+1,10/1/2022,93 m²,Fully furnished,5,1.0,303.36,340.83,118.42,526.47,136.61,247.56,240.93,389.66,678.65,200.22,Prague - Holešovice,50.10138,14.44501,"CZK 21,000",G,Very good,Brick,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 8,000","CZK 2,500",729444,3+1,8/10/2022,63 m²,Fully furnished,5,1.0,104.67,745.53,173.45,868.68,402.1,153.89,477.35,366.26,945.52,155.81,Prague - Chodov,50.02711,14.52102,"CZK 31,500",G,Very good,Prefab concrete,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 41,625","CZK 13,875",720848,4+kk,10/2/2022,112 m²,Fully furnished,4,1.0,168.35,737.87,30.76,217.13,7.9,216.51,106.1,336.15,114.49,565.37,"Ostrovní, Prague - Nové Město",50.0806286,14.4175374,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 26,363","CZK 8,787",729443,1 bedroom,9/1/2022,46 m²,Fully furnished,2,,450.08,851.94,613.97,1216.3,634.57,923.06,534.48,156.81,999.06,301.07,"U Pernikářky, Prague - Smíchov",50.0745289,14.3827184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 20,729","CZK 6,910",727823,2 bedroom,9/10/2022,47 m²,Fully furnished,2,1.0,156.38,1229.0,162.03,220.23,25.89,81.62,279.46,502.09,319.11,381.66,"Viklefova, Prague - Žižkov",50.0907344,14.4740295,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 32,000","CZK 5,000",552412,3+kk,6/1/2022,80 m²,Unfurnished,1,1.0,118.18,1172.49,550.27,1154.04,822.92,1099.33,1102.6,1134.14,1024.25,363.37,"Saarinenova, Prague - Hloubětín",50.10777,14.52681,"CZK 32,000",A,New-build,Brick,1.0,1.0,,1.0,1.0,Personal,Distance,Luxurious,1.0,Up to 10 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 20,800","CZK 5,200",729439,4+1,8/10/2022,76 m²,Fully furnished,,,211.27,263.88,246.34,260.83,250.56,1450.32,152.84,325.0,1084.56,327.63,Prague - Záběhlice,50.04753,14.48528,"CZK 40,000",G,Good,Brick,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 14,500","CZK 3,000",729438,1 bedroom,8/17/2022,48 m²,Unfurnished,5,,434.9,655.87,466.9,607.76,169.97,682.28,547.75,382.87,338.16,559.67,Prague - Libeň,50.09945,14.4709,"CZK 20,000",G,Very good,Brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 13,800","CZK 2,980",729431,Studio,9/30/2022,46 m²,Fully furnished,3,1.0,704.85,817.97,596.7,877.75,624.34,856.57,654.27,604.3,753.2,903.88,Prague - Vinohrady,50.06918,14.43767,"CZK 20,000",C,New-build,Brick,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 10,500","CZK 2,500",729432,1 bedroom,8/10/2022,31 m²,Partly,2,,201.93,722.9,107.15,655.7,326.23,503.61,120.12,1079.9,478.73,108.23,Prague - Holešovice,50.10958,14.44779,"CZK 20,000",G,Very good,Brick,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 31,752","CZK 10,584",726633,2 bedroom,9/2/2022,57 m²,Fully furnished,7,1.0,7.74,76.74,105.28,213.89,45.41,117.47,178.45,327.18,381.26,239.99,"Dělnická, Prague - Holešovice",50.1031132,14.4472134,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 17,250","CZK 5,750",727831,3+kk,9/16/2022,90 m²,Fully furnished,2,1.0,82.8,397.93,96.94,404.98,135.48,353.78,131.46,217.55,654.74,661.34,"Blanická, Prague - Vinohrady",50.0746503,14.439294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 12,000","CZK 2,950",729371,1 bedroom,8/10/2022,47 m²,Partly,5,1.0,130.79,263.27,264.44,291.93,331.26,284.1,242.5,421.78,447.15,239.98,Prague - Stodůlky,50.04378,14.32841,"CZK 24,000",G,Good,Prefab concrete,,1.0,,,,Other,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 22,500","CZK 4,000",728770,3+kk,11/1/2022,61 m²,Fully furnished,4,1.0,414.0,826.24,265.09,764.61,549.7,474.75,212.05,211.22,373.3,256.14,Prague - Prosek,50.122,14.48876,"CZK 50,000",D,Very good,Prefab concrete,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 18,294","CZK 6,098",728933,1 bedroom,10/1/2022,32 m²,Fully furnished,5,1.0,274.47,379.57,163.75,556.36,117.69,149.94,133.8,173.39,655.41,271.57,"Peckova, Prague - Karlín",50.090627491525,14.447318674205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 28,688","CZK 9,562",728478,2 bedroom,9/5/2022,79 m²,Fully furnished,1,,363.56,762.88,104.37,363.83,77.2,226.97,253.87,849.15,277.49,306.14,"Březinova, Prague - Karlín",50.0930235,14.4565572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 12,000","CZK 3,500",718769,Studio,8/17/2022,30 m²,Partly,2,1.0,366.09,758.59,976.8,2944.9,792.9,647.31,2294.17,653.48,800.36,631.82,"Statková, Prague - Ďáblice",50.147561853302,14.473911477047,"CZK 15,000",B,New-build,Brick,,1.0,1.0,1.0,1.0,Personal,,,,Up to 10 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 14,200","CZK 3,800",638486,2+kk,11/12/2020,46 m²,Partly,5,1.0,306.75,623.82,97.76,347.36,108.73,363.67,337.77,449.29,436.64,155.98,"U Libeňského pivovaru, Prague - Libeň",50.1070664,14.4751144,"CZK 18,000",G,Very good,Brick,,1.0,,,,Personal,Gas boiler,,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
"CZK 14,000","CZK 2,500",612251,Studio,9/1/2022,25 m²,,1,,211.15,237.15,355.34,868.62,194.77,283.9,145.14,177.97,611.03,466.53,"Omská, Prague - Vršovice",50.072914,14.478114,"CZK 25,000",B,New-build,Brick,,,,,,Personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
"CZK 19,500","CZK 2,000",728746,2+kk,8/5/2022,56 m²,Partly,4,,199.87,349.72,33.78,144.5,44.1,157.86,563.28,571.99,420.91,328.39,Prague - Karlín,50.09372,14.44921,"CZK 30,000",G,Very good,Brick,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 17,000","CZK 4,000",729401,1 bedroom,8/20/2022,50 m²,Fully furnished,4,,106.52,290.12,235.44,650.23,250.41,747.03,479.29,465.91,207.56,184.0,Prague - Záběhlice,50.05658,14.50479,"CZK 34,000",G,Very good,Brick,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 15,600","CZK 6,000",725554,1 bedroom,9/1/2022,48 m²,Partly,3,,258.52,1108.82,118.2,1379.05,50.28,399.01,389.44,242.86,498.83,449.69,Prague - Libeň,50.11631,14.47128,"CZK 22,000",,Very good,Brick,,,1.0,,,Personal,Electric boiler,Standard,,,Bathroom unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 15,000","CZK 5,994",729369,3+1,9/1/2022,70 m²,Unfurnished,4,1.0,462.56,866.01,398.19,800.85,492.89,813.21,405.56,226.89,3226.18,203.85,Prague - Troja,50.12712,14.40769,"CZK 10,000",G,Very good,Prefab concrete,,1.0,1.0,,1.0,Other,Central,,,,Bathroom unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 18,900","CZK 5,400",481187,3+1,6/28/2022,70 m²,Partly,3,1.0,76.93,257.89,345.98,1178.12,200.24,544.99,283.38,110.64,707.91,152.52,"Valentova, Prague - Chodov",50.0323705,14.5050402,"CZK 19,000",,,Prefab concrete,,1.0,,,1.0,Personal,,,,,Interior,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 15,067","CZK 5,000",729377,2 bedroom,8/20/2022,55 m²,Fully furnished,1,,130.65,120.64,226.65,300.62,244.26,210.08,307.33,661.31,211.66,508.06,Prague - Břevnov,50.08472,14.36321,"CZK 30,000",G,Good,Brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 18,000","CZK 4,078",729375,2+kk,8/10/2022,53 m²,Partly,1,,91.56,580.59,32.93,585.62,4.62,464.01,508.55,544.72,531.74,284.1,Prague - Michle,50.05046,14.45888,"CZK 36,000",C,Very good,Brick,,1.0,1.0,,,,,Standard,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 19,950","CZK 6,650",729368,Studio,8/15/2022,32 m²,Fully furnished,1,,447.58,805.32,396.64,450.11,197.32,945.56,256.47,627.41,458.07,336.59,"Nad Kolčavkou A, Prague - Libeň",50.1080609,14.4828384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 15,000","CZK 3,600",488212,Other,10/1/2022,50 m²,Fully furnished,1,,70.79,525.09,35.11,155.92,83.28,67.83,136.08,296.99,57.09,406.71,Prague - Holešovice,50.0992805,14.4298792,"CZK 15,000",B,,Brick,,1.0,,,,Personal,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CZK 16,000","CZK 5,000",729359,2 bedroom,8/24/2022,56 m²,Fully furnished,3,,167.41,1047.78,104.76,345.97,70.48,160.84,111.51,523.79,247.62,232.49,Prague - Vyšehrad,50.06732,14.41801,"CZK 30,000",G,Good,Brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
