Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Floor,EPC,Floor space,Fully furnished,Condition,Building type,Balcony,Cellar,Lift,New-build,Parking,Garage,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Age,Ownership,Designe,Reconstruction,Terrace,Heating,Enclosed balcony,Administrative fee,Plot type,Plot space,"You will rent this apartment for approximately CZK 26,625 CZK"
"CZK 17,800","CZK 2,800","CZK 22,000",622342,2+kk,9/1/2022,1,B,49 m²,,Very good,Brick,1.0,,,,,,221.69,310.92,154.97,323.61,160.75,178.87,409.62,660.6,146.18,337.47,"Osadní, Prague - Holešovice",50.106094,14.446594,,Personal,,,,,,,,,
"CZK 12,000","CZK 2,500","CZK 29,000",111504,Studio,7/1/2022,1,,26 m²,Fully furnished,Very good,Brick,,,,,1.0,,240.97,846.78,236.22,403.09,99.86,402.2,312.86,405.03,416.48,251.58,"Rybalkova, Prague - Vršovice",50.0700662,14.4478064,Up to 10 years,Personal,Standard,Complete,,Central,,,,,
"CZK 22,000","CZK 6,000","CZK 30,000",60964,4+kk,7/1/2022,2,B,92 m²,Partly,Very good,Brick,,,,,1.0,,321.19,1066.64,359.29,967.68,553.67,693.89,731.92,362.54,227.13,418.41,"Nad kapličkou , Prague - Strašnice",50.0849864223,14.4896364212,,Personal,,,1.0,Central,1.0,,,,
"CZK 16,490",CZK 0,"CZK 16,490",724286,3+kk,8/1/2022,1,G,63 m²,Partly,Very good,Brick,,,,,,,371.33,379.58,241.53,312.02,381.19,461.46,257.12,338.52,402.14,329.82,Prague - Nusle,50.0636,14.4359,,,,,,,,,,,
"CZK 41,625","CZK 13,875",,720848,4+kk,8/1/2022,4,,112 m²,Fully furnished,,,1.0,,1.0,,,,168.35,737.87,30.76,217.13,7.9,216.51,106.1,336.15,114.49,565.37,"Ostrovní, Prague - Nové Město",50.0806286,14.4175374,,,,,1.0,,,,,,
"CZK 41,850","CZK 13,950",,717609,2+kk,7/8/2022,2,,45 m²,Fully furnished,,,,,1.0,,,,110.1,273.82,156.66,129.22,76.56,142.67,300.13,496.4,282.11,367.31,"Dlážděná, Prague - Nové Město",50.0865843,14.4323212,,,,,,,,,,,
"CZK 11,000",CZK 700,"CZK 11,000",352115,1 bedroom,8/1/2022,6,,33 m²,Partly,,Brick,1.0,,,,,,139.9,769.51,14.78,107.65,118.88,135.65,438.39,466.64,412.09,224.57,"Zelenky-Hajského, Prague - Žižkov",50.0891208,14.467002,,Cooperative,,,,,,,,,
"CZK 21,900","CZK 4,500","CZK 52,000",387768,2 bedroom,7/1/2022,5,,64 m²,Partly,,Brick,,,1.0,,,,224.07,495.37,262.51,429.38,146.72,229.44,300.68,300.68,552.1,807.07,"Španělská, Prague - Vinohrady",50.0797241,14.4347705,,Personal,,Interior,,,,,,,
"CZK 34,500","CZK 11,500",,721077,2+kk,8/3/2022,6,,45 m²,Fully furnished,,,,,1.0,,,,149.44,274.13,59.7,440.76,20.27,421.03,58.77,552.06,690.27,456.83,"Francouzská, Prague - Vinohrady",50.0739894,14.440101,,,,,,,,,,,
"CZK 37,500","CZK 12,500",,719138,2+kk,7/17/2022,4,,60 m²,Fully furnished,,,,,1.0,,,,241.61,542.2,98.71,270.79,176.01,313.55,455.64,821.55,633.96,593.3,"Mečislavova, Prague - Nusle",50.0633237,14.4440058,,,,,,,,,,,
"CZK 21,000","CZK 7,000",,717697,Studio,7/15/2022,12,,25 m²,Fully furnished,,,,,1.0,,,,189.82,256.26,203.59,195.12,172.26,262.02,433.07,416.1,435.58,299.38,"Freyova, Prague - Vysočany",50.108944,14.501028,,,,,,,,,,,
"CZK 6,000","CZK 3,000","CZK 9,000",661029,Small studio,5/3/2021,3,D,20 m²,Fully furnished,Very good,Other,,,1.0,,,,137.0,232.53,164.22,167.0,281.89,551.5,244.56,363.41,312.88,352.34,"Vladivostocká, Prague - Vršovice",50.068585,14.4713735,,,Standard,,,Distance,,,,,
"CZK 16,000","CZK 3,900","CZK 30,000",633986,2+kk,7/1/2022,3,G,43 m²,Fully furnished,Very good,Brick,,,1.0,,,,248.73,517.92,177.98,409.83,52.97,388.62,89.35,255.17,74.96,226.55,"Šrobárova, Prague - Vinohrady",50.076081,14.468274,,Cooperative,,Complete,,,,,,,
"CZK 28,000","CZK 6,000","CZK 28,000",723716,5+kk,8/1/2022,3,G,91 m²,Partly,Good,Prefab concrete,1.0,,,,1.0,,129.54,648.79,352.88,745.82,235.17,809.06,356.07,206.09,457.89,99.15,Prague - Horní Měcholupy,50.0465,14.55732,Up to 10 years,Personal,Standard,Complete,,Central,,,,,
"CZK 17,500","CZK 6,000","CZK 23,500",723652,2+kk,7/1/2022,2,B,58 m²,Partly,New-build,Brick,1.0,1.0,1.0,1.0,1.0,1.0,262.65,484.16,230.56,802.92,722.65,428.82,704.38,573.08,1007.93,286.91,Prague - Stodůlky,50.04304,14.31343,Up to 10 years,,,,,Central,,,,,
"CZK 29,990",CZK 0,"CZK 60,000",722477,2+kk,7/1/2022,3,G,88 m²,Fully furnished,Very good,Brick,,1.0,,,,,55.18,233.26,29.65,96.24,7.41,183.92,185.53,258.44,151.78,202.27,Prague - Staré Město,50.09075,14.42626,Over 50 years,Personal,,Complete,,,,,,,
"CZK 15,000","CZK 5,000","CZK 30,000",724322,3+1,7/11/2022,4,G,70 m²,Partly,Good,Brick,1.0,,,,,,256.66,453.58,479.75,588.16,273.23,457.92,664.75,331.05,388.95,210.56,Prague - Žižkov,50.0897,14.49225,,,Standard,,,Central,,,,,
"CZK 20,000","CZK 1,500","CZK 40,000",724319,2 bedroom,7/11/2022,4,E,48 m²,Partly,New-build,Brick,,,1.0,1.0,,,206.91,894.37,156.72,301.81,90.51,329.97,387.7,874.58,519.76,984.3,Prague - Holešovice,50.1019,14.43618,,Personal,,,,,,,,,
"CZK 23,000","CZK 2,500","CZK 46,000",547738,3+1,8/1/2022,2,,70 m²,Partly,Very good,Brick,1.0,1.0,1.0,,,,25.28,770.44,30.0,387.35,26.57,392.89,409.51,282.6,288.16,255.73,"Koněvova, Prague - Žižkov",50.092202984839,14.481226167242,,Personal,,Complete,,Central,,,,,
"CZK 13,000","CZK 3,500","CZK 26,000",719674,2+kk,7/1/2022,1,G,46 m²,Partly,Very good,Brick,,,1.0,,,,232.42,254.11,185.2,324.23,117.95,268.47,784.91,947.31,1288.52,396.11,"Hnězdenská, Prague - Troja",50.12639,14.42051,10 to 30 years,Personal,Standard,Bathroom unit,,Central,,,,,
"CZK 13,000","CZK 4,500",CZK 0,324151,2+kk,7/1/2022,1,,60 m²,Partly,Good,Brick,,1.0,,,,,131.1,442.06,136.66,411.8,159.98,412.87,371.47,538.97,433.97,83.85,"Žerotínova, Prague - Žižkov",50.087643,14.4615366,,Personal,Standard,Complete,,,,,,,
"CZK 29,000","CZK 3,000","CZK 29,000",723967,2+kk,7/1/2022,3,G,66 m²,Unfurnished,Very good,Brick,,,1.0,,,,94.6,179.51,50.1,180.57,11.07,205.85,33.73,51.82,190.79,175.81,Prague - Staré Město,50.08966,14.42489,,Personal,Luxurious,Complete,,Central,,,,,
"CZK 10,000","CZK 3,000","CZK 13,000",596098,Studio,7/1/2022,3,C,35 m²,Fully furnished,New-build,Brick,1.0,,1.0,,1.0,1.0,418.38,830.61,512.86,1112.04,286.16,790.34,525.11,680.95,612.52,62.53,"Karla Kryla, Prague - Stodůlky",50.036197,14.3309,Up to 10 years,Personal,Standard,,,,,,,,
"CZK 16,000","CZK 3,000","CZK 25,000",723980,2+kk,7/15/2022,7,C,43 m²,Fully furnished,Very good,Prefab concrete,,1.0,1.0,,,,168.59,428.29,108.17,456.95,333.58,449.12,114.22,408.21,717.75,58.73,Prague - Stodůlky,50.044,14.33541,,Personal,,Complete,,Central,,,,,
"CZK 19,000","CZK 5,000","CZK 19,000",717539,2+kk,8/1/2022,2,G,45 m²,Partly,Very good,Brick,1.0,,,,,,58.28,683.74,198.16,113.88,94.43,171.04,326.04,219.87,359.77,392.98,"Jičínská, Prague - Žižkov",50.0817642,14.4593369,,Personal,,,,,,,,,
"CZK 18,490","CZK 3,000","CZK 21,490",724297,2+kk,7/4/2022,2,B,55 m²,Unfurnished,New-build,Brick,1.0,1.0,1.0,1.0,,,535.47,1173.85,367.14,2320.45,365.19,2017.1,796.02,1321.0,1875.6,74.55,"U Traktorky, Prague - Dolní Chabry",50.14025527777,14.4461775,,Personal,,,,,,"CZK 21,490",,,
"CZK 27,000","CZK 7,500","CZK 27,000",682305,3+1,8/1/2022,1,G,70 m²,Partly,Very good,Brick,,,1.0,,,,160.83,760.81,114.54,503.84,60.83,7.1,68.23,347.03,349.91,272.92,"Bělohorská, Prague - Břevnov",50.08447,14.37427,,Personal,Standard,Interior,,Central,,,,,
"CZK 16,482","CZK 3,200","CZK 21,082",722977,2 bedroom,6/2/2022,1,,42 m²,,Good,Other,,,,,,,281.26,662.35,291.29,585.76,345.01,350.55,436.24,430.34,851.48,128.61,"Pod Rapidem, Prague - Vinohrady",50.0742759,14.4841423,,Personal,,,,,,"CZK 2,435",,,
"CZK 26,000","CZK 4,000","CZK 26,000",724269,4+kk,6/30/2022,2,G,120 m²,Partly,Very good,Brick,,,,,,,152.79,844.08,128.63,473.17,374.92,922.92,1006.59,832.55,845.52,76.02,Prague - Suchdol,50.13461,14.372,,,,,,,,,,,
"CZK 24,990","CZK 3,750","CZK 25,000",524951,3+kk,9/1/2022,2,,86 m²,Unfurnished,,Brick,,1.0,1.0,,,,51.35,155.71,43.29,357.14,21.38,54.78,367.59,376.3,535.3,134.38,Prague - Karlín,50.093109859373,14.446467183666,,Cooperative,,,,,,,,,
"CZK 18,000","CZK 2,500","CZK 40,000",721706,Studio,7/13/2022,3,B,32 m²,Fully furnished,New-build,Brick,,1.0,1.0,1.0,,,184.77,491.18,211.44,600.21,185.71,463.81,909.61,880.1,1116.52,293.82,Prague - Uhříněves,50.02854,14.59565,Up to 10 years,Personal,Luxurious,,,Electric boiler,1.0,,,,
"CZK 15,900","CZK 5,000","CZK 24,000",694609,2+kk,7/1/2022,2,G,41 m²,Fully furnished,Very good,Brick,,,,,,,196.44,320.18,160.43,551.82,59.49,401.75,153.63,130.48,783.16,595.97,"Záhřebská, Prague - Vinohrady",50.07257,14.43893,,Personal,Standard,Complete,,,,,,,
"CZK 9,000","CZK 4,000","CZK 9,000",724267,Studio,7/8/2022,-1,G,30 m²,Partly,Good,Brick,,,,,,,355.81,1697.25,460.45,1152.64,458.05,445.4,182.91,315.25,215.54,165.6,Prague - Dejvice,50.10441,14.37787,,,,,,,,,,,
"CZK 20,000","CZK 2,000","CZK 20,000",257946,2+kk,6/29/2022,3,C,42 m²,Fully furnished,Very good,Brick,,,,,1.0,,91.53,437.84,79.6,137.33,1.11,181.86,414.36,266.21,251.67,662.32,"Lidická, Prague - Smíchov",50.0723918,14.4059555,Up to 10 years,Personal,Standard,Complete,,Other,,,,,
"CZK 6,000","CZK 1,000","CZK 10,000",723592,Other,6/25/2022,1,C,25 m²,Fully furnished,Very good,Other,,,,,1.0,,231.24,1224.16,81.26,10.74,37.15,105.4,608.75,959.18,576.79,135.87,Prague - Libeň,50.10424,14.49114,,,,,,,,,,,
"CZK 21,900","CZK 3,900","CZK 30,000",324795,3+kk,7/1/2022,4,,73 m²,Fully furnished,Very good,Prefab concrete,1.0,1.0,1.0,,1.0,1.0,383.78,917.71,600.32,556.39,610.75,611.91,346.62,688.65,483.09,215.39,"Bellušova, Prague - Stodůlky",50.0410429,14.3224894,10 to 30 years,Personal,Luxurious,Complete,,Distance,1.0,,Housing,,
"CZK 18,000","CZK 3,500","CZK 20,000",724261,2+kk,9/1/2022,3,G,38 m²,Fully furnished,Very good,Brick,,,1.0,,,,127.88,619.37,162.46,79.26,12.37,109.19,37.76,112.29,389.29,233.62,Prague - Nové Město,50.07543,14.42646,,,,,,,,,,,
"CZK 17,500","CZK 2,156","CZK 17,500",724249,2+kk,7/18/2022,2,G,52 m²,Partly,Very good,Prefab concrete,,1.0,1.0,,,,63.68,792.74,364.53,647.56,245.71,312.94,244.87,508.72,745.89,119.03,Prague - Vokovice,50.09643,14.35185,,,,,,,1.0,,,,
"CZK 18,500","CZK 5,000","CZK 23,500",685106,Studio,8/15/2022,5,B,33 m²,Fully furnished,New-build,Brick,1.0,,,,,,114.38,989.04,22.52,9.61,23.07,30.73,352.74,549.13,398.64,398.33,"Horská, Prague - Nové Město",50.06662,14.42307,,Personal,,,,,,,,,
"CZK 31,000","CZK 5,000","CZK 36,000",639703,2 bedroom,8/1/2022,1,G,76 m²,Fully furnished,Very good,Brick,,,,,1.0,,281.04,439.68,100.81,187.07,72.69,444.68,171.71,477.4,342.81,483.28,"Železná, Prague - Staré Město",50.086328,14.422386,,Personal,,,,,,,,,
"CZK 18,500","CZK 5,000","CZK 35,000",723793,3+kk,6/27/2022,2,G,67 m²,Partly,Very good,Brick,,,,,1.0,,240.15,1229.76,663.49,1151.97,207.94,897.97,1163.17,739.5,67.17,192.62,Prague - Strašnice,50.082,14.48192,,Personal,,,,,,,,,
"CZK 16,000","CZK 3,100","CZK 20,000",224571,1 bedroom,6/1/2022,5,F,45 m²,Partly,,Brick,,1.0,,,,,200.81,611.19,186.65,495.89,119.99,424.54,119.97,431.02,429.62,276.97,"Petra Rezka, Prague - Nusle",50.0622453,14.4359978,,Personal,,Complete,1.0,Central,,,,,
"CZK 33,000","CZK 5,000","CZK 38,000",724233,3+kk,7/1/2022,2,G,100 m²,Fully furnished,New-build,Other,,1.0,1.0,1.0,1.0,1.0,63.23,335.62,18.1,2211.55,77.69,646.22,259.78,484.5,1330.66,408.2,Prague - Braník,50.03935,14.41056,,,,,,,1.0,,,,
"CZK 15,000","CZK 5,800","CZK 20,000",445733,2+kk,7/15/2022,2,,60 m²,Partly,Very good,Brick,,1.0,,,1.0,,381.54,929.0,77.44,451.25,313.48,922.89,279.27,195.43,856.71,286.8,"U Družstva Život, Prague - Nusle",50.05642,14.4470012,,Personal,,,,Gas boiler,,,,,
"CZK 30,000","CZK 7,000","CZK 70,000",118686,3+kk,7/1/2022,2,D,110 m²,Fully furnished,Very good,Brick,1.0,,,,,1.0,357.8,1260.77,961.85,1327.31,647.87,1114.49,769.88,534.69,576.95,211.24,"Na Fialce II, Prague - Řepy",50.0695036,14.3174676,10 to 30 years,Personal,Luxurious,,,Gas boiler,,,,,
"CZK 19,000","CZK 2,500","CZK 19,000",478537,2+kk,8/1/2022,11,,54 m²,Partly,Very good,Prefab concrete,,,1.0,,1.0,,237.14,835.94,220.12,540.54,240.82,241.03,45.23,682.13,226.67,203.82,"Gutova, Prague - Strašnice",50.0702967,14.4929472,Up to 10 years,Personal,Luxurious,Complete,,Distance,1.0,,,,
"CZK 21,000","CZK 6,000","CZK 42,000",724165,3+1,6/29/2022,1,B,95 m²,Partly,Very good,Brick,,,,,,,220.59,1849.6,507.94,488.18,645.6,1182.62,814.47,954.51,458.99,802.82,Prague - Vokovice,50.09405,14.33334,,,,,,,,,,,
"CZK 20,000","CZK 6,000","CZK 20,000",699771,3+1,2/1/2022,2,G,97 m²,Fully furnished,Very good,Brick,,,,,,,80.17,2068.5,773.71,2037.45,873.78,1648.96,1472.38,1688.73,1055.76,1143.7,"Karlovarská, Prague - Řepy",50.07683,14.30342,,Other,,,,,,,,,
"CZK 28,000","CZK 3,500","CZK 31,500",685915,2+kk,7/4/2022,4,G,50 m²,Partly,New-build,Brick,,1.0,1.0,1.0,,,149.28,184.71,155.75,166.85,78.37,205.49,314.06,421.81,532.64,452.36,"Bořivojova, Prague - Žižkov",50.0835,14.45201,Up to 10 years,Personal,Standard,Complete,,Central,,,,,
"CZK 11,000","CZK 4,500","CZK 22,000",489072,Studio,7/1/2022,13,C,39 m²,Partly,,Prefab concrete,,,1.0,,,,295.25,1482.86,,1680.58,0.0,768.94,1030.65,1357.27,747.5,568.56,Prague - Krč,50.0295942,14.4496271,,Personal,Standard,,,,,,,,
"CZK 17,000","CZK 2,000","CZK 30,000",724187,2+kk,6/29/2022,4,G,40 m²,Partly,Very good,Brick,,1.0,,,,,47.74,334.45,370.33,445.73,183.85,87.12,586.7,665.07,1052.15,105.66,Prague - Vokovice,50.09736,14.36696,,,,,1.0,,,,,,
"CZK 17,000","CZK 2,000","CZK 30,000",724188,2+kk,7/8/2022,3,G,45 m²,Partly,Very good,Prefab concrete,,1.0,1.0,,,,186.52,423.85,343,429.49,433.33,333.44,313.13,41.58,1083.79,72.24,Prague - Stodůlky,50.05362,14.34094,,,,,,,,,,,
"CZK 11,000","CZK 2,000","CZK 13,000",425448,Small studio,1/2/2022,1,,18 m²,Fully furnished,Very good,Brick,,,,,,,96.37,1112.27,342.53,720.59,185.54,791.77,490.82,465.42,674.92,179.97,"Na Jezerce, Prague - Nusle",50.0582532,14.44353,Up to 10 years,Personal,Standard,Complete,,,,,,,
"CZK 12,000","CZK 2,000","CZK 14,000",425445,Small studio,7/1/2022,1,,22 m²,Fully furnished,Very good,Brick,,,,,,,96.37,1112.27,342.53,720.59,185.54,791.77,490.82,465.42,674.92,179.97,"Na Jezerce, Prague - Nusle",50.0582532,14.44353,Up to 10 years,Personal,,Complete,,,,,,,
"CZK 11,900","CZK 3,000","CZK 19,000",150673,Studio,8/1/2022,1,,31 m²,Fully furnished,,Brick,,,,1.0,,,340.45,773.04,133.14,754.61,457.55,879.25,251.83,2122.99,1119.22,86.45,"Tulešická, Prague - Zličín",50.0586898,14.2826339,Up to 10 years,Other,Standard,,,,,,,,
"CZK 12,500",CZK 800,"CZK 19,000",724181,1 bedroom,7/25/2022,2,G,27 m²,Partly,Very good,Brick,1.0,1.0,,,,,147.2,743.4,164.97,447.21,167.27,486.82,642.04,662.98,750.5,580.62,Prague - Nusle,50.06262,14.4464,,,,,,,,,,,
"CZK 10,000","CZK 2,500","CZK 12,000",698535,Studio,7/1/2022,2,G,30 m²,Fully furnished,Very good,Prefab concrete,,,1.0,,,,297.87,147.25,573.29,1497.54,55.44,856.83,652.11,201.35,235.95,80.18,"Bukolská, Prague - Bohnice",50.13068,14.43328,,Personal,,,,Central,,,,,
"CZK 14,500","CZK 4,500","CZK 19,000",722823,2 bedroom,8/1/2022,2,G,58 m²,Partly,Very good,Brick,,1.0,1.0,,1.0,,517.27,579.39,339.53,584.7,86.41,513.86,393.31,189.47,94.45,265.87,"Lihovarská, Prague - Libeň",50.10489775,14.48593875,,Personal,,Complete,,Central,,,,,
"CZK 24,900","CZK 3,900",CZK 0,647743,2+kk,7/7/2022,6,D,52 m²,Fully furnished,Very good,Brick,,,1.0,,1.0,,321.74,272.7,32.23,180.47,42.93,69.06,244.65,976.37,163.38,571.06,"Opletalova, Prague - Nové Město",50.0814214,14.4299039,,Personal,Luxurious,Complete,1.0,Central,,,,,
"CZK 15,700","CZK 2,500","CZK 15,700",598947,2+kk,7/15/2022,2,,43 m²,Fully furnished,Very good,Brick,,,,,,,162.44,907.01,83.45,625.66,61.33,213.35,242.19,464.72,389.43,193.21,"Drahobejlova, Prague - Libeň",50.107035,14.493065,,Cooperative,,Complete,,Gas boiler,,,,,
"CZK 15,000","CZK 3,500","CZK 30,000",724043,Studio,7/1/2022,2,B,40 m²,Partly,New-build,Other,,,1.0,1.0,1.0,1.0,164.07,1595.57,526.38,1270.11,670.42,579.01,417.83,1251.1,1107.75,499.59,Prague - Vysočany,50.10284,14.51,,,,,,,1.0,,,,
"CZK 19,000","CZK 6,000","CZK 38,000",724145,2+kk,6/29/2022,3,G,62 m²,Fully furnished,New-build,Brick,,,,,,,536.07,1280.24,562.4,949.3,326.63,606.34,381.74,756.64,1072.23,163.05,Prague - Háje,50.02419,14.52576,,,,,1.0,,,,,,
"CZK 12,500","CZK 3,300","CZK 31,600",491996,Studio,10/1/2022,1,,27 m²,Partly,,Brick,,,,,,,215.27,586.31,164.28,470.7,188.5,302.61,110.42,688.27,172.95,443.5,"Umělecká, Prague - Holešovice",50.1026409,14.4272798,,Personal,,,,Central,,,,,
"CZK 12,500","CZK 3,000","CZK 16,000",603525,Studio,6/29/2022,2,C,38 m²,Unfurnished,New-build,Brick,1.0,1.0,,,1.0,,405.82,1735.36,1054.69,1829.53,829.29,1537.37,1423.47,1689.02,1379.73,841.56,"Sicherova, Prague - Kyje",50.114749,14.56658,,Personal,,,,Central,,,,,
"CZK 13,000","CZK 3,000","CZK 16,000",642689,Studio,7/1/2022,4,C,32 m²,Unfurnished,New-build,Brick,1.0,1.0,,,,,99.21,1303.77,573.78,791.38,640.94,1382.61,793.64,1292.24,412.87,124.99,"Sídlištní, Prague - Lysolaje",50.127532,14.379521,,Personal,,,,Distance,,,,,
"CZK 17,000","CZK 4,000","CZK 20,000",593858,2+kk,7/8/2022,1,G,95 m²,Partly,Very good,Brick,1.0,,,,,,286.16,405.12,267.1,579.0,185.85,452.44,269.13,1154.98,423.97,155.98,"Zítkova, Prague - Radotín",49.981812,14.360204,,Personal,Standard,Interior,1.0,,,,,,
"CZK 20,000","CZK 2,840","CZK 20,000",712154,2+kk,7/1/2022,5,G,59 m²,Partly,Very good,Brick,,,,,,,285.09,886.87,280.34,436.5,58.12,623.71,411.25,449.15,460.6,423.63,"Krymská, Prague - Vršovice",50.07146,14.44815,,Personal,,,,,,,,,
"CZK 14,500","CZK 3,500","CZK 29,000",468358,Studio,6/30/2022,1,B,60 m²,Fully furnished,Very good,Other,1.0,,1.0,,,,204.9,251.55,125.07,364.98,282.63,259.02,847.82,736.32,692.68,223.49,"Soukalova, Prague - Modřany",50.0038161,14.4155874,Up to 10 years,Personal,Standard,,,Distance,,,,,
"CZK 13,500","CZK 3,760","CZK 20,000",683348,Studio,8/1/2022,2,C,42 m²,Partly,New-build,Low-energy,1.0,,1.0,1.0,,,274.79,810.12,422.82,622.93,137.36,665.53,568.22,316.0,355.76,133.63,"Olgy Havlové, Prague - Žižkov",50.0886644,14.484117,Up to 10 years,Personal,Luxurious,,,Distance,,,,,
"CZK 27,000","CZK 4,000","CZK 40,000",525060,3+kk,9/1/2022,2,D,79 m²,Fully furnished,New-build,Brick,,,1.0,1.0,1.0,,84.86,908.92,513.07,1195.74,466.68,604.8,530.88,804.33,860.36,299.23,"Na Popelce, Prague - Košíře",50.0685144,14.3842833,Up to 10 years,Personal,,,,Central,,,,,
"CZK 24,000","CZK 7,000","CZK 31,000",685115,2+kk,8/22/2022,4,B,50 m²,Fully furnished,New-build,Brick,,,1.0,,1.0,1.0,165.09,980.83,116.92,149.04,162.49,108.73,492.07,669.13,487.28,408.51,"Horská, Prague - Nové Město",50.06636,14.42333,,Personal,,,,,1.0,,,,
"CZK 18,000","CZK 4,000","CZK 22,000",724124,2+kk,7/15/2022,4,E,60 m²,Fully furnished,Very good,Brick,,,1.0,,1.0,,53.38,405.58,47.34,161.93,21.47,280.04,433.15,238.4,223.86,678.8,Prague - Smíchov,50.07216,14.4068,,,,,,,,,,,
"CZK 19,000","CZK 4,190","CZK 30,000",724110,2+kk,7/15/2022,3,B,59 m²,Partly,New-build,Other,1.0,1.0,1.0,,,1.0,313.43,846.63,206.55,865.05,474.66,714.61,347.91,269.19,436.37,179.88,"Waltariho, Prague - Hloubětín",50.107846350438,14.525244403462,,,,,,,,,,,
"CZK 12,500",CZK 500,"CZK 12,000",684107,2 bedroom,9/27/2021,,G,58 m²,Partly,Good,Brick,,,1.0,,,,97.36,791.59,35.58,487.51,118.26,612.58,572.44,554.66,768.17,256.29,"Na Jezerce, Prague - Nusle",50.06066,14.44766,,Personal,,,,Electric boiler,,,,,
"CZK 30,000","CZK 6,000","CZK 60,000",717896,3+kk,7/1/2022,4,G,83 m²,Partly,New-build,Brick,,,1.0,1.0,1.0,1.0,302.28,951.47,436.57,933.02,553.41,658.67,646.78,920.06,798.69,23.87,"Nademlejnská, Prague - Hloubětín",50.10181,14.52994,Up to 10 years,Personal,Luxurious,,1.0,Electric boiler,,,,,
"CZK 14,000","CZK 4,000","CZK 28,000",633291,Studio,9/1/2022,6,B,37 m²,Partly,New-build,Brick,1.0,,1.0,,,,296.63,1178.0,587.87,3787.88,277.49,564.58,922.09,3210.54,1091.67,331.3,"Honzíkova, Prague - Dolní Měcholupy",50.067054,14.552755,Up to 10 years,Personal,,,,,,,,,
"CZK 29,000","CZK 6,000","CZK 40,000",667339,3+kk,8/1/2022,2,G,73 m²,Partly,Very good,Brick,,1.0,1.0,,,,396.01,549.44,157.22,388.26,59.79,212.95,448.07,522.4,570.4,483.84,"Kubelíkova, Prague - Žižkov",50.08216,14.45073,,Personal,,,,,,,,,
"CZK 18,000","CZK 4,000","CZK 36,000",724104,Studio,6/29/2022,1,D,38 m²,Fully furnished,Very good,Brick,,,,,,,209.83,734.87,71,362.24,53.17,225.37,159.94,953.66,275.9,274.5,Prague - Karlín,50.0939,14.45688,,,,,,,,,,,
"CZK 17,000","CZK 5,000","CZK 17,000",437320,2+kk,9/1/2022,1,,54 m²,Fully furnished,New-build,Brick,1.0,1.0,1.0,1.0,1.0,1.0,507.19,1277.25,594.18,935.9,363.85,627.13,376.73,741.93,1069.24,237.55,"Loosova, Prague - Háje",50.024486493456,14.526685576196,Up to 10 years,Personal,,,,,,,,,
"CZK 22,000","CZK 6,000","CZK 44,000",724068,2 bedroom,6/28/2022,1,G,69 m²,Fully furnished,Very good,Brick,,,,,,,364.57,1186.1,274.61,1006.22,198.47,584.67,537.47,616.1,399.36,107.73,Prague - Střešovice,50.08888,14.37347,,,,,1.0,,,,,,
"CZK 6,000",CZK 1,"CZK 6,500",603260,Other,6/30/2022,1,D,120 m²,Fully furnished,Very good,Brick,,,1.0,,,,93.86,355.52,190.16,381.87,43.18,335.72,486.36,228.61,381.24,99.62,"Ronkova, Prague - Libeň",50.105767,14.476739,,Personal,,,,,,,,,
"CZK 22,000","CZK 6,000","CZK 28,000",277759,3+1,7/10/2022,,,67 m²,Partly,,Brick,,,,,,,226.8,113.17,247.94,447.22,218.41,544.64,261.78,360.15,642.37,272.33,"U Demartinky, Prague - Smíchov",50.0708952,14.3761637,,Cooperative,,,,Gas boiler,,,,,
"CZK 10,500","CZK 3,000","CZK 25,000",722126,Studio,6/29/2022,4,G,35 m²,Partly,Good,Prefab concrete,,,1.0,,,,248.61,523.82,385.1,1508.95,113.82,1014.95,694.88,976.73,616.24,124.83,Prague - Krč,50.02184,14.45347,,,,,,,1.0,,,,
"CZK 22,900","CZK 3,500","CZK 22,900",724089,3+kk,6/29/2022,2,G,72 m²,Partly,Very good,Prefab concrete,,1.0,1.0,,,,106.88,828.11,136.33,811.17,224.98,257.07,613.9,652.26,738.25,340.8,Prague - Michle,50.04287,14.45982,,,,,,,1.0,,,,
"CZK 10,000","CZK 3,500","CZK 10,000",49202,Studio,8/1/2022,7,C,23 m²,Partly,,Prefab concrete,,,1.0,,,,255.14,469.14,256.58,281.03,241.04,441.16,162.89,270.73,894.98,198.02,"Kyselova, Prague - Kobylisy",50.1269247,14.4645974,,Personal,,Complete,,,,,,,
"CZK 27,000","CZK 3,000","CZK 50,000",723884,3+kk,6/30/2022,2,B,68 m²,Fully furnished,New-build,Brick,1.0,1.0,1.0,1.0,1.0,,181.87,1408.66,55.3,979.08,153.0,539.26,274.37,720.09,348.91,137.94,Prague - Libeň,50.1132,14.47331,,,,,,,,,,,
"CZK 17,500","CZK 2,500","CZK 30,000",724067,2 bedroom,6/28/2022,4,G,50 m²,Partly,Very good,Brick,1.0,,1.0,,,,96.95,553.18,211.64,494.77,293.66,1496.89,340.74,108.67,915.18,40.36,Prague - Záběhlice,50.05001,14.48432,,,,,,,,,,,
